"gene","pause_index","group"
"G1",7.05355228532491,"Promoter"
"G2",8.50729857207461,"Promoter"
"G3",7.43920376782195,"Promoter"
"G4",5.31365670911768,"Promoter"
"G5",7.2878754978556,"Promoter"
"G6",3.24409530657722,"Promoter"
"G7",0.76772521277392,"Promoter"
"G8",2.47070938878932,"Promoter"
"G9",2.7652551726891,"Promoter"
"G10",3.42830214532312,"Promoter"
"G11",2.26610408888091,"Promoter"
"G12",4.65870497888705,"Promoter"
"G13",1.02734557012793,"Promoter"
"G14",4.22244589549269,"Promoter"
"G15",1.42760039329766,"Promoter"
"G16",1.14095073121782,"Promoter"
"G17",2.87211178444997,"Promoter"
"G18",3.75586986838927,"Promoter"
"G19",1.92029621369258,"Promoter"
"G20",2.92033326791114,"Promoter"
"G21",2.79696318582373,"GeneBody"
"G22",1.91819414926525,"GeneBody"
"G23",2.71907861769537,"GeneBody"
"G24",3.54799616861873,"GeneBody"
"G25",2.88737864655711,"GeneBody"
"G26",3.60950903749702,"GeneBody"
"G27",2.86405573130001,"GeneBody"
"G28",1.13484740550431,"GeneBody"
"G29",3.50447982963279,"GeneBody"
"G30",0.97707722434312,"GeneBody"
"G31",3.40576304431554,"GeneBody"
"G32",4.78680944849301,"GeneBody"
"G33",3.25747570290054,"GeneBody"
"G34",3.042374356544,"GeneBody"
"G35",1.48956676396579,"GeneBody"
"G36",3.15762384735164,"GeneBody"
"G37",3.36126907038095,"GeneBody"
"G38",2.8252295888284,"GeneBody"
"G39",0.878462111398832,"GeneBody"
"G40",2.3312118098676,"GeneBody"
