"glycan","abundance","class"
"Gly1",29.6447057834768,"N-glycan"
"Gly2",29.8354732246562,"N-glycan"
"Gly3",17.8544308821996,"N-glycan"
"Gly4",9.53731917794043,"N-glycan"
"Gly5",5.86759699196612,"N-glycan"
"Gly6",12.5524790235711,"O-glycan"
"Gly7",10.3201682933955,"O-glycan"
"Gly8",3.09317199485386,"O-glycan"
"Gly9",16.3965888394922,"O-glycan"
"Gly10",13.6287726083042,"O-glycan"
"Gly11",17.8719542521105,"glycolipid"
"Gly12",11.870973807067,"glycolipid"
"Gly13",4.81788565624924,"glycolipid"
"Gly14",12.8865706706097,"glycolipid"
"Gly15",8.61523134448237,"glycolipid"
