"protein","logFC","pvalue"
"PROT1",3.8757728812353,0.0314665267854715
"PROT2",4.77947541814871,0.0185691993458215
"PROT3",5.03113414656098,0.0698867161689752
"PROT4",4.26246476854973,0.0855554215706465
"PROT5",5.45475616179248,0.0553881649384623
"PROT6",5.90138355647648,0.0924167447210648
"PROT7",4.39017097169319,0.000936920355113577
"PROT8",1.0498382372699,0.666995658698079
"PROT9",1.82219519146945,0.22538918457646
"PROT10",0.726967831151569,0.645826781146094
"PROT11",-1.06300569675079,0.468667012697773
"PROT12",0.596350603731501,0.749886133976285
"PROT13",-0.0155971281976441,0.994719183734073
"PROT14",1.57773581732832,0.488869242674195
"PROT15",-1.06711315240779,0.629808648855794
"PROT16",-1.90328241912234,0.103559447931466
"PROT17",-1.29043729682,0.206821092304553
"PROT18",0.505067435548003,0.651313561660938
"PROT19",-1.48289543271596,0.0601875912845337
"PROT20",0.359952814791743,0.896276252419958
"PROT21",-1.19818638197932,0.464890222113447
"PROT22",1.16117425283938,0.49715639108789
"PROT23",-0.548237619378583,0.807398946419254
"PROT24",-2.82071955843061,0.0585901798496497
"PROT25",0.428006454648195,0.830868868019281
"PROT26",-2.81243271036139,0.0824787030334063
"PROT27",-0.936168523590503,0.433928944056382
"PROT28",-0.462026830634965,0.673110501315638
"PROT29",0.340687548321419,0.791029853644211
"PROT30",1.49605906401858,0.29332827363153
"PROT31",0.968572517139936,0.661038945824639
"PROT32",2.61422140947736,0.262876974900719
"PROT33",0.397082088202421,0.741038865750207
"PROT34",-4.57430376402877,0.0245432912598152
"PROT35",-1.20104773519115,0.589047743587447
"PROT36",0.492773887756183,0.75752783543638
"PROT37",1.35922606675512,0.356279967840724
"PROT38",2.70513117342517,0.0629386354531064
"PROT39",0.650978179037736,0.795796142415688
"PROT40",0.279492407063156,0.879796306103791
"PROT41",0.301567434915441,0.84665566786768
"PROT42",-0.6607941713022,0.646232936770039
"PROT43",-2.12629710832047,0.42878922221969
"PROT44",-1.30921538128783,0.141008683922496
"PROT45",0.168407279186681,0.907168423164079
"PROT46",-0.410875604316114,0.705106027620618
"PROT47",2.0710004662975,0.0879756925349424
"PROT48",-1.69972654748948,0.383286453513918
"PROT49",0.178571683727416,0.841579930494443
"PROT50",-1.11756790060248,0.222931892820151
