"protein","P1","P2","P3","P4","P5","P6"
"PROT1",23.3479270189692,21.6994894374773,24.5361316744817,18.7623406852093,19.671935293227,19.5219535087859
"PROT2",25.1049237108383,23.4510576763671,22.8155833780088,20.5059261029112,17.2334498722079,19.2937625356489
"PROT3",22.6501123120883,25.1558020057223,28.2669727144986,18.4932636499863,20.8470225283082,21.6391984143319
"PROT4",24.4287189180869,21.2061947068459,26.3454973339337,21.4645537050685,18.4190221768537,19.3094407712951
"PROT5",24.6215384346272,25.4981154323296,25.4935219785195,19.1948265744512,22.4198496973708,17.6342310882768
"PROT6",26.3479325751254,21.8976266061541,23.5389826134812,14.3539997627048,21.7890335382143,17.9373578244122
"PROT7",25.2375797112519,24.3307617412514,24.1755434045266,20.9259476548184,19.7976029176349,19.849821369497
"PROT8",23.7745313704916,26.2596182409904,19.6325206412721,24.2657394521309,20.5942451389145,21.657170949899
"PROT9",21.8340565790254,22.3474449284714,19.0667368276746,19.4590266250902,20.3945954464479,17.928030689225
"PROT10",19.5534812707455,19.1442735362992,23.3719196759523,20.497050698154,19.6860325107581,19.7056877806301
"PROT11",21.0528961977473,19.4803957843211,18.8641581481219,20.0762329493388,23.0731420231804,19.4370922479234
"PROT12",18.4103111291699,17.1776539126866,19.9065139687457,20.7881378997546,15.6646606384839,17.2526286611693
"PROT13",22.8555110893661,18.7172848918367,19.6860388247752,16.9918296047061,21.1968963027606,23.1169002831042
"PROT14",17.0663606116731,20.2249150183049,23.2044848798703,16.8262184111893,20.0862247189433,18.8501099277307
"PROT15",19.5266332427942,20.8452086622771,21.5373073471401,18.1457638465235,22.5900543818477,24.3746704810637
"PROT16",19.613324070005,20.7736705824314,18.4567412872884,21.5523940793291,21.4126058714749,21.5885832462879
"PROT17",18.3004905193323,18.624403347836,18.7386360337846,18.4386311200154,20.6910901507151,20.4051205206824
"PROT18",20.116930995699,20.297804977326,18.339438808799,17.4428659518394,19.840206693307,19.9558998300336
"PROT19",18.3646592882481,19.884700503035,18.8177745234719,19.9971437435495,20.9096150949031,20.6090617744503
"PROT20",15.8993843687207,19.8503532701552,21.9621708135237,16.2980437523942,22.552504738461,17.7815015171692
"PROT21",19.6724886681172,23.0197948762376,18.6767894681592,20.9030106698884,22.5296752925922,21.5309461959714
"PROT22",21.4170442083128,23.2398740158798,18.4551646274651,19.1341058907368,20.5385070607182,19.9559471416845
"PROT23",19.4640389076368,22.3063163339696,15.9630530662993,21.4272057986283,19.7589118131245,18.1920035542886
"PROT24",17.072156480258,19.8447928091027,18.9328291503059,21.921390940501,21.5905427013275,20.8000034731298
"PROT25",21.4888716457506,16.3621309984041,20.8694566672636,20.7630704194611,18.9719447119339,17.7014248160788
"PROT26",17.1792196379896,17.9251108345279,18.4576653154986,22.4361455952943,19.1868130652166,20.3763352585893
"PROT27",20.9341352120305,20.6049844912875,18.4921183555153,19.965725478944,22.4394379579649,20.4345801926959
"PROT28",19.7613597846115,17.4441076655072,19.4012843638136,19.9235810145958,20.1674227404918,17.9018285507496
"PROT29",20.934477923531,20.2766780951699,23.3279328526679,22.487468789708,21.1798043023845,19.8497531343121
"PROT30",20.9962711288718,19.8980317524779,17.5113403277153,18.088282509583,18.9651614309876,16.8640220764387
"PROT31",21.7898744010808,23.7042951498605,18.4337312518334,21.8308504703297,21.5389269732417,17.6524058077834
"PROT32",20.5583039928275,22.2233505390756,20.4896611151125,18.1213240489057,21.6039394820899,15.703387887588
"PROT33",22.0157315006285,18.9772493564683,19.7122256629423,20.2242496390853,18.6062797112924,20.6834309050542
"PROT34",15.8537870188524,18.9122377923655,16.7827371661098,21.1060252372262,22.355706356612,21.8099416755758
"PROT35",22.3797067675657,16.5421454327301,21.9031599436038,21.063483926467,21.1716905163314,22.1929809066746
"PROT36",18.5512515632601,20.9414990779026,16.3617366177268,18.2524752211216,19.0662122331852,17.0574781413141
"PROT37",20.3359675446978,20.0107742443436,23.5673434102618,19.6263014541912,20.7712992739684,19.4388062708781
"PROT38",21.8406703171617,22.6960915711055,23.7742787206951,19.572579023917,18.930788830754,21.6922792340158
"PROT39",16.6567903759542,21.4481934265987,22.9814375552512,19.5919774539626,22.1133368027326,17.4281725639957
"PROT40",20.8969381392286,23.1050983293252,19.2388009560766,23.4394184810406,19.5878134607276,19.3751282616728
"PROT41",20.9649176197175,22.6509396634445,18.1812499773087,20.4040669644348,21.2140244723331,19.2743135189564
"PROT42",21.516427564798,19.9314698150136,19.3238117850522,21.0253115550256,18.9038722848697,22.8249078388751
"PROT43",15.361345262065,19.2779732046845,17.1762329617565,22.9048000239739,15.8000473478979,19.4895953815956
"PROT44",19.0809904396077,18.5596691553834,20.4350857750499,20.7277309303468,20.5016255264889,20.7740350570687
"PROT45",17.7892326660415,20.564029866735,21.3402523409886,18.2483021070718,19.8901094387768,21.0498814903564
"PROT46",20.8058565468126,18.4189486728724,19.4242812436525,19.9708785338179,18.6805443829196,21.2302903595484
"PROT47",21.1378698356881,19.1101908985426,20.9386069908109,18.5510136702658,17.0882852419827,19.3343674139007
"PROT48",18.5878334351408,22.7299863387574,19.0598571453319,23.938740188974,20.0474588529269,21.4906575197976
"PROT49",19.4198187483689,20.9949086765898,19.5214681619845,18.927195146098,21.0958161825375,19.3774692071254
"PROT50",17.0322438567889,18.3712070483174,19.1050750230601,19.9475353199539,18.3821972092298,19.53149710079
