"gene","S1","S2","S3","S4","S5","S6"
"GENE1",114,78,92,75,43,30
"GENE2",91,79,81,18,44,46
"GENE3",92,134,97,35,54,55
"GENE4",129,97,98,6,57,45
"GENE5",134,117,119,32,37,57
"GENE6",86,104,104,53,34,20
"GENE7",118,92,85,49,53,30
"GENE8",110,131,96,50,30,36
"GENE9",85,89,94,35,29,42
"GENE10",142,104,75,29,45,50
"GENE11",104,95,97,39,34,49
"GENE12",82,109,131,25,51,17
"GENE13",27,34,24,16,49,49
"GENE14",54,39,42,65,44,35
"GENE15",25,51,61,34,54,37
"GENE16",30,22,41,34,42,61
"GENE17",34,22,41,20,22,17
"GENE18",33,58,53,30,35,60
"GENE19",23,26,42,26,58,43
"GENE20",30,46,25,18,48,47
"GENE21",39,21,49,33,30,43
"GENE22",35,39,52,28,34,33
"GENE23",47,34,58,103,32,47
"GENE24",45,40,51,27,23,74
"GENE25",20,44,50,34,18,30
"GENE26",50,41,42,26,20,29
"GENE27",38,16,23,29,16,21
"GENE28",29,43,50,39,32,30
"GENE29",63,34,68,89,81,64
"GENE30",17,31,42,66,22,11
"GENE31",55,41,46,64,47,29
"GENE32",54,30,26,22,52,55
"GENE33",51,33,32,12,42,44
"GENE34",28,46,51,55,26,33
"GENE35",33,36,51,51,17,29
"GENE36",30,41,22,23,64,38
"GENE37",28,19,61,67,36,89
"GENE38",59,19,32,32,65,35
"GENE39",34,25,19,50,55,20
"GENE40",45,49,19,30,39,26
"GENE41",34,14,14,66,39,22
"GENE42",63,33,26,27,55,37
"GENE43",24,35,15,66,29,33
"GENE44",26,27,51,37,28,43
"GENE45",49,42,20,52,38,32
"GENE46",47,27,38,27,30,32
"GENE47",44,19,19,33,26,37
"GENE48",20,37,20,37,26,52
"GENE49",20,32,43,30,50,62
"GENE50",34,58,44,45,34,41
"GENE51",32,17,42,37,37,40
"GENE52",36,30,47,11,14,23
"GENE53",34,36,31,38,41,34
"GENE54",44,46,36,58,44,47
"GENE55",51,27,11,40,58,30
"GENE56",21,30,36,30,44,31
"GENE57",27,47,63,55,33,70
"GENE58",57,34,33,32,45,55
"GENE59",29,20,74,60,58,34
"GENE60",25,30,23,29,33,59
