"exposure","beta","se","lo","hi"
"SNP1",0.0648784547234782,0.055684404456988,-0.0442629780122182,0.174019887459175
"SNP2",0.250066351134105,0.0288429161626846,0.193534235455244,0.306598466812967
"SNP3",0.0622150118007565,0.0222320126742125,0.0186402669593001,0.105789756642213
"SNP4",0.0761384843908366,0.0452058449573815,-0.0124649717256311,0.164741940507304
"SNP5",0.0291246360216698,0.0303553485870361,-0.030371847208921,0.0886211192522606
"SNP6",0.164528490578203,0.0203537353966385,0.124635169200792,0.204421811955615
"SNP7",0.0590940021400791,0.045361512247473,-0.0298145618649679,0.148002566145126
"SNP8",0.188449717682517,0.0366270615719259,0.116660677001543,0.260238758363492
"SNP9",0.169303868605158,0.0417012459505349,0.0875694265421098,0.251038310668207
"SNP10",0.0524848730888226,0.0447291601635516,-0.0351842808317385,0.140154027009384
"SNP11",-0.0310126004973677,0.0570057286228985,-0.142743828598249,0.0807186276035133
"SNP12",0.238925366205679,0.0394355005677789,0.161631785092832,0.316218947318525
