"time_ns","rmsd_nm","series"
0,0.0005007,"Protein"
0.01,0.0771755,"Protein"
0.02,0.0891337,"Protein"
0.03,0.0828925,"Protein"
0.04,0.0941333,"Protein"
0.05,0.0969894,"Protein"
0.06,0.103719,"Protein"
0.07,0.1225541,"Protein"
0.08,0.1262489,"Protein"
0.09,0.1168434,"Protein"
0.1,0.1122696,"Protein"
0.11,0.1243882,"Protein"
0.12,0.1168028,"Protein"
0.13,0.1065018,"Protein"
0.14,0.1121541,"Protein"
0.15,0.1129771,"Protein"
0.16,0.1108185,"Protein"
0.17,0.1088451,"Protein"
0.18,0.0983137,"Protein"
0.19,0.1111316,"Protein"
0.2,0.1158392,"Protein"
0,0.000538,"Ligand"
0.01,0.0476712,"Ligand"
0.02,0.0603778,"Ligand"
0.03,0.0479215,"Ligand"
0.04,0.0869882,"Ligand"
0.05,0.0769625,"Ligand"
0.06,0.1817362,"Ligand"
0.07,0.1817099,"Ligand"
0.08,0.1739233,"Ligand"
0.09,0.1475349,"Ligand"
0.1,0.1336061,"Ligand"
0.11,0.2216602,"Ligand"
0.12,0.1653004,"Ligand"
0.13,0.1390695,"Ligand"
0.14,0.0621377,"Ligand"
0.15,0.0857928,"Ligand"
0.16,0.0972598,"Ligand"
0.17,0.067364,"Ligand"
0.18,0.0894118,"Ligand"
0.19,0.0694318,"Ligand"
0.2,0.0994963,"Ligand"
0,0.000501,"Complex"
0.01,0.077001,"Complex"
0.02,0.0889575,"Complex"
0.03,0.0826908,"Complex"
0.04,0.0940831,"Complex"
0.05,0.0968582,"Complex"
0.06,0.1045001,"Complex"
0.07,0.1230893,"Complex"
0.08,0.1266622,"Complex"
0.09,0.1170967,"Complex"
0.1,0.1124401,"Complex"
0.11,0.1253724,"Complex"
0.12,0.1172298,"Complex"
0.13,0.1067757,"Complex"
0.14,0.11187,"Complex"
0.15,0.1128023,"Complex"
0.16,0.1107255,"Complex"
0.17,0.1085996,"Complex"
0.18,0.0982516,"Complex"
0.19,0.1108839,"Complex"
0.2,0.1157282,"Complex"
