"time_ns","temp_K"
0,300.901398
0.001,296.291687
0.002,301.51593
0.003,297.506683
0.004,299.647522
0.005,298.826813
0.006,298.449097
0.007,299.877106
0.008,301.100281
0.009,294.90802
0.01,299.588715
0.011,298.846619
0.012,301.834564
0.013,303.339081
0.014,296.944122
0.015,302.424896
0.016,299.776978
0.017,300.997406
0.018,301.291534
0.019,300.865967
0.02,298.955597
0.021,298.074005
0.022,297.887482
0.023,302.924438
0.024,299.888458
0.025,298.732483
0.026,299.87851
0.027,298.729126
0.028,297.260437
0.029,297.921173
0.03,299.088776
0.031,303.696777
0.032,300.753784
0.033,303.598633
0.034,303.745758
0.035,299.653687
0.036,298.849335
0.037,298.748413
0.038,299.394836
0.039,298.829193
0.04,298.716919
0.041,300.849792
0.042,300.98703
0.043,295.969452
0.044,300.079315
0.045,298.956421
0.046,299.393768
0.047,301.777252
0.048,299.458038
0.049,301.302521
0.05,300.474182
0.051,298.063477
0.052,299.234222
0.053,301.221893
0.054,300.782867
0.055,302.810852
0.056,301.159729
0.057,299.243988
0.058,299.524963
0.059,301.598083
0.06,303.564545
0.061,299.905212
0.062,298.839722
0.063,297.984253
0.064,301.165405
0.065,303.038452
0.066,301.932892
0.067,302.825775
0.068,297.732666
0.069,300.187073
0.07,300.422455
0.071,302.466919
0.072,301.598816
0.073,298.918518
0.074,301.800751
0.075,300.272278
0.076,301.86731
0.077,300.440796
0.078,299.273895
0.079,297.474213
0.08,297.587036
0.081,299.081512
0.082,299.307892
0.083,301.132416
0.084,299.906555
0.085,298.394592
0.086,297.642609
0.087,297.837524
0.088,299.015869
0.089,299.125427
0.09,297.47171
0.091,303.482208
0.092,299.640991
0.093,299.792969
0.094,298.08667
0.095,297.409698
0.096,298.672699
0.097,300.494659
0.098,299.997009
0.099,300.158752
0.1,301.326233
