"time_ns","temp_K","press_bar","density"
0,301.324219,-287.147369,995.038086
0.001,300.724548,-438.504364,999.194519
0.002,300.703735,-112.854065,1004.806946
0.003,294.260742,-22.053068,1007.697083
0.004,300.806183,-356.422852,1011.861084
0.005,300.322479,-168.743942,1016.388428
0.006,301.699127,-252.72493,1017.699158
0.007,299.747925,-7.083456,1016.764587
0.008,298.574341,13.838582,1021.344788
0.009,301.823669,-253.551926,1022.593689
0.01,302.163971,39.154865,1019.636536
0.011,296.460541,-360.759735,1018.981079
0.012,302.673523,174.74321,1020.02179
0.013,300.360687,-192.5168,1016.377136
0.014,299.958832,-234.087967,1017.302185
0.015,298.701447,-93.721962,1015.792786
0.016,300.518951,142.446671,1016.769043
0.017,301.084076,38.323925,1014.082031
0.018,301.651672,-249.698044,1010.664062
0.019,299.424316,-250.873413,1015.79541
0.02,297.058929,-38.164352,1015.154663
0.021,301.429993,16.632135,1022.240417
0.022,300.978699,-115.507622,1018.959351
0.023,299.442566,-121.94059,1017.712463
0.024,301.216919,-14.974811,1020.450623
0.025,298.893646,-26.140146,1021.973999
0.026,296.567047,70.82016,1022.274414
0.027,299.506409,84.243828,1023.711853
0.028,302.077576,-5.482572,1022.352966
0.029,300.543976,-20.257921,1022.884521
0.03,301.258362,58.202179,1015.975952
0.031,301.828827,-131.96283,1016.514832
0.032,300.185944,89.842979,1015.598694
0.033,302.372467,244.151718,1019.119263
0.034,303.073151,34.476215,1016.925232
0.035,299.182434,-105.831726,1014.622375
0.036,299.717377,-272.418915,1016.09436
0.037,301.686371,-56.945004,1017.413635
0.038,298.024902,-75.82653,1016.085205
0.039,301.576324,204.098709,1017.870972
0.04,299.870026,36.038506,1017.297363
0.041,299.505524,-240.870193,1017.885803
0.042,302.628296,139.869339,1023.77832
0.043,300.93103,188.665604,1022.752625
0.044,301.490601,206.812744,1026.9729
0.045,302.447144,-0.163302,1022.213989
0.046,300.542023,44.301151,1016.430786
0.047,299.567169,-128.599243,1016.279053
0.048,300.694061,26.731323,1017.640076
0.049,298.522461,-99.261131,1021.457581
0.05,296.188782,-172.287277,1018.212646
0.051,297.917694,169.095551,1017.345581
0.052,298.243103,-31.626062,1018.524658
0.053,298.473114,61.355579,1019.25415
0.054,301.304535,-64.89109,1022.245117
0.055,301.539825,-191.925339,1017.604797
0.056,302.428223,178.149292,1016.594543
0.057,299.007965,-240.809219,1017.496643
0.058,295.124115,14.916768,1019.182983
0.059,299.398193,12.74826,1019.148254
0.06,301.23465,34.448971,1018.626648
0.061,300.683197,15.486737,1017.738403
0.062,299.627655,-5.749556,1015.635376
0.063,297.503052,-34.860222,1015.600464
0.064,299.481476,-204.785812,1016.059814
0.065,297.644165,-104.101067,1015.307007
0.066,300.08548,-53.660324,1017.719788
0.067,301.003601,-114.98304,1019.601501
0.068,301.251526,112.168129,1018.549561
0.069,300.323334,-71.040993,1018.998657
0.07,298.415894,-135.334885,1017.131287
0.071,301.353271,-9.760343,1017.045715
0.072,299.309509,7.543457,1018.890564
0.073,300.353943,114.133789,1019.257446
0.074,301.458038,-191.713135,1012.340637
0.075,302.085541,-129.31813,1012.539001
0.076,302.946289,-101.248131,1014.959717
0.077,298.933624,-66.809952,1017.713196
0.078,302.170074,248.137955,1021.219543
0.079,301.410492,56.331287,1015.517761
0.08,297.704468,-8.212771,1012.214905
0.081,300.034607,-391.359039,1010.470398
0.082,302.738647,-128.009308,1016.32019
0.083,300.526886,179.864365,1017.756592
0.084,298.850555,-27.85113,1014.43573
0.085,301.189911,-61.686279,1016.192688
0.086,299.847382,112.587433,1018.85022
0.087,298.742981,-240.254944,1018.942139
0.088,298.372742,66.803917,1024.599609
0.089,299.161377,270.118988,1023.271118
0.09,297.954346,25.585688,1020.762146
0.091,299.321869,-131.50647,1020.926758
0.092,300.760223,71.486794,1020.957031
0.093,296.845337,23.485865,1022.886047
0.094,296.251923,-29.35021,1022.260193
0.095,300.948029,-26.710571,1020.472168
0.096,300.034515,-0.315664,1018.769043
0.097,300.527008,58.812908,1014.129944
0.098,300.644562,-33.752056,1014.092224
0.099,301.047241,-143.667282,1012.523438
0.1,300.299683,-126.749367,1016.832581
