rmsd_nm,rg_nm,dg_kjmol
5.098999999999999800e-04,1.651669999999999972e+00,4.631584864258609713e+00
2.157762711864400027e-03,1.651669999999999972e+00,4.731482394543720105e+00
3.805625423728799857e-03,1.651669999999999972e+00,5.031174985399050392e+00
5.453488135593200122e-03,1.651669999999999972e+00,5.530662636824599687e+00
7.101350847457599952e-03,1.651669999999999972e+00,6.229945348820380424e+00
8.749213559322000650e-03,1.651669999999999972e+00,7.129023121386370399e+00
1.039707627118639961e-02,1.651669999999999972e+00,8.227895954522589150e+00
1.204493898305080031e-02,1.651669999999999972e+00,9.526563848229029574e+00
1.369280169491529989e-02,1.651669999999999972e+00,1.102502680250569966e+01
1.534066440677970058e-02,1.651669999999999972e+00,1.272328481735210026e+01
1.698852711864410128e-02,1.651669999999999972e+00,1.462133789275999973e+01
1.863638983050849851e-02,1.651669999999999972e+00,1.671918602856590041e+01
2.028425254237289921e-02,1.651669999999999972e+00,1.901682922155649891e+01
2.193211525423729991e-02,1.651669999999999972e+00,2.151426740851029962e+01
2.357997796610170060e-02,1.651669999999999972e+00,2.421149934519529978e+01
2.522784067796610130e-02,1.651669999999999972e+00,2.710850053679860139e+01
2.687570338983049853e-02,1.651669999999999972e+00,3.020478867170810133e+01
2.852356610169489923e-02,1.651669999999999972e+00,3.349088614526390018e+01
3.017142881355929993e-02,1.651669999999999972e+00,3.678856727950469718e+01
3.181929152542369715e-02,1.651669999999999972e+00,3.818994092519960049e+01
3.346715423728809785e-02,1.651669999999999972e+00,3.571557056843170130e+01
3.511501694915249855e-02,1.651669999999999972e+00,3.244278027656670105e+01
3.676287966101689925e-02,1.651669999999999972e+00,2.930432320457299866e+01
3.841074237288139709e-02,1.651669999999999972e+00,2.636176307793409990e+01
4.005860508474579779e-02,1.651669999999999972e+00,2.361829497445339854e+01
4.170646779661019848e-02,1.651669999999999972e+00,2.107410150198100141e+01
4.335433050847459918e-02,1.651669999999999972e+00,1.872920954648530056e+01
4.500219322033899988e-02,1.651669999999999972e+00,1.658363393363530136e+01
4.665005593220340058e-02,1.651669999999999972e+00,1.463738223211599987e+01
4.829791864406780127e-02,1.651669999999999972e+00,1.289045015425690011e+01
4.994578135593220197e-02,1.651669999999999972e+00,1.134281149796930066e+01
5.159364406779660267e-02,1.651669999999999972e+00,9.994397027178660409e+00
5.324150677966100337e-02,1.651669999999999972e+00,8.845048960734180454e+00
5.488936949152539713e-02,1.651669999999999972e+00,7.894420753819919589e+00
5.653723220338979782e-02,1.651669999999999972e+00,7.141752868323860248e+00
5.818509491525419852e-02,1.651669999999999972e+00,6.585365989142050402e+00
5.983295762711859922e-02,1.651669999999999972e+00,6.221512424980259581e+00
6.148082033898299992e-02,1.651669999999999972e+00,6.041797229373160327e+00
6.312868305084749776e-02,1.651669999999999972e+00,6.027585152038800409e+00
6.477654576271189846e-02,1.651669999999999972e+00,6.138956912447450343e+00
6.642440847457629916e-02,1.651669999999999972e+00,6.297820131135710042e+00
6.807227118644069985e-02,1.651669999999999972e+00,6.379303739953850361e+00
6.972013389830510055e-02,1.651669999999999972e+00,6.252817459202190342e+00
7.136799661016950125e-02,1.651669999999999972e+00,5.879849957420209883e+00
7.301585932203390195e-02,1.651669999999999972e+00,5.349984323469709757e+00
7.466372203389830264e-02,1.651669999999999972e+00,4.797452971613830108e+00
7.631158474576270334e-02,1.651669999999999972e+00,4.322940358086709622e+00
7.795944745762710404e-02,1.651669999999999972e+00,3.981754930441430140e+00
7.960731016949150474e-02,1.651669999999999972e+00,3.799816052117169995e+00
8.125517288135590543e-02,1.651669999999999972e+00,3.788171373508680162e+00
8.290303559322030613e-02,1.651669999999999972e+00,3.951104195449159917e+00
8.455089830508470683e-02,1.651669999999999972e+00,4.289982675962230374e+00
8.619876101694909365e-02,1.651669999999999972e+00,4.804959626938710038e+00
8.784662372881349435e-02,1.651669999999999972e+00,5.495670680041469858e+00
8.949448644067800607e-02,1.651669999999999972e+00,6.361452727426759601e+00
9.114234915254240676e-02,1.651669999999999972e+00,7.401289150152120300e+00
9.279021186440679358e-02,1.651669999999999972e+00,8.613537060954820745e+00
9.443807457627119428e-02,1.651669999999999972e+00,9.995416035839600255e+00
9.608593728813559498e-02,1.651669999999999972e+00,1.154220232397869950e+01
9.773379999999999568e-02,1.651669999999999972e+00,1.324608429149009936e+01
5.098999999999999800e-04,1.652244067796609928e+00,4.647749091232180163e+00
2.157762711864400027e-03,1.652244067796609928e+00,4.747646621517289667e+00
3.805625423728799857e-03,1.652244067796609928e+00,5.047339212372619954e+00
5.453488135593200122e-03,1.652244067796609928e+00,5.546826863798170137e+00
7.101350847457599952e-03,1.652244067796609928e+00,6.246109575793949986e+00
8.749213559322000650e-03,1.652244067796609928e+00,7.145187348359939961e+00
1.039707627118639961e-02,1.652244067796609928e+00,8.244060181496159601e+00
1.204493898305080031e-02,1.652244067796609928e+00,9.542728075202589366e+00
1.369280169491529989e-02,1.652244067796609928e+00,1.104119102947920084e+01
1.534066440677970058e-02,1.652244067796609928e+00,1.273944904432559966e+01
1.698852711864410128e-02,1.652244067796609928e+00,1.463750211973190041e+01
1.863638983050849851e-02,1.652244067796609928e+00,1.673535025550750177e+01
2.028425254237289921e-02,1.652244067796609928e+00,1.903299344790769965e+01
2.193211525423729991e-02,1.652244067796609928e+00,2.153043162334969907e+01
2.357997796610170060e-02,1.652244067796609928e+00,2.422766333542680073e+01
2.522784067796610130e-02,1.652244067796609928e+00,2.712466014203370079e+01
2.687570338983049853e-02,1.652244067796609928e+00,3.022086263755589997e+01
2.852356610169489923e-02,1.652244067796609928e+00,3.350529417350819728e+01
3.017142881355929993e-02,1.652244067796609928e+00,3.677320516167480235e+01
3.181929152542369715e-02,1.652244067796609928e+00,3.797021985201290306e+01
3.346715423728809785e-02,1.652244067796609928e+00,3.538089759630889830e+01
3.511501694915249855e-02,1.652244067796609928e+00,3.210123944339930091e+01
3.676287966101689925e-02,1.652244067796609928e+00,2.896442748254889921e+01
3.841074237288139709e-02,1.652244067796609928e+00,2.602386117133769972e+01
4.005860508474579779e-02,1.652244067796609928e+00,2.328231438417920174e+01
4.170646779661019848e-02,1.652244067796609928e+00,2.073995107277429994e+01
4.335433050847459918e-02,1.652244067796609928e+00,1.839679936142680106e+01
4.500219322033899988e-02,1.652244067796609928e+00,1.625287564988060041e+01
4.665005593220340058e-02,1.652244067796609928e+00,1.430818805771420088e+01
4.829791864406780127e-02,1.652244067796609928e+00,1.256273113664109964e+01
4.994578135593220197e-02,1.652244067796609928e+00,1.101647471215109952e+01
5.159364406779660267e-02,1.652244067796609928e+00,9.669340814196310419e+00
5.324150677966100337e-02,1.652244067796609928e+00,8.521154588802080099e+00
5.488936949152539713e-02,1.652244067796609928e+00,7.571537317146810331e+00
5.653723220338979782e-02,1.652244067796609928e+00,6.819669090541769840e+00
5.818509491525419852e-02,1.652244067796609928e+00,6.263756300818910105e+00
5.983295762711859922e-02,1.652244067796609928e+00,5.899832667686819576e+00
6.148082033898299992e-02,1.652244067796609928e+00,5.719085556526359859e+00
6.312868305084749776e-02,1.652244067796609928e+00,5.702106494115300350e+00
6.477654576271189846e-02,1.652244067796609928e+00,5.807689346878269987e+00
6.642440847457629916e-02,1.652244067796609928e+00,5.956178375048009954e+00
6.807227118644069985e-02,1.652244067796609928e+00,6.022452410356279984e+00
6.972013389830510055e-02,1.652244067796609928e+00,5.879536381575269921e+00
7.136799661016950125e-02,1.652244067796609928e+00,5.494845891248820280e+00
7.301585932203390195e-02,1.652244067796609928e+00,4.960185056905319634e+00
