"plot","status","detail"
"RmsdBackbone","PASS","label_length:PASS"
"RmsfCalpha","PASS","label_length:PASS"
"HbondNum","PASS","label_length:PASS"
"RadiusGyration","PASS","label_length:PASS"
"Sasa","PASS","label_length:PASS"
"FreeEnergyLandscape","WARN","label_length:WARN"
"FreeEnergyRmsdCom","WARN","label_length:WARN"
"FreeEnergyRmsdSasa","WARN","label_length:WARN"
"FreeEnergyLigandProteinRmsd","WARN","label_length:WARN"
"BindingEnergyDecomp","PASS","label_length:PASS"
"ResidueEnergyContrib","PASS","label_length:PASS"
"RmsdProteinLigandComplex","PASS","label_length:PASS"
"ComDistance","PASS","label_length:PASS"
"NvtTemperature","PASS","label_length:PASS"
"NptTemperature","PASS","label_length:PASS"
"NptPressure","PASS","label_length:PASS"
"NptDensity","PASS","label_length:PASS"
"MdPotential","PASS","label_length:PASS"
