"herb_zh","herb_en","gene"
"丹参","Danshen","A"
"丹参","Danshen","B"
"丹参","Danshen","Baicalin"
"丹参","Danshen","C09092"
"丹参","Danshen","Danshenol"
"丹参","Danshen","Dehydrotanshinone"
"丹参","Danshen","E"
"丹参","Danshen","II"
"丹参","Danshen","Isotanshinone"
"丹参","Danshen","Methylenetanshinquinone"
"丹参","Danshen","Miltirone"
"丹参","Danshen","Poriferasterol"
"丹参","Danshen","Przewaquinone"
"丹参","Danshen","Salvilenone"
"丹参","Danshen","Tanshindiol"
"丹参","Danshen","a"
"丹参","Danshen","acid"
"丹参","Danshen","b"
"丹参","Danshen","c"
"丹参","Danshen","cryptotanshinone"
"丹参","Danshen","d"
"丹参","Danshen","dan-shexinkum"
"丹参","Danshen","danshenspiroketallactone"
"丹参","Danshen","deoxyneocryptotanshinone"
"丹参","Danshen","digallate"
"丹参","Danshen","dihydrotanshinlactone"
"丹参","Danshen","dihydrotanshinoneⅠ"
"丹参","Danshen","epidanshenspiroketallactone"
"丹参","Danshen","f"
"丹参","Danshen","formyltanshinone"
"丹参","Danshen","g"
"丹参","Danshen","ii"
"丹参","Danshen","iia"
"丹参","Danshen","isocryptotanshi-none"
"丹参","Danshen","isoimperatorin"
"丹参","Danshen","j"
"丹参","Danshen","luteolin"
"丹参","Danshen","manool"
"丹参","Danshen","miltionone"
"丹参","Danshen","miltipolone"
"丹参","Danshen","neocryptotanshinone"
"丹参","Danshen","poriferast-5-en-3beta-ol"
"丹参","Danshen","prolithospermic"
"丹参","Danshen","przewalskin"
"丹参","Danshen","przewaquinone"
"丹参","Danshen","salvianolic"
"丹参","Danshen","salvilenone"
"丹参","Danshen","salviolone"
"丹参","Danshen","sclareol"
"丹参","Danshen","sugiol"
"丹参","Danshen","tanshinaldehyde"
"丹参","Danshen","tanshinone"
"葛根","Gegen","Daidzein-4,7-diglucoside"
"葛根","Gegen","beta-sitosterol"
"葛根","Gegen","formononetin"
"黄连","Huanglian","A_qt"
"黄连","Huanglian","Berlambine"
"黄连","Huanglian","Corchoroside"
"黄连","Huanglian","Magnograndiolide"
"黄连","Huanglian","Worenine"
"黄连","Huanglian","berberine"
"黄连","Huanglian","berberrubine"
"黄连","Huanglian","coptisine"
"黄连","Huanglian","epiberberine"
"黄连","Huanglian","palmatine"
"黄连","Huanglian","quercetin"
"黄芪","Huangqi","Bifendate"
"黄芪","Huangqi","Calycosin"
"黄芪","Huangqi","FA"
"黄芪","Huangqi","Jaranol"
"黄芪","Huangqi","formononetin"
"黄芪","Huangqi","hederagenin"
"黄芪","Huangqi","isomucronulatol-7,2'-di-O-glucosiole"
"黄芪","Huangqi","isorhamnetin"
"黄芪","Huangqi","kaempferol"
"黄芪","Huangqi","pterocarpene"
"黄芪","Huangqi","quercetin"
"人参","Renshen","A"
"人参","Renshen","Aposiopolamine"
"人参","Renshen","Deoxyharringtonine"
"人参","Renshen","Dianthramine"
"人参","Renshen","Diop"
"人参","Renshen","Frutinone"
"人参","Renshen","Fumarine"
"人参","Renshen","Ginsenoside-Rh4_qt"
"人参","Renshen","Girinimbin"
"人参","Renshen","Inermin"
"人参","Renshen","Panaxadiol"
"人参","Renshen","Stigmasterol"
"人参","Renshen","arachidonate"
"人参","Renshen","beta-sitosterol"
"人参","Renshen","ginsenoside"
"人参","Renshen","kaempferol"
"人参","Renshen","rh2"
"人参","Renshen","suchilactone"
"三七","Sanqi","DFV"
"三七","Sanqi","Diop"
"三七","Sanqi","Mandenol"
"三七","Sanqi","Stigmasterol"
"三七","Sanqi","beta-sitosterol"
"三七","Sanqi","ginsenoside"
"三七","Sanqi","quercetin"
"三七","Sanqi","rh2"
