"herb_zh","herb_en","herb_code","compound_name","compound_id","target_gene","in_disease_overlap","compound_id_mapped"
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","PTGS1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","DRD1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","CHRM3",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","SCNN1A",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","CHRM5",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","PTGS2",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","CHRM4",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","RXRA",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","OPRD1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","PDE3A",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","HTR2A",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","ADRA1A",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","CHRM2",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","ADRA1B",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","SLC6A3",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","ADRB2",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","ADRA1D",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","TOP2A",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","SLC6A4",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","OPRM1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","GABRA1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","HSP90AA2P",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","CHRNA7",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","IGHG1",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","PNRC2",TRUE,TRUE
"丹参","Danshen","DS","1,2,5,6-tetrahydrotanshinone","DS1","NCOA7",TRUE,TRUE
"丹参","Danshen","DS","Poriferasterol","DS2","NR3C2",TRUE,TRUE
"丹参","Danshen","DS","poriferast-5-en-3beta-ol","DS3","PNRC2",TRUE,TRUE
"丹参","Danshen","DS","isoimperatorin","DS4","PTGS2",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","CHRM3",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","SCNN1A",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","CHRM5",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","PTGS2",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","CHRM4",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","OPRD1",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","ACHE",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","ADRA1A",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","CHRM2",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","ADRA1B",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","ADRB2",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","ADRA1D",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","DRD4",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","OPRM1",TRUE,TRUE
"丹参","Danshen","DS","sugiol","DS5","CHRNA7",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","CHRM4",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","OPRD1",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","ACHE",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","HTR2A",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","ADRA1A",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","ADRB2",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","OPRM1",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","GABRA1",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","CTSC",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","CHRNA7",TRUE,TRUE
"丹参","Danshen","DS","Dehydrotanshinone II A","DS6","NCOA7",TRUE,TRUE
"丹参","Danshen","DS","Baicalin","DS7","F10",TRUE,TRUE
"丹参","Danshen","DS","Baicalin","DS7","PTPN22",TRUE,TRUE
"丹参","Danshen","DS","digallate","DS8","PTGS2",TRUE,TRUE
"丹参","Danshen","DS","digallate","DS8","AKR1B1",TRUE,TRUE
"丹参","Danshen","DS","digallate","DS8","HSP90AA2P",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PTGS1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","INSR",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","AR",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PTGS2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MMP2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","TNF",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","EGF",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CTSC",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","HGF",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","IL36A",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MMP1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MAP3K7",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","IFNG",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","JUN",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","HSP90AA2P",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PIK3CG",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","XDH",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CDK2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","TP53",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","APP",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PRKACA",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","TOP1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","HMOX1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","RBL1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PRSS1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PNRC2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CASP7",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","IL2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","NAIP",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","BAK1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CASP3",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CASP9",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CD40LG",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CDKN1C",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","TOP2A",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MDM2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CCND3",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","CCNB1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MCL1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","ICAM2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","IL10",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","IL4",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","NUF2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","MMP9",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","NFKBIE",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PPARG",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PCNA",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","PTGES2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","AKT1",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","ERBB2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","SLC2A2",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","RELA",TRUE,TRUE
"丹参","Danshen","DS","luteolin","DS9","TYR",TRUE,TRUE
