"compound_id","compound_name","n_overlap_targets","n_herbs","herbs"
"same1","quercetin",134,3,"Huanglian;Huangqi;Sanqi"
"DS9","luteolin",53,1,"Danshen"
"same5","kaempferol",45,2,"Huangqi;Renshen"
"HQ5","7-O-methylisomucronulatol",40,1,"Huangqi"
"DS57","tanshinone iia",37,1,"Danshen"
"same7","formononetin",35,2,"Gegen;Huangqi"
"HQ3","isorhamnetin",34,1,"Huangqi"
"same4","beta-sitosterol",32,3,"Gegen;Renshen;Sanqi"
"DS14","4-methylenemiltirone",29,1,"Danshen"
"DS53","salviolone",29,1,"Danshen"
"DS30","cryptotanshinone",27,1,"Danshen"
"DS45","neocryptotanshinone ii",27,1,"Danshen"
"DS1","1,2,5,6-tetrahydrotanshinone",26,1,"Danshen"
"same3","Stigmasterol",26,2,"Renshen;Sanqi"
"DS41","miltionone Ⅰ",25,1,"Danshen"
"RS16","Fumarine",25,1,"Renshen"
"DS11","2-isopropyl-8-methylphenanthrene-3,4-dione",22,1,"Danshen"
"DS44","Miltirone",22,1,"Danshen"
"HQ10","Calycosin",22,1,"Huangqi"
"DS22","przewaquinone c",20,1,"Danshen"
"DS38","isocryptotanshi-none",20,1,"Danshen"
"HQ7","(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",19,1,"Huangqi"
"HL8","palmatine",18,1,"Huanglian"
"HL4","(R)-Canadine",17,1,"Huanglian"
"DS34","dihydrotanshinlactone",16,1,"Danshen"
"DS36","epidanshenspiroketallactone",16,1,"Danshen"
"HL1","berberine",16,1,"Huanglian"
"RS10","Frutinone A",16,1,"Renshen"
"DS10","5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",15,1,"Danshen"
"DS17","3-beta-Hydroxymethyllenetanshiquinone",15,1,"Danshen"
"DS5","sugiol",15,1,"Danshen"
"DS18","Methylenetanshinquinone",14,1,"Danshen"
"RS15","suchilactone",14,1,"Renshen"
"HQ1","Jaranol",13,1,"Huangqi"
"DS26","tanshinaldehyde",12,1,"Danshen"
"HL2","berberrubine",12,1,"Huanglian"
"SQ2","DFV",12,1,"Sanqi"
"DS6","Dehydrotanshinone II A",11,1,"Danshen"
"DS47","1-methyl-8,9-dihydro-7H-naphtho[5,6-g]benzofuran-6,10,11-trione",10,1,"Danshen"
"DS48","prolithospermic acid",10,1,"Danshen"
"RS13","Girinimbin",10,1,"Renshen"
"DS21","Przewaquinone B",9,1,"Danshen"
"DS31","dan-shexinkum d",9,1,"Danshen"
"GG3","3'-Methoxydaidzein",9,1,"Gegen"
"HL5","Berlambine",9,1,"Huanglian"
"HQ2","hederagenin",9,1,"Huangqi"
"DS16","formyltanshinone",8,1,"Danshen"
"DS33","deoxyneocryptotanshinone",8,1,"Danshen"
"DS49","(2R)-3-(3,4-dihydroxyphenyl)-2-[(Z)-3-(3,4-dihydroxyphenyl)acryloyl]oxy-propionic acid",8,1,"Danshen"
"HL10","coptisine",8,1,"Huanglian"
"RS4","Inermin",8,1,"Renshen"
"DS23","(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",7,1,"Danshen"
"DS28","Danshenol A",7,1,"Danshen"
"DS29","Salvilenone",7,1,"Danshen"
"DS35","dihydrotanshinoneⅠ",7,1,"Danshen"
"DS52","salvilenone Ⅰ",7,1,"Danshen"
"DS54","(6S)-6-hydroxy-1-methyl-6-methylol-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-quinone",7,1,"Danshen"
"HL11","Worenine",7,1,"Huanglian"
"RS6","Aposiopolamine",7,1,"Renshen"
"DS27","Danshenol B",6,1,"Danshen"
"DS39","Isotanshinone II",6,1,"Danshen"
"DS42","miltionone Ⅱ",6,1,"Danshen"
"DS46","neocryptotanshinone",6,1,"Danshen"
"DS55","Tanshindiol B",6,1,"Danshen"
"DS56","Przewaquinone E",6,1,"Danshen"
"HQ8","Bifendate",6,1,"Huangqi"
"DS20","przewalskin b",5,1,"Danshen"
"DS24","przewaquinone f",5,1,"Danshen"
"DS32","danshenspiroketallactone",5,1,"Danshen"
"HQ14","1,7-Dihydroxy-3,9-dimethoxy pterocarpene",4,1,"Huangqi"
"RS9","arachidonate",4,1,"Renshen"
"DS12","3α-hydroxytanshinoneⅡa",3,1,"Danshen"
"DS13","(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",3,1,"Danshen"
"DS51","salvianolic acid j",3,1,"Danshen"
"DS58","(6S)-6-(hydroxymethyl)-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",3,1,"Danshen"
"DS59","tanshinone Ⅵ",3,1,"Danshen"
"DS8","digallate",3,1,"Danshen"
"HL7","Magnograndiolide",3,1,"Huanglian"
"HQ12","FA",3,1,"Huangqi"
"HQ4","3,9-di-O-methylnissolin",3,1,"Huangqi"
"HQ6","9,10-dimethoxypterocarpan-3-O-β-D-glucoside",3,1,"Huangqi"
"RS8","Dianthramine",3,1,"Renshen"
"same2","Diop",3,2,"Renshen;Sanqi"
"SQ1","Mandenol",3,1,"Sanqi"
"DS15","2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde",2,1,"Danshen"
