"name","type","Degree"
"DS","A",59
"HL","A",11
"RS","A",16
"HQ","A",15
"GG","A",4
"SQ","A",7
"DS1","B",27
"DS2","B",2
"DS3","B",2
"DS4","B",2
"DS5","B",16
"DS6","B",12
"DS7","B",3
"DS8","B",4
"DS9","B",54
"DS10","B",16
"DS11","B",23
"DS12","B",4
"DS13","B",4
"DS14","B",30
"DS15","B",3
"DS16","B",9
"DS17","B",16
"DS18","B",15
"DS19","B",3
"DS20","B",6
"DS21","B",10
"DS22","B",21
"DS23","B",8
"DS24","B",6
"DS25","B",2
"DS26","B",13
"DS27","B",7
"DS28","B",8
"DS29","B",8
"DS30","B",28
"DS31","B",10
"DS32","B",6
"DS33","B",9
"DS34","B",17
"DS35","B",8
"DS36","B",17
"DS37","B",3
"DS38","B",21
"DS39","B",7
"DS40","B",2
"DS41","B",26
"DS42","B",7
"DS43","B",3
"DS44","B",23
"DS45","B",28
"DS46","B",7
"DS47","B",11
"DS48","B",11
"DS49","B",9
"DS50","B",2
"DS51","B",4
"DS52","B",8
"DS53","B",30
"DS54","B",8
"DS55","B",7
"DS56","B",7
"DS57","B",38
"DS58","B",4
"DS59","B",4
"HL1","B",17
"HL2","B",13
"HL3","B",2
"HL4","B",18
"HL5","B",10
"HL6","B",3
"HL7","B",4
"HL8","B",19
"same1","B",137
"HL10","B",9
"HL11","B",8
"same2","B",5
"same3","B",28
"same4","B",35
"RS4","B",9
"same5","B",47
"RS6","B",8
"RS7","B",3
"RS8","B",4
"RS9","B",5
"RS10","B",17
"same6","B",4
"RS12","B",3
"RS13","B",11
"RS14","B",2
"RS15","B",15
"RS16","B",26
"HQ1","B",14
"HQ2","B",10
"HQ3","B",35
"HQ4","B",4
"HQ5","B",41
"HQ6","B",4
"HQ7","B",20
"HQ8","B",7
"same7","B",37
"HQ10","B",23
"HQ12","B",4
"HQ13","B",2
"HQ14","B",5
"GG3","B",10
"GG4","B",2
"SQ1","B",4
"SQ2","B",13
"hsa05418","D",29
"hsa04933","D",25
"hsa04218","D",25
"hsa04668","D",21
"hsa04657","D",19
"hsa04010","D",29
"hsa04210","D",19
"hsa04151","D",30
"hsa04066","D",16
"hsa04926","D",17
"hsa04932","D",17
"hsa04071","D",14
"hsa04064","D",13
"hsa04620","D",13
"hsa04931","D",13
"hsa04022","D",16
