"term","type"
"DS","A"
"HL","A"
"RS","A"
"HQ","A"
"GG","A"
"SQ","A"
"DS1","B"
"DS2","B"
"DS3","B"
"DS4","B"
"DS5","B"
"DS6","B"
"DS7","B"
"DS8","B"
"DS9","B"
"DS10","B"
"DS11","B"
"DS12","B"
"DS13","B"
"DS14","B"
"DS15","B"
"DS16","B"
"DS17","B"
"DS18","B"
"DS19","B"
"DS20","B"
"DS21","B"
"DS22","B"
"DS23","B"
"DS24","B"
"DS25","B"
"DS26","B"
"DS27","B"
"DS28","B"
"DS29","B"
"DS30","B"
"DS31","B"
"DS32","B"
"DS33","B"
"DS34","B"
"DS35","B"
"DS36","B"
"DS37","B"
"DS38","B"
"DS39","B"
"DS40","B"
"DS41","B"
"DS42","B"
"DS43","B"
"DS44","B"
"DS45","B"
"DS46","B"
"DS47","B"
"DS48","B"
"DS49","B"
"DS50","B"
"DS51","B"
"DS52","B"
"DS53","B"
"DS54","B"
"DS55","B"
"DS56","B"
"DS57","B"
"DS58","B"
"DS59","B"
"HL1","B"
"HL2","B"
"HL3","B"
"HL4","B"
"HL5","B"
"HL6","B"
"HL7","B"
"HL8","B"
"same1","B"
"HL10","B"
"HL11","B"
"same2","B"
"same3","B"
"same4","B"
"RS4","B"
"same5","B"
"RS6","B"
"RS7","B"
"RS8","B"
"RS9","B"
"RS10","B"
"same6","B"
"RS12","B"
"RS13","B"
"RS14","B"
"RS15","B"
"RS16","B"
"HQ1","B"
"HQ2","B"
"HQ3","B"
"HQ4","B"
"HQ5","B"
"HQ6","B"
"HQ7","B"
"HQ8","B"
"same7","B"
"HQ10","B"
"HQ12","B"
"HQ13","B"
"HQ14","B"
"GG3","B"
"GG4","B"
"SQ1","B"
"SQ2","B"
"PTGS1","C"
"DRD1","C"
"CHRM3","C"
"SCNN1A","C"
"CHRM5","C"
"PTGS2","C"
"CHRM4","C"
"RXRA","C"
"OPRD1","C"
"PDE3A","C"
"HTR2A","C"
"ADRA1A","C"
"CHRM2","C"
"ADRA1B","C"
"SLC6A3","C"
"ADRB2","C"
"ADRA1D","C"
"TOP2A","C"
"SLC6A4","C"
"OPRM1","C"
"GABRA1","C"
"HSP90AA2P","C"
"CHRNA7","C"
"IGHG1","C"
"PNRC2","C"
"NCOA7","C"
"NR3C2","C"
"ACHE","C"
"DRD4","C"
"CTSC","C"
"F10","C"
"PTPN22","C"
"AKR1B1","C"
"INSR","C"
