stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000176183	9606.ENSP00000270349	DRD4	SLC6A3	9606	0.96	0	0	0	0.054	0	0	0.96
9606.ENSP00000176183	9606.ENSP00000261707	DRD4	SLC6A4	9606	0.978	0	0	0	0.054	0	0	0.978
9606.ENSP00000212015	9606.ENSP00000385523	SIRT1	PPARA	9606	0.906	0	0	0	0	0.345	0	0.862
9606.ENSP00000212015	9606.ENSP00000345571	SIRT1	E2F1	9606	0.924	0	0	0	0	0.625	0	0.806
9606.ENSP00000212015	9606.ENSP00000360266	SIRT1	JUN	9606	0.927	0	0	0	0.044	0.71	0	0.758
9606.ENSP00000212015	9606.ENSP00000293288	SIRT1	BAX	9606	0.942	0	0	0	0.058	0	0.9	0.438
9606.ENSP00000212015	9606.ENSP00000226574	SIRT1	NFKB1	9606	0.983	0	0	0	0.049	0.33	0.9	0.768
9606.ENSP00000212015	9606.ENSP00000384273	SIRT1	RELA	9606	0.995	0	0	0	0.049	0.646	0.9	0.89
9606.ENSP00000212015	9606.ENSP00000287820	SIRT1	PPARG	9606	0.998	0	0	0	0	0.345	0.9	0.981
9606.ENSP00000212015	9606.ENSP00000269305	SIRT1	TP53	9606	0.999	0	0	0	0	0.886	0.9	0.99
9606.ENSP00000216117	9606.ENSP00000380252	HMOX1	NFE2L2	9606	0.989	0	0	0	0.05	0	0.75	0.96
9606.ENSP00000219070	9606.ENSP00000356505	MMP2	NCF2	9606	0.917	0	0	0	0	0	0.9	0.205
9606.ENSP00000219070	9606.ENSP00000361405	MMP2	MMP9	9606	0.918	0	0	0.061	0.128	0	0.9	0.116
9606.ENSP00000219070	9606.ENSP00000322788	MMP2	MMP1	9606	0.93	0	0	0	0.181	0	0.9	0.215
9606.ENSP00000219070	9606.ENSP00000368683	MMP2	EDN1	9606	0.958	0	0	0	0.042	0	0.9	0.601
9606.ENSP00000219070	9606.ENSP00000221930	MMP2	TGFB1	9606	0.962	0	0	0	0.07	0.6	0.4	0.85
9606.ENSP00000220809	9606.ENSP00000366307	PLAT	THBD	9606	0.913	0	0	0	0.092	0.094	0	0.903
9606.ENSP00000220809	9606.ENSP00000334145	PLAT	F3	9606	0.932	0	0	0	0.169	0	0	0.922
9606.ENSP00000220809	9606.ENSP00000223095	PLAT	SERPINE1	9606	0.999	0	0	0	0.202	0.959	0.9	0.999
9606.ENSP00000221930	9606.ENSP00000265171	TGFB1	EGF	9606	0.904	0	0	0	0	0	0	0.904
9606.ENSP00000221930	9606.ENSP00000222390	TGFB1	HGF	9606	0.921	0	0	0	0.064	0	0.4	0.871
9606.ENSP00000221930	9606.ENSP00000287820	TGFB1	PPARG	9606	0.922	0	0	0	0.105	0	0.75	0.68
9606.ENSP00000221930	9606.ENSP00000263341	TGFB1	IL1B	9606	0.932	0	0	0	0.14	0	0	0.924
9606.ENSP00000221930	9606.ENSP00000412237	TGFB1	IL10	9606	0.932	0	0	0	0	0	0.4	0.891
9606.ENSP00000221930	9606.ENSP00000398698	TGFB1	TNF	9606	0.941	0	0	0	0.125	0	0	0.935
9606.ENSP00000221930	9606.ENSP00000361405	TGFB1	MMP9	9606	0.968	0	0	0	0.082	0.599	0.4	0.872
9606.ENSP00000222390	9606.ENSP00000269571	HGF	ERBB2	9606	0.918	0	0	0	0	0.193	0.65	0.736
9606.ENSP00000222390	9606.ENSP00000267101	HGF	ERBB3	9606	0.952	0	0	0	0	0	0.9	0.543
9606.ENSP00000223061	9606.ENSP00000304408	PCOLCE	COL3A1	9606	0.976	0	0	0	0.336	0.909	0.4	0.428
9606.ENSP00000223095	9606.ENSP00000334145	SERPINE1	F3	9606	0.902	0	0	0	0.168	0	0	0.887
9606.ENSP00000223095	9606.ENSP00000361850	SERPINE1	PLAU	9606	0.999	0	0	0	0.259	0.977	0.54	0.999
