term,enrichment,pvalue,count,ontology
positive regulation of hyaluronan biosynthetic process,111.6007282,1.19062e-06,3,BP
regulation of serotonin secretion,111.6007282,1.19062e-06,3,BP
glial cell apoptotic process,111.6007282,1.19062e-06,3,BP
response to anesthetic,111.6007282,1.19062e-06,3,BP
positive regulation of fever generation,99.20064725,2.94063e-08,4,BP
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,93.0006068,7.19323e-10,5,BP
regulation of systemic arterial blood pressure by norepinephrine-epinephrine,89.28058252,2.96176e-06,3,BP
"blood coagulation, common pathway",89.28058252,2.96176e-06,3,BP
neuron-glial cell signaling,89.28058252,2.96176e-06,3,BP
adenylate cyclase-inhibiting adrenergic receptor signaling pathway,89.28058252,2.96176e-06,3,BP
serine protease inhibitor complex,74.40048544,5.89412e-06,3,CC
protease inhibitor complex,62.00040453,9.95283e-09,5,CC
Bcl-2 family protein complex,59.52038835,4.0308e-07,4,CC
peptidase inhibitor complex,49.60032362,3.71231e-08,5,CC
caspase complex,35.01199315,4.40256e-06,4,CC
serine-type peptidase complex,30.635494,2.57812e-09,7,CC
serine-type endopeptidase complex,30.635494,2.57812e-09,7,CC
GABA-A receptor complex,23.49489014,0.000267717,3,CC
GABA receptor complex,21.25728155,0.000363832,3,CC
neuronal dense core vesicle,19.20012527,5.40675e-05,4,CC
tetrapyrrole binding,9.986642340522575,7.32389e-08,10,MF
serine-type endopeptidase activity,9.975484080924227,3.57431e-09,12,MF
protein serine/threonine kinase activator activity,9.920064724919094,0.000153839,5,MF
integrin binding,9.789537557485948,8.83983e-08,10,MF
nuclear receptor binding,9.704411143942592,4.25723e-07,9,MF
growth factor activity,9.634595236432212,4.52574e-07,9,MF
serine hydrolase activity,9.529126213592232,1.37443e-09,13,MF
fatty acid binding,9.49793431109275,0.003901888,3,MF
transcription regulator inhibitor activity,9.49793431109275,0.003901888,3,MF
DNA-binding transcription factor binding,9.166384242738385,3.6013e-20,30,MF
