ID,term,GeneRatio,BgRatio,pvalue,padj,geneID,count,one_type,two_type
hsa05418,Fluid shear stress and atherosclerosis,29/183,139/7914,3.03381590872989e-20,3.9591297608925e-18,MMP2/TNF/MAP3K7/IFNG/JUN/TP53/HMOX1/MMP9/AKT1/RELA/CALML5/NOS3/EDN1/BCL2/ITGB3/FOS/IL1B/SELE/PLAT/VCAM1/THBD/GSTM2/CAV1/NFKB1/IL1A/NCF2/NFE2L2/IKBKB/MAPK14,29,Human Diseases,Cardiovascular disease
hsa04933,AGE-RAGE signaling pathway in diabetic complications,25/183,100/7914,1.3212980765409e-19,1.14952932659058e-17,MMP2/TNF/JUN/CASP3/AKT1/RELA/NOS3/PIM1/EDN1/STAT5B/BCL2/IL1B/SELE/VCAM1/THBD/F3/COL3A1/BAX/NFKB1/IL1A/SERPINE1/PRKCB/TGFB1/VEGFC/MAPK14,25,Human Diseases,Endocrine and metabolic disease
hsa04218,Cellular senescence,25/183,160/7914,1.89525241229464e-14,7.06658399441287e-13,CDK2/TP53/RBL1/MDM2/CCND3/CCNB1/AKT1/RELA/CALML5/CDK1/CCNA2/CHEK1/MYC/CDKN2A/NFKB1/IL1A/SERPINE1/RAF1/CHEK2/E2F1/E2F2/TGFB1/PTEN/MAPK14/SIRT1,25,Cellular Processes,Cell growth and death
hsa04668,TNF signaling pathway,21/183,112/7914,6.456715716183441e-14,2.10650350240485e-12,PTGS2/TNF/MAP3K7/JUN/CASP7/CASP3/MMP9/AKT1/RELA/EDN1/FOS/CXCL2/IL1B/SELE/VCAM1/MMP3/CASP8/NFKB1/IKBKB/VEGFC/MAPK14,21,Environmental Information Processing,Signal transduction
hsa04657,IL-17 signaling pathway,19/183,93/7914,2.10216294997909e-13,4.9878593631321996e-12,PTGS2/TNF/MMP1/MAP3K7/IFNG/JUN/CASP3/IL4/MMP9/RELA/GSK3B/FOS/CXCL2/IL1B/MMP3/CASP8/NFKB1/IKBKB/MAPK14,19,Organismal Systems,Immune system
hsa04010,MAPK signaling pathway,29/183,295/7914,2.4610851934493797e-11,3.56857353050161e-10,INSR/TNF/EGF/HGF/MAP3K7/JUN/TP53/PRKACA/CASP3/AKT1/ERBB2/RELA/MYC/FOS/IL1B/ELK1/HSPB1/NFKB1/IGF2/IL1A/PRKCB/RAF1/RASA1/ERBB3/TGFB1/IKBKB/VEGFC/CACNA1S/MAPK14,29,Environmental Information Processing,Signal transduction
hsa04210,Apoptosis,19/183,136/7914,2.33894103902525e-10,2.1802271828056803e-09,CTSC/TNF/JUN/TP53/CASP7/BAK1/CASP3/CASP9/MCL1/AKT1/RELA/BCL2/FOS/CTSD/BAX/CASP8/NFKB1/RAF1/IKBKB,19,Cellular Processes,Cell growth and death
hsa04151,PI3K-Akt signaling pathway,30/183,354/7914,4.34703115432407e-10,3.78191710426194e-09,RXRA/CHRM2/INSR/EGF/HGF/PIK3CG/CDK2/TP53/IL2/CASP9/MDM2/CCND3/MCL1/IL4/AKT1/ERBB2/RELA/NOS3/GSK3B/BCL2/ITGB3/MYC/NFKB1/IGF2/SPP1/RAF1/ERBB3/PTEN/IKBKB/VEGFC,30,Environmental Information Processing,Signal transduction
hsa04066,HIF-1 signaling pathway,16/183,109/7914,3.1652857875239804e-09,2.29483219595489e-08,INSR/EGF/IFNG/HMOX1/AKT1/ERBB2/RELA/NOS3/EDN1/NOS2/BCL2/GAPDH/HK2/NFKB1/SERPINE1/PRKCB,16,Environmental Information Processing,Signal transduction
hsa04926,Relaxin signaling pathway,17/183,129/7914,5.4388607622061205e-09,3.63985297163025e-08,MMP2/MMP1/JUN/PRKACA/MMP9/AKT1/RELA/NOS3/EDN1/NOS2/FOS/COL3A1/NFKB1/RAF1/TGFB1/VEGFC/MAPK14,17,Organismal Systems,Endocrine system
hsa04932,Non-alcoholic fatty liver disease (NAFLD),17/183,149/7914,4.91230985069128e-08,2.41908088873665e-07,RXRA/INSR/TNF/JUN/CASP7/CASP3/AKT1/RELA/GSK3B/IL1B/BAX/CASP8/NFKB1/IL1A/PPARA/TGFB1/IKBKB,17,Human Diseases,Endocrine and metabolic disease
hsa04071,Sphingolipid signaling pathway,14/183,119/7914,5.38912500777051e-07,2.34190888644941e-06,OPRD1/TNF/TP53/AKT1/RELA/NOS3/BCL2/CTSD/BAX/NFKB1/PRKCB/RAF1/PTEN/MAPK14,14,Environmental Information Processing,Signal transduction
hsa04064,NF-kappa B signaling pathway,13/183,102/7914,5.47342689936453e-07,2.34190888644941e-06,PTGS2/TNF/MAP3K7/CD40LG/RELA/BCL2/PLAU/CXCL2/IL1B/VCAM1/NFKB1/PRKCB/IKBKB,13,Environmental Information Processing,Signal transduction
hsa04620,Toll-like receptor signaling pathway,13/183,104/7914,6.87571313488844e-07,2.84850972731092e-06,TNF/MAP3K7/JUN/AKT1/RELA/FOS/IL1B/CASP8/NFKB1/IRF3/SPP1/IKBKB/MAPK14,13,Organismal Systems,Immune system
