compound_name,compound_id,herb_code,share_count
"1,2,5,6-tetrahydrotanshinone",DS1,DS,1
Poriferasterol,DS2,DS,1
poriferast-5-en-3beta-ol,DS3,DS,1
isoimperatorin,DS4,DS,1
sugiol,DS5,DS,1
Dehydrotanshinone II A,DS6,DS,1
Baicalin,DS7,DS,1
digallate,DS8,DS,1
luteolin,DS9,DS,1
"5,6-dihydroxy-7-isopropyl-1,1-dimethyl-2,3-dihydrophenanthren-4-one",DS10,DS,1
"2-isopropyl-8-methylphenanthrene-3,4-dione",DS11,DS,1
3α-hydroxytanshinoneⅡa,DS12,DS,1
"(E)-3-[2-(3,4-dihydroxyphenyl)-7-hydroxy-benzofuran-4-yl]acrylic acid",DS13,DS,1
4-methylenemiltirone,DS14,DS,1
2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde,DS15,DS,1
formyltanshinone,DS16,DS,1
3-beta-Hydroxymethyllenetanshiquinone,DS17,DS,1
Methylenetanshinquinone,DS18,DS,1
przewalskin a,DS19,DS,1
przewalskin b,DS20,DS,1
Przewaquinone B,DS21,DS,1
przewaquinone c,DS22,DS,1
"(6S,7R)-6,7-dihydroxy-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",DS23,DS,1
przewaquinone f,DS24,DS,1
sclareol,DS25,DS,1
tanshinaldehyde,DS26,DS,1
Danshenol B,DS27,DS,1
Danshenol A,DS28,DS,1
Salvilenone,DS29,DS,1
cryptotanshinone,DS30,DS,1
dan-shexinkum d,DS31,DS,1
danshenspiroketallactone,DS32,DS,1
deoxyneocryptotanshinone,DS33,DS,1
dihydrotanshinlactone,DS34,DS,1
dihydrotanshinoneⅠ,DS35,DS,1
epidanshenspiroketallactone,DS36,DS,1
C09092,DS37,DS,1
isocryptotanshi-none,DS38,DS,1
Isotanshinone II,DS39,DS,1
manool,DS40,DS,1
miltionone Ⅰ,DS41,DS,1
miltionone Ⅱ,DS42,DS,1
miltipolone,DS43,DS,1
Miltirone,DS44,DS,1
neocryptotanshinone ii,DS45,DS,1
neocryptotanshinone,DS46,DS,1
"1-methyl-8,9-dihydro-7H-naphtho[5,6-g]benzofuran-6,10,11-trione",DS47,DS,1
prolithospermic acid,DS48,DS,1
"(2R)-3-(3,4-dihydroxyphenyl)-2-[(Z)-3-(3,4-dihydroxyphenyl)acryloyl]oxy-propionic acid",DS49,DS,1
salvianolic acid g,DS50,DS,1
salvianolic acid j,DS51,DS,1
salvilenone Ⅰ,DS52,DS,1
salviolone,DS53,DS,1
"(6S)-6-hydroxy-1-methyl-6-methylol-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-quinone",DS54,DS,1
Tanshindiol B,DS55,DS,1
Przewaquinone E,DS56,DS,1
tanshinone iia,DS57,DS,1
"(6S)-6-(hydroxymethyl)-1,6-dimethyl-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-dione",DS58,DS,1
tanshinone Ⅵ,DS59,DS,1
berberine,HL1,HL,1
berberrubine,HL2,HL,1
epiberberine,HL3,HL,1
(R)-Canadine,HL4,HL,1
Berlambine,HL5,HL,1
Corchoroside A_qt,HL6,HL,1
Magnograndiolide,HL7,HL,1
palmatine,HL8,HL,1
quercetin,same1,HL,3
coptisine,HL10,HL,1
Worenine,HL11,HL,1
Diop,same2,RS,2
Stigmasterol,same3,RS,2
beta-sitosterol,same4,RS,3
Inermin,RS4,RS,1
kaempferol,same5,RS,2
Aposiopolamine,RS6,RS,1
Deoxyharringtonine,RS7,RS,1
Dianthramine,RS8,RS,1
arachidonate,RS9,RS,1
Frutinone A,RS10,RS,1
ginsenoside rh2,same6,RS,2
Ginsenoside-Rh4_qt,RS12,RS,1
Girinimbin,RS13,RS,1
Panaxadiol,RS14,RS,1
suchilactone,RS15,RS,1
Fumarine,RS16,RS,1
Jaranol,HQ1,HQ,1
hederagenin,HQ2,HQ,1
isorhamnetin,HQ3,HQ,1
"3,9-di-O-methylnissolin",HQ4,HQ,1
7-O-methylisomucronulatol,HQ5,HQ,1
"9,10-dimethoxypterocarpan-3-O-β-D-glucoside",HQ6,HQ,1
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",HQ7,HQ,1
Bifendate,HQ8,HQ,1
formononetin,same7,HQ,2
Calycosin,HQ10,HQ,1
kaempferol,same5,HQ,2
FA,HQ12,HQ,1
"isomucronulatol-7,2'-di-O-glucosiole",HQ13,HQ,1
"1,7-Dihydroxy-3,9-dimethoxy pterocarpene",HQ14,HQ,1
quercetin,same1,HQ,3
formononetin,same7,GG,2
beta-sitosterol,same4,GG,3
3'-Methoxydaidzein,GG3,GG,1
"Daidzein-4,7-diglucoside",GG4,GG,1
Mandenol,SQ1,SQ,1
DFV,SQ2,SQ,1
Diop,same2,SQ,2
beta-sitosterol,same4,SQ,3
Stigmasterol,same3,SQ,2
ginsenoside rh2,same6,SQ,2
quercetin,same1,SQ,3
