herb,herb_zh,compound_id,target_gene
Sanqi,三七,Mandenol,Prostaglandin
Sanqi,三七,Mandenol,Nuclear
Sanqi,三七,DFV,Prostaglandin
Sanqi,三七,DFV,Estrogen
Sanqi,三七,DFV,Retinoic
Sanqi,三七,DFV,Beta-2
Sanqi,三七,DFV,Sodium-dependent
Sanqi,三七,DFV,Heat
Sanqi,三七,DFV,"Phosphatidylinositol-4,5-bisphosphate"
Sanqi,三七,DFV,Beta-lactamase
Sanqi,三七,DFV,Amine
Sanqi,三七,DFV,cAMP-dependent
Sanqi,三七,Diop,Muscarinic
Sanqi,三七,Diop,Sodium
Sanqi,三七,Diop,Beta-2
Sanqi,三七,beta-sitosterol,Prostaglandin
Sanqi,三七,beta-sitosterol,D(1A)
Sanqi,三七,beta-sitosterol,Muscarinic
Sanqi,三七,beta-sitosterol,Potassium
Sanqi,三七,beta-sitosterol,Sodium
Sanqi,三七,beta-sitosterol,Apoptosis
Sanqi,三七,beta-sitosterol,Gamma-aminobutyric-acid
Sanqi,三七,beta-sitosterol,cGMP-inhibited
Sanqi,三七,beta-sitosterol,Alpha-1A
Sanqi,三七,beta-sitosterol,Progesterone
Sanqi,三七,beta-sitosterol,Alpha-1B
Sanqi,三七,beta-sitosterol,Beta-2
Sanqi,三七,beta-sitosterol,Neuronal
Sanqi,三七,beta-sitosterol,Sodium-dependent
Sanqi,三七,beta-sitosterol,Mu-type
Sanqi,三七,beta-sitosterol,Serum
Sanqi,三七,beta-sitosterol,Transcription
Sanqi,三七,beta-sitosterol,Heat
Sanqi,三七,beta-sitosterol,"Phosphatidylinositol-4,5-bisphosphate"
Sanqi,三七,beta-sitosterol,cAMP-dependent
Sanqi,三七,beta-sitosterol,Cytochrome
Sanqi,三七,beta-sitosterol,Nuclear
Sanqi,三七,beta-sitosterol,Microtubule-associated
Sanqi,三七,beta-sitosterol,Caspase-3
Sanqi,三七,beta-sitosterol,Caspase-8
Sanqi,三七,beta-sitosterol,Caspase-9
Sanqi,三七,beta-sitosterol,Protein
Sanqi,三七,beta-sitosterol,Transforming
Sanqi,三七,Stigmasterol,Nuclear
Sanqi,三七,ginsenoside rh2,Proteasome
Sanqi,三七,ginsenoside rh2,Solute
Sanqi,三七,quercetin,Prostaglandin
Sanqi,三七,quercetin,Insulin
Sanqi,三七,quercetin,Prothrombin
Sanqi,三七,quercetin,Potassium
Sanqi,三七,quercetin,Androgen
Sanqi,三七,quercetin,Sodium
