gene,name,score,source
ATHS,Atherosclerosis Susceptibility (Lipoprotein Associated),265.02213,GeneCards
ALOX5,Arachidonate 5-Lipoxygenase,219.76581,GeneCards
APOE,Apolipoprotein E,204.67905,GeneCards
ABCG8,ATP Binding Cassette Subfamily G Member 8,179.57478,GeneCards
CARMN,Cardiac Mesoderm Enhancer-Associated Non-Coding RNA,172.7646,GeneCards
LDLR,Low Density Lipoprotein Receptor,171.56859,GeneCards
OLR1,Oxidized Low Density Lipoprotein Receptor 1,166.8969,GeneCards
CDKN2B-AS1,CDKN2B And CDKN2A Antisense Cis And Trans Regulatory RNA 1,162.07016,GeneCards
APOB,Apolipoprotein B,159.44322,GeneCards
LPL,Lipoprotein Lipase,156.41734,GeneCards
H19,H19 Imprinted Maternally Expressed Transcript,153.11897,GeneCards
XIST,X Inactive Specific Transcript,151.65671,GeneCards
GAS5,Growth Arrest Specific 5,151.28326,GeneCards
MIAT,Myocardial Infarction Associated Transcript,151.02266,GeneCards
TUG1,Taurine Up-Regulated 1,145.94481,GeneCards
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,144.63135,GeneCards
PPARG,Peroxisome Proliferator Activated Receptor Gamma,144.01564,GeneCards
KCNQ1OT1,KCNQ1 Opposite Strand/Antisense Transcript 1,143.73103,GeneCards
ABCA1,ATP Binding Cassette Subfamily A Member 1,141.72333,GeneCards
LPA,Lipoprotein(A),139.3679,GeneCards
NORAD,Non-Coding RNA Activated By DNA Damage,138.37517,GeneCards
SNHG1,Small Nucleolar RNA Host Gene 1,133.91722,GeneCards
TP53COR1,Tumor Protein P53 Pathway Corepressor 1,129.8993,GeneCards
DANCR,Differentiation Antagonizing Non-Protein Coding RNA,129.40717,GeneCards
CCL2,C-C Motif Chemokine Ligand 2,129.06972,GeneCards
HIF1A-AS2,HIF1A Antisense RNA 2,128.72263,GeneCards
PVT1,Pvt1 Oncogene,125.8049,GeneCards
LINC00299,Long Intergenic Non-Protein Coding RNA 299,124.594086,GeneCards
IGSF9B,Immunoglobulin Superfamily Member 9B,124.580376,GeneCards
APPAT,Atherosclerotic Plaque Pathogenesis Associated Transcript,124.51268,GeneCards
NCK1-DT,NCK1 Divergent Transcript,124.12836,GeneCards
HCG11,HLA Complex Group 11,124.041405,GeneCards
SNHG12,Small Nucleolar RNA Host Gene 12,123.7168,GeneCards
PTPRA,Protein Tyrosine Phosphatase Receptor Type A,123.68465,GeneCards
HAND2-AS1,HAND2 Antisense RNA 1,123.55827,GeneCards
CASC11,Cancer Susceptibility 11,123.510025,GeneCards
BANCR,BRAF-Activated Non-Protein Coding RNA,123.27585,GeneCards
SCIRT,Stem Cell Inhibitory RNA Transcript,123.25833,GeneCards
