node,type,degree,betweenness,closeness
DS,A,59,0.0558697483884712,0.3843498273878021
DS1,B,27,0.0067588045595667,0.3883720930232558
DS2,B,2,0.0002336388241049426,0.2840136054421768
DS3,B,2,6.363510563689285e-05,0.3415132924335378
DS4,B,2,6.004378821902721e-05,0.3508403361344538
DS5,B,16,0.002432773468085,0.3719376391982182
DS6,B,12,0.0010513715004614,0.3614718614718615
DS7,B,3,0.00020609557726257257,0.3293885601577909
DS8,B,4,0.0004210885400270901,0.3576017130620985
DS9,B,54,0.0846146423462889,0.4271099744245524
DS10,B,16,0.0027140359924489,0.3786848072562359
DS11,B,23,0.005314331734746,0.3856812933025404
DS12,B,4,0.00011563496651769312,0.3464730290456431
DS13,B,4,0.0004078569640861389,0.3576017130620985
DS14,B,30,0.0118196981706853,0.3976190476190476
DS15,B,3,9.2347911861235e-05,0.3003597122302158
DS16,B,9,0.0007967600361236734,0.3686534216335541
DS17,B,16,0.0023329187500415,0.3761261261261261
DS18,B,15,0.0019596324256157,0.367032967032967
DS19,B,3,0.0004104297008770373,0.2849829351535836
DS20,B,6,0.0020450632992009,0.3638344226579521
DS21,B,10,0.0010862484653305,0.3694690265486726
DS22,B,21,0.0036372244930825,0.3795454545454546
DS23,B,8,0.0005471860908247393,0.3638344226579521
DS24,B,6,0.00035201084195884004,0.3614718614718615
DS25,B,2,6.004378821902721e-05,0.3508403361344538
DS26,B,13,0.0015495511342613,0.3702882483370288
DS27,B,7,0.0014678377793361,0.3622559652928416
DS28,B,8,0.000716476597799066,0.3638344226579521
DS29,B,8,0.000962648949503026,0.3583690987124464
DS30,B,28,0.018423060897017,0.3985680190930787
DS31,B,10,0.0013261246302154,0.3638344226579521
DS32,B,6,0.00033074113393674896,0.3538135593220339
DS33,B,9,0.0009836657220349055,0.3646288209606986
DS34,B,17,0.0038544928267401,0.3736017897091723
DS35,B,8,0.0007878326080280355,0.3638344226579521
DS36,B,17,0.0022885678980216,0.3702882483370288
DS37,B,3,5.727960839967726e-05,0.2914485165794066
DS38,B,21,0.0055722493900244,0.3856812933025404
DS39,B,7,0.0006029967777723896,0.3479166666666666
DS40,B,2,6.363510563689285e-05,0.3415132924335378
DS41,B,26,0.0118832642164127,0.392018779342723
DS42,B,7,0.0014348439092682,0.3646288209606986
DS43,B,3,6.271363214594545e-05,0.3415132924335378
DS44,B,23,0.005142654581238,0.3892773892773892
DS45,B,28,0.0075277585871452,0.392018779342723
DS46,B,7,0.0006277006955602663,0.3599137931034482
DS47,B,11,0.0010864562045003,0.3630434782608696
DS48,B,11,0.0018447372535863,0.3694690265486726
DS49,B,9,0.0009256255560158236,0.3654266958424507
DS50,B,2,6.004378821902721e-05,0.3508403361344538
DS51,B,4,0.0004085092828733885,0.3443298969072165
DS52,B,8,0.0020345037021342,0.367032967032967
DS53,B,30,0.0258889978417986,0.3856812933025404
DS54,B,8,0.0005471860908247393,0.3638344226579521
DS55,B,7,0.0004307589558208044,0.3622559652928416
DS56,B,7,0.0004307589558208044,0.3622559652928416
DS57,B,38,0.0446366357457377,0.4033816425120773
DS58,B,4,0.00011563496651769312,0.3464730290456431
DS59,B,4,0.0002092711845178193,0.3568376068376068
HL,A,11,0.0105337692070363,0.3799772468714448
HL1,B,17,0.0068928394043409,0.3812785388127854
HL2,B,13,0.0019184443929325,0.3752808988764045
HL3,B,2,0.00010263021759391652,0.2760330578512396
HL4,B,18,0.0054079772607786,0.3599137931034482
HL5,B,10,0.0011081476455944,0.3638344226579521
HL6,B,3,0.0005690137226749099,0.3168880455407969
HL7,B,4,0.0004792833132453624,0.3041894353369763
HL8,B,19,0.0044184232506384,0.3847926267281106
same1,B,137,0.4047521926856248,0.5422077922077921
HL10,B,9,0.0010384035271885,0.3662280701754385
HL11,B,8,0.0010320498830443,0.3583690987124464
RS,A,16,0.0135550165702326,0.3336663336663336
same2,B,5,0.0003380567348795392,0.3230174081237911
same3,B,28,0.0240610356909111,0.3883720930232558
same4,B,35,0.0274204412760346,0.4033816425120773
RS4,B,9,0.0012181763119607,0.3614718614718615
same5,B,47,0.0526465813103509,0.4133663366336633
RS6,B,8,0.000865363442261306,0.3394308943089431
RS7,B,3,0.00039282523686778257,0.3150943396226415
RS8,B,4,0.0003416142328580994,0.3479166666666666
RS9,B,5,0.0063782812274043,0.3530655391120507
RS10,B,17,0.0030436290394681,0.3736017897091723
same6,B,4,0.0061334300943735,0.2976827094474153
RS12,B,3,0.0004600541833067631,0.3217726396917148
RS13,B,11,0.0014710451007964,0.3711111111111111
RS14,B,2,0.00013137481723027804,0.2553516819571865
RS15,B,15,0.0036777574658042,0.3736017897091723
RS16,B,26,0.0168412867723425,0.3847926267281106
HQ,A,15,0.0107094038070635,0.4048484848484848
HQ1,B,14,0.0021951581323448,0.3736017897091723
HQ2,B,10,0.0080659548731483,0.3479166666666666
HQ3,B,35,0.0291304872654819,0.4024096385542168
HQ4,B,4,0.00013644104468857416,0.3353413654618473
HQ5,B,41,0.0213528333992993,0.4103194103194104
HQ6,B,4,0.0002323975079140749,0.3493723849372385
HQ7,B,20,0.003669879007327,0.3812785388127854
HQ8,B,7,0.0015727162860468,0.3530655391120507
same7,B,37,0.0382337545125314,0.4004796163069544
HQ10,B,23,0.0063580945692354,0.3901869158878504
HQ12,B,4,0.00011105402188709486,0.3180952380952381
HQ13,B,2,2.2529696330907303e-05,0.3058608058608059
HQ14,B,5,0.00019613939102025463,0.3530655391120507
GG,A,4,0.000967805242928204,0.306141154903758
GG3,B,10,0.0014293300763328,0.3530655391120507
GG4,B,2,9.97389314647005e-05,0.2992831541218638
SQ,A,7,0.006129063865308,0.3808437856328392
SQ1,B,4,0.0003124419124587357,0.3493723849372385
SQ2,B,13,0.0043732102051034,0.3646288209606986
PTGS1,C,37,0.0283220669518033,0.4544217687074829
DRD1,C,13,0.0012401241503609,0.3336663336663336
CHRM3,C,18,0.0031586547168789,0.3418628454452405
SCNN1A,C,27,0.0137196533708365,0.4276568501920614
CHRM5,C,11,0.000988686340003183,0.3271302644466209
PTGS2,C,65,0.0892850213168365,0.4992526158445441
CHRM4,C,17,0.0019323492809596,0.3383991894630192
RXRA,C,33,0.0195868839332046,0.437745740498034
OPRD1,C,20,0.0038445089635969,0.3418628454452405
PDE3A,C,12,0.0012892240935688,0.3252190847127555
HTR2A,C,14,0.0012981165320798,0.3258536585365853
ADRA1A,C,24,0.0046082055016383,0.3519494204425711
CHRM2,C,21,0.0068217679039295,0.371523915461624
ADRA1B,C,22,0.005253749861372,0.3549415515409139
SLC6A3,C,13,0.0014269588448412,0.3227053140096618
ADRB2,C,40,0.0266152023637378,0.4483221476510067
ADRA1D,C,18,0.0026578073482443,0.322082931533269
TOP2A,C,17,0.0169948849106401,0.4128553770086526
SLC6A4,C,15,0.0018508485154203,0.3271302644466209
OPRM1,C,28,0.0067205684718368,0.3439752832131822
GABRA1,C,26,0.0186256669328481,0.4222503160556258
HSP90AA2P,C,40,0.0313246719688767,0.4495289367429341
CHRNA7,C,32,0.0084508332104838,0.3482794577685089
IGHG1,C,16,0.001734734998811,0.3112767940354147
PNRC2,C,40,0.0509519118883368,0.4507422402159244
NCOA7,C,53,0.0241859965904409,0.3690607734806629
NR3C2,C,7,0.0015195944916402,0.2871883061049011
ACHE,C,23,0.0145448232268306,0.4243964421855146
DRD4,C,4,4.257508563965085e-05,0.2932396839332748
CTSC,C,28,0.0191389778705036,0.4343302990897269
F10,C,8,0.0044448179395604,0.3906432748538012
PTPN22,C,8,0.0008547905313585607,0.3017163504968382
AKR1B1,C,4,0.0014998322151656,0.3808437856328392
INSR,C,10,0.0037413761921603,0.3879210220673635
AR,C,22,0.0138955344058627,0.4222503160556258
MMP2,C,5,0.0009360356211486036,0.3748597081930415
TNF,C,15,0.0055996882061672,0.4009603841536615
EGF,C,6,0.0015037983763706,0.3765501691093573
HGF,C,4,0.000357398593792612,0.3165876777251185
IL36A,C,2,0.00025387912174271496,0.3650273224043716
MMP1,C,5,0.0010313772147728,0.3799772468714448
MAP3K7,C,9,0.0023532573982983,0.3843498273878021
IFNG,C,5,0.0008839603259895183,0.3731843575418994
JUN,C,15,0.0079138623321113,0.4180225281602003
PIK3CG,C,19,0.0105601140605245,0.4222503160556258
XDH,C,4,0.0009708633674498442,0.3843498273878021
CDK2,C,4,0.0003499044660906964,0.3177925784966698
TP53,C,9,0.0028986648447738,0.391559202813599
APP,C,2,7.488136900176922e-05,0.3106976744186047
PRKACA,C,29,0.021263684364125,0.441215323645971
TOP1,C,2,0.00025387912174271496,0.3650273224043716
HMOX1,C,5,0.0010917891286089,0.3791146424517594
RBL1,C,3,0.0005103806289520265,0.3698781838316722
PRSS1,C,33,0.0256406131488242,0.4366013071895425
CASP7,C,5,0.00047762556215926,0.3142050799623707
IL2,C,3,0.0004772194885912045,0.3698781838316722
NAIP,C,3,0.000588972486602751,0.3774011299435028
BAK1,C,5,0.0016410404621311,0.3799772468714448
CASP3,C,12,0.0055963426445157,0.4048484848484848
CASP9,C,7,0.0024635197415624,0.3870220162224797
CD40LG,C,3,0.00045430122209185993,0.3666300768386389
CDKN1C,C,3,0.0007428967843637036,0.3782559456398641
MDM2,C,4,0.0003499044660906964,0.3177925784966698
CCND3,C,5,0.0012525085562888,0.3870220162224797
CCNB1,C,4,0.0009697059485902368,0.371523915461624
MCL1,C,3,0.0001233923293636892,0.3118580765639589
ICAM2,C,3,0.0005282236829168526,0.374020156774916
IL10,C,3,0.0006904176157431882,0.3682469680264609
IL4,C,4,0.0004986503639955605,0.3284169124877089
NUF2,C,1,0.0,0.2995515695067264
MMP9,C,7,0.0018173584398621,0.3870220162224797
NFKBIE,C,3,0.0007428967843637036,0.3782559456398641
PPARG,C,10,0.0039724684452967,0.4108241082410824
PCNA,C,1,0.0,0.2995515695067264
PTGES2,C,1,0.0,0.2995515695067264
AKT1,C,20,0.0105488114975193,0.4068209500609013
ERBB2,C,5,0.000976723557034956,0.3748597081930415
SLC2A2,C,5,0.0051414872671406,0.3774011299435028
RELA,C,21,0.0121634893192238,0.4180225281602003
TYR,C,1,0.0,0.2995515695067264
CALML5,C,26,0.0106898957342711,0.3698781838316722
NOS3,C,24,0.0186617223433675,0.4298584298584298
CDK1,C,19,0.0118979821650766,0.4128553770086526
PIM1,C,19,0.00505213259894,0.333000997008973
CCNA2,C,14,0.003034902482388,0.3258536585365853
ADRA2A,C,4,0.00016797520815007327,0.3028105167724388
F2,C,22,0.0118087761705262,0.4211853720050441
NR3C1,C,7,0.0016990845735471,0.2886776145203111
ESR2,C,7,0.0002766703200244931,0.3084025854108956
EDN1,C,7,0.0009038678240827296,0.3245869776482021
STAT5B,C,2,5.989769485818612e-05,0.2968888888888888
CHEK1,C,10,0.001256576614841,0.322082931533269
GSK3B,C,14,0.0047271862824077,0.3439752832131822
LACTB,C,3,6.1617970195148e-05,0.3011722272317403
NOS2,C,14,0.0022062578046007,0.3271302644466209
F7,C,7,0.0029821315490199,0.3897316219369894
HTR1A,C,1,0.0,0.2785654712260217
GABRA2,C,4,0.0008174322511154887,0.3196172248803828
SLC6A2,C,5,0.000624424799262437,0.322082931533269
GABRA3,C,4,0.00032196994431347666,0.306141154903758
ADRA2B,C,2,3.906557097485755e-05,0.2896790980052038
HTR1B,C,1,0.0,0.2785654712260217
BCL2,C,11,0.0042682918016314,0.3962040332147093
ELOVL6,C,1,0.0,0.2876830318690784
ITGB3,C,3,0.00018976100658560415,0.3112767940354147
CYP3A4,C,3,0.0006052212937274204,0.3765501691093573
ECE1,C,1,0.0,0.2876830318690784
AHSA1,C,3,0.0006052212937274204,0.3765501691093573
CYP1A1,C,3,0.0006052212937274204,0.3765501691093573
MYC,C,5,0.0012073442684105,0.3825887743413516
NR1I2,C,3,0.0006052212937274204,0.3765501691093573
NPM1,C,1,0.0,0.2876830318690784
PARG,C,2,0.0003403565864581336,0.3682469680264609
FOS,C,9,0.0021388846316494,0.383467278989667
PDE10A,C,3,0.000674739743858755,0.2828111769686706
GRIN2A,C,3,0.00029715005263668514,0.2922134733158355
ODC1,C,1,0.0,0.3519494204425711
ACACB,C,2,0.00016195334845416076,0.3541887592788971
MGAM,C,1,0.0,0.3519494204425711
PLAU,C,3,0.0007742287677387192,0.3690607734806629
PON2,C,2,0.00023481715948886811,0.3658269441401971
CTSD,C,3,0.0002860143700436089,0.3572192513368984
CXCL2,C,4,0.0003977163845348629,0.3595263724434876
IL1B,C,9,0.0015098087671545,0.3690607734806629
SELE,C,5,0.0007676628180747807,0.3690607734806629
MPO,C,1,0.0,0.3519494204425711
PLAT,C,2,0.00010389177485355794,0.3564567769477054
GJA1,C,1,0.0,0.3519494204425711
VCAM1,C,6,0.0010060144750004,0.3698781838316722
MMP3,C,3,0.000248872900688604,0.3587540279269602
THBD,C,3,0.00027092010830472046,0.3603020496224379
F3,C,2,0.0001504304379521294,0.3572192513368984
GAPDH,C,2,0.00014138465679429567,0.3541887592788971
AOC2,C,5,0.0018083328685298,0.3879210220673635
PTGER3,C,2,0.0002315933000401139,0.3534391534391534
SOD1,C,1,0.0,0.3519494204425711
TOP2B,C,1,0.0,0.3519494204425711
COL3A1,C,3,0.0003029675223419818,0.3587540279269602
GSTM2,C,3,0.00032543231142929035,0.3634385201305767
HSPA5,C,1,0.0,0.3519494204425711
AHR,C,2,0.00016665417015276955,0.3603020496224379
BAX,C,8,0.0024854184612785,0.383467278989667
ABCG4,C,1,0.0,0.3519494204425711
CASP8,C,8,0.0021188061735656,0.3774011299435028
CAV1,C,2,0.00010389177485355794,0.3564567769477054
CLDN4,C,1,0.0,0.3519494204425711
CRP,C,1,0.0,0.3519494204425711
CXCL13,C,1,0.0,0.3519494204425711
CX3CR1,C,1,0.0,0.3519494204425711
CDKN2A,C,2,0.000171378769134518,0.3587540279269602
CYP1B1,C,2,0.00016665417015276955,0.3603020496224379
DDB1,C,1,0.0,0.3519494204425711
DUOXA1,C,1,0.0,0.3519494204425711
ELK1,C,2,0.00013037090938428788,0.3564567769477054
HSPB1,C,3,0.0003595010612590812,0.3572192513368984
HK2,C,2,0.00014138465679429567,0.3541887592788971
NKX3-1,C,1,0.0,0.3519494204425711
HAS2,C,2,0.00016665417015276955,0.3603020496224379
HIF1AN,C,1,0.0,0.3519494204425711
NFKB1,C,16,0.004235335329955,0.3825887743413516
IGFBP6,C,1,0.0,0.3519494204425711
IGF2,C,3,0.0003231854791050823,0.3626492942453854
IRF3,C,2,0.00017588743696964033,0.3541887592788971
IL1A,C,6,0.0009313737636527256,0.3698781838316722
IL36B,C,1,0.0,0.3519494204425711
NCF2,C,3,0.0004413527430753353,0.3658269441401971
NFE2L2,C,2,0.00010389177485355794,0.3564567769477054
SPP1,C,3,0.00037819659069184014,0.361863488624052
PPARA,C,3,0.0003032204687512112,0.3556975505857295
PPARD,C,2,0.00025819877973228634,0.3626492942453854
SERPINE1,C,4,0.0005534199330297201,0.3642311886586695
HERC5,C,1,0.0,0.3519494204425711
PCOLCE,C,1,0.0,0.3519494204425711
RUNX1T1,C,1,0.0,0.3519494204425711
C3,C,2,0.00023481715948886811,0.3658269441401971
PRKCB,C,8,0.0014739209433298,0.3666300768386389
RAF1,C,10,0.0030187477271594,0.3825887743413516
RASSF1,C,1,0.0,0.3519494204425711
RASA1,C,2,0.00013037090938428788,0.3564567769477054
ERBB3,C,3,0.0003231854791050823,0.3626492942453854
RUNX2,C,1,0.0,0.3519494204425711
CHEK2,C,2,0.000171378769134518,0.3587540279269602
STAT4,C,2,0.00016665417015276955,0.3603020496224379
E2F1,C,2,0.000171378769134518,0.3587540279269602
E2F2,C,2,0.000171378769134518,0.3587540279269602
TGFB1,C,8,0.0022989818972706,0.3861271676300578
DIO1,C,2,0.00016665417015276955,0.3603020496224379
PTEN,C,6,0.0012020577481246,0.3690607734806629
ADRB1,C,4,0.00017917476398222402,0.3055809698078682
LTA4H,C,1,0.0,0.2799664710813076
AKR1C3,C,1,0.0,0.2927256792287467
PI3,C,1,0.0,0.2927256792287467
IKBKB,C,12,0.0019531473966485,0.3363544813695871
RXRG,C,1,0.0,0.2611415168100078
PSMG1,C,1,0.0,0.229553264604811
VEGFC,C,7,0.0010468953326161,0.3190066857688634
PDE4D,C,1,0.0,0.2781015820149875
CACNA1S,C,3,0.00020473333412914289,0.2984807864164432
LYZ,C,1,0.0,0.2583139984532095
MAPK14,C,15,0.0053074672910638,0.3526927138331573
OLR1,C,1,0.0,0.2871883061049011
ATP5F1E,C,1,0.0,0.286203941730934
PKIA,C,2,1.8839983788835088e-05,0.2886776145203111
HSD3B1,C,1,0.0,0.286203941730934
SIRT1,C,3,0.0003149701415174056,0.2990152193375112
ALOX5,C,1,0.0,0.3519494204425711
