herb_code,compound_id,herb
DS,DS1,Danshen
DS,DS2,Danshen
DS,DS3,Danshen
DS,DS4,Danshen
DS,DS5,Danshen
DS,DS6,Danshen
DS,DS7,Danshen
DS,DS8,Danshen
DS,DS9,Danshen
DS,DS10,Danshen
DS,DS11,Danshen
DS,DS12,Danshen
DS,DS13,Danshen
DS,DS14,Danshen
DS,DS15,Danshen
DS,DS16,Danshen
DS,DS17,Danshen
DS,DS18,Danshen
DS,DS19,Danshen
DS,DS20,Danshen
DS,DS21,Danshen
DS,DS22,Danshen
DS,DS23,Danshen
DS,DS24,Danshen
DS,DS25,Danshen
DS,DS26,Danshen
DS,DS27,Danshen
DS,DS28,Danshen
DS,DS29,Danshen
DS,DS30,Danshen
DS,DS31,Danshen
DS,DS32,Danshen
DS,DS33,Danshen
DS,DS34,Danshen
DS,DS35,Danshen
DS,DS36,Danshen
DS,DS37,Danshen
DS,DS38,Danshen
DS,DS39,Danshen
DS,DS40,Danshen
DS,DS41,Danshen
DS,DS42,Danshen
DS,DS43,Danshen
DS,DS44,Danshen
DS,DS45,Danshen
DS,DS46,Danshen
DS,DS47,Danshen
DS,DS48,Danshen
DS,DS49,Danshen
DS,DS50,Danshen
DS,DS51,Danshen
DS,DS52,Danshen
DS,DS53,Danshen
DS,DS54,Danshen
DS,DS55,Danshen
DS,DS56,Danshen
DS,DS57,Danshen
DS,DS58,Danshen
DS,DS59,Danshen
HL,HL1,Huanglian
HL,HL2,Huanglian
HL,HL3,Huanglian
HL,HL4,Huanglian
HL,HL5,Huanglian
HL,HL6,Huanglian
HL,HL7,Huanglian
HL,HL8,Huanglian
HL,same1,Huanglian
HL,HL10,Huanglian
HL,HL11,Huanglian
RS,same2,Renshen
RS,same3,Renshen
RS,same4,Renshen
RS,RS4,Renshen
RS,same5,Renshen
RS,RS6,Renshen
RS,RS7,Renshen
RS,RS8,Renshen
RS,RS9,Renshen
RS,RS10,Renshen
RS,same6,Renshen
RS,RS12,Renshen
RS,RS13,Renshen
RS,RS14,Renshen
RS,RS15,Renshen
RS,RS16,Renshen
HQ,HQ1,Huangqi
HQ,HQ2,Huangqi
HQ,HQ3,Huangqi
HQ,HQ4,Huangqi
HQ,HQ5,Huangqi
HQ,HQ6,Huangqi
HQ,HQ7,Huangqi
HQ,HQ8,Huangqi
HQ,same7,Huangqi
HQ,HQ10,Huangqi
HQ,same5,Huangqi
HQ,HQ12,Huangqi
HQ,HQ13,Huangqi
HQ,HQ14,Huangqi
HQ,same1,Huangqi
GG,same7,Gegen
GG,same4,Gegen
GG,GG3,Gegen
GG,GG4,Gegen
SQ,SQ1,Sanqi
SQ,SQ2,Sanqi
SQ,same2,Sanqi
SQ,same4,Sanqi
SQ,same3,Sanqi
SQ,same6,Sanqi
SQ,same1,Sanqi
