herb_zh,herb_en,gene
丹参,Danshen,ACHE
丹参,Danshen,ADCY2
丹参,Danshen,ADRA1A
丹参,Danshen,ADRA1B
丹参,Danshen,ADRA1D
丹参,Danshen,ADRA2A
丹参,Danshen,ADRA2B
丹参,Danshen,ADRA2C
丹参,Danshen,ADRB2
丹参,Danshen,AHSA1
丹参,Danshen,AKR1B1
丹参,Danshen,AKT1
丹参,Danshen,APP
丹参,Danshen,AR
丹参,Danshen,BAK1
丹参,Danshen,BCL2
丹参,Danshen,CA6
丹参,Danshen,CALCR
丹参,Danshen,CALML5
丹参,Danshen,CASP3
丹参,Danshen,CASP7
丹参,Danshen,CASP9
丹参,Danshen,CCNA2
丹参,Danshen,CCNB1
丹参,Danshen,CCND3
丹参,Danshen,CD40LG
丹参,Danshen,CDK1
丹参,Danshen,CDK2
丹参,Danshen,CDKN1C
丹参,Danshen,CHEK1
丹参,Danshen,CHRM1
丹参,Danshen,CHRM2
丹参,Danshen,CHRM3
丹参,Danshen,CHRM4
丹参,Danshen,CHRM5
丹参,Danshen,CHRNA2
丹参,Danshen,CHRNA7
丹参,Danshen,CTSC
丹参,Danshen,CYP1A1
丹参,Danshen,CYP3A4
丹参,Danshen,DRD1
丹参,Danshen,DRD4
丹参,Danshen,DRD5
丹参,Danshen,ECE1
丹参,Danshen,EDN1
丹参,Danshen,EGF
丹参,Danshen,ELOVL6
丹参,Danshen,ERBB2
丹参,Danshen,ESR2
丹参,Danshen,F10
丹参,Danshen,F2
丹参,Danshen,F7
丹参,Danshen,FOS
丹参,Danshen,GABRA1
丹参,Danshen,GABRA2
丹参,Danshen,GABRA3
丹参,Danshen,GABRA5
丹参,Danshen,GABRA6
丹参,Danshen,GABRE
丹参,Danshen,GABRG3
丹参,Danshen,GSK3B
丹参,Danshen,HGF
丹参,Danshen,HMOX1
丹参,Danshen,HSP90AA2P
丹参,Danshen,HTR1A
丹参,Danshen,HTR1B
丹参,Danshen,HTR2A
丹参,Danshen,HTR2C
丹参,Danshen,ICAM2
丹参,Danshen,IFNG
丹参,Danshen,IGHG1
丹参,Danshen,IL10
丹参,Danshen,IL2
丹参,Danshen,IL36A
丹参,Danshen,IL4
丹参,Danshen,INSR
丹参,Danshen,ITGB3
丹参,Danshen,JUN
丹参,Danshen,KCNC2
丹参,Danshen,KCNU1
丹参,Danshen,LACTB
丹参,Danshen,MAP3K7
丹参,Danshen,MCL1
丹参,Danshen,MDM2
丹参,Danshen,MMP1
丹参,Danshen,MMP2
丹参,Danshen,MMP9
丹参,Danshen,MYC
丹参,Danshen,NAIP
丹参,Danshen,NCOA7
丹参,Danshen,NFKBIE
丹参,Danshen,NOS2
丹参,Danshen,NOS3
丹参,Danshen,NPM1
丹参,Danshen,NR1I2
丹参,Danshen,NR3C1
丹参,Danshen,NR3C2
丹参,Danshen,NUF2
丹参,Danshen,OPRD1
丹参,Danshen,OPRM1
丹参,Danshen,PARG
丹参,Danshen,PCNA
丹参,Danshen,PDE3A
丹参,Danshen,PGR
丹参,Danshen,PIK3CG
丹参,Danshen,PIM1
丹参,Danshen,PNRC2
丹参,Danshen,PPARG
丹参,Danshen,PRKACA
丹参,Danshen,PRSS1
丹参,Danshen,PTGES2
丹参,Danshen,PTGS1
丹参,Danshen,PTGS2
丹参,Danshen,PTPN22
丹参,Danshen,RBL1
丹参,Danshen,RELA
丹参,Danshen,RXRA
丹参,Danshen,SCNN1A
丹参,Danshen,SLC2A2
丹参,Danshen,SLC6A2
丹参,Danshen,SLC6A3
丹参,Danshen,SLC6A4
丹参,Danshen,STAT5B
丹参,Danshen,TNF
丹参,Danshen,TOP1
丹参,Danshen,TOP2A
丹参,Danshen,TP53
丹参,Danshen,TYR
丹参,Danshen,XDH
