herb_zh,herb_en,gene
葛根,Gegen,ACHE
葛根,Gegen,ADRA1A
葛根,Gegen,ADRB2
葛根,Gegen,AOC2
葛根,Gegen,AR
葛根,Gegen,ATP5F1E
葛根,Gegen,BAX
葛根,Gegen,C3
葛根,Gegen,CALML5
葛根,Gegen,CASP3
葛根,Gegen,CASP8
葛根,Gegen,CASP9
葛根,Gegen,CCNA2
葛根,Gegen,CDK1
葛根,Gegen,CHEK1
葛根,Gegen,CHRM1
葛根,Gegen,CTSC
葛根,Gegen,ESR2
葛根,Gegen,F2
葛根,Gegen,GSK3B
葛根,Gegen,HSD3B1
葛根,Gegen,HSP90AA2P
葛根,Gegen,IL4
葛根,Gegen,JUN
葛根,Gegen,LACTB
葛根,Gegen,MAP4
葛根,Gegen,MAPK14
葛根,Gegen,MT-ND1
葛根,Gegen,NCOA7
葛根,Gegen,NOS2
葛根,Gegen,NOS3
葛根,Gegen,PDE3A
葛根,Gegen,PIM1
葛根,Gegen,PKIA
葛根,Gegen,PNRC2
葛根,Gegen,PPARG
葛根,Gegen,PRKACA
葛根,Gegen,PRSS1
葛根,Gegen,PTGS1
葛根,Gegen,PTGS2
葛根,Gegen,RXRA
葛根,Gegen,SIRT1
葛根,Gegen,SLC6A3
葛根,Gegen,SLC6A4
葛根,Gegen,TGFB1
葛根,Gegen,TOP2A
