herb_zh,herb_en,gene
黄芪,Huangqi,ABCG4
黄芪,Huangqi,ACACB
黄芪,Huangqi,ACHE
黄芪,Huangqi,ACP3
黄芪,Huangqi,ADRA1A
黄芪,Huangqi,ADRA1B
黄芪,Huangqi,ADRA1D
黄芪,Huangqi,ADRA2C
黄芪,Huangqi,ADRB1
黄芪,Huangqi,ADRB2
黄芪,Huangqi,AHR
黄芪,Huangqi,AHSA1
黄芪,Huangqi,AKR1B1
黄芪,Huangqi,AKT1
黄芪,Huangqi,ALOX5
黄芪,Huangqi,AOC2
黄芪,Huangqi,AR
黄芪,Huangqi,ATP5F1E
黄芪,Huangqi,BAK1
黄芪,Huangqi,BAX
黄芪,Huangqi,BCL2
黄芪,Huangqi,C3
黄芪,Huangqi,CALML5
黄芪,Huangqi,CASP3
黄芪,Huangqi,CASP8
黄芪,Huangqi,CASP9
黄芪,Huangqi,CAV1
黄芪,Huangqi,CCNA2
黄芪,Huangqi,CCNB1
黄芪,Huangqi,CCND3
黄芪,Huangqi,CD40LG
黄芪,Huangqi,CDK1
黄芪,Huangqi,CDKN1C
黄芪,Huangqi,CDKN2A
黄芪,Huangqi,CHEK1
黄芪,Huangqi,CHEK2
黄芪,Huangqi,CHRM1
黄芪,Huangqi,CHRM2
黄芪,Huangqi,CHRM3
黄芪,Huangqi,CHRM4
黄芪,Huangqi,CHRM5
黄芪,Huangqi,CHRNA7
黄芪,Huangqi,CLDN4
黄芪,Huangqi,COL3A1
黄芪,Huangqi,CRP
黄芪,Huangqi,CTSC
黄芪,Huangqi,CTSD
黄芪,Huangqi,CX3CR1
黄芪,Huangqi,CXCL13
黄芪,Huangqi,CXCL2
黄芪,Huangqi,CYP1A1
黄芪,Huangqi,CYP1B1
黄芪,Huangqi,CYP3A4
黄芪,Huangqi,DDB1
黄芪,Huangqi,DIO1
黄芪,Huangqi,DRD1
黄芪,Huangqi,DUOXA1
黄芪,Huangqi,E2F1
黄芪,Huangqi,E2F2
黄芪,Huangqi,EGF
黄芪,Huangqi,EIF2A
黄芪,Huangqi,ELK1
黄芪,Huangqi,ERBB2
黄芪,Huangqi,ERBB3
黄芪,Huangqi,ESR2
黄芪,Huangqi,F10
黄芪,Huangqi,F2
黄芪,Huangqi,F3
黄芪,Huangqi,F7
黄芪,Huangqi,FOS
黄芪,Huangqi,GABRA1
黄芪,Huangqi,GABRA3
黄芪,Huangqi,GABRA6
黄芪,Huangqi,GAPDH
黄芪,Huangqi,GJA1
黄芪,Huangqi,GRIN2A
黄芪,Huangqi,GSK3B
黄芪,Huangqi,GSTM2
黄芪,Huangqi,HAS2
黄芪,Huangqi,HERC5
黄芪,Huangqi,HGF
黄芪,Huangqi,HIF1AN
黄芪,Huangqi,HK2
黄芪,Huangqi,HMOX1
黄芪,Huangqi,HSD3B1
黄芪,Huangqi,HSP90AA2P
黄芪,Huangqi,HSPA5
黄芪,Huangqi,HSPB1
黄芪,Huangqi,HTR2A
黄芪,Huangqi,HTR2C
黄芪,Huangqi,ICAM2
黄芪,Huangqi,IFNG
黄芪,Huangqi,IGF2
黄芪,Huangqi,IGFBP6
黄芪,Huangqi,IGHG1
黄芪,Huangqi,IKBKB
黄芪,Huangqi,IL10
黄芪,Huangqi,IL1A
黄芪,Huangqi,IL1B
黄芪,Huangqi,IL2
黄芪,Huangqi,IL36A
黄芪,Huangqi,IL36B
黄芪,Huangqi,IL4
黄芪,Huangqi,INSR
黄芪,Huangqi,IRF3
黄芪,Huangqi,JUN
黄芪,Huangqi,KCNC2
黄芪,Huangqi,KCNU1
黄芪,Huangqi,LACTB
黄芪,Huangqi,LYZ
黄芪,Huangqi,MAP3K7
黄芪,Huangqi,MAPK14
黄芪,Huangqi,MGAM
黄芪,Huangqi,MMP1
黄芪,Huangqi,MMP2
黄芪,Huangqi,MMP3
黄芪,Huangqi,MMP9
黄芪,Huangqi,MPO
黄芪,Huangqi,MT-ND1
黄芪,Huangqi,MYC
黄芪,Huangqi,NAIP
黄芪,Huangqi,NCF2
黄芪,Huangqi,NCOA7
黄芪,Huangqi,NFE2L2
黄芪,Huangqi,NFKB1
黄芪,Huangqi,NFKBIE
黄芪,Huangqi,NKX3-1
黄芪,Huangqi,NOS2
黄芪,Huangqi,NOS3
黄芪,Huangqi,NPEPPS
黄芪,Huangqi,NR1I2
黄芪,Huangqi,ODC1
黄芪,Huangqi,OLR1
黄芪,Huangqi,OPRD1
黄芪,Huangqi,PARG
黄芪,Huangqi,PCOLCE
黄芪,Huangqi,PDE3A
黄芪,Huangqi,PGR
黄芪,Huangqi,PI3
黄芪,Huangqi,PIK3CG
黄芪,Huangqi,PIM1
黄芪,Huangqi,PKIA
黄芪,Huangqi,PLAT
黄芪,Huangqi,PLAU
黄芪,Huangqi,PNRC2
黄芪,Huangqi,PON2
黄芪,Huangqi,PPARA
黄芪,Huangqi,PPARD
黄芪,Huangqi,PPARG
黄芪,Huangqi,PPP3CA
黄芪,Huangqi,PRKACA
黄芪,Huangqi,PRKCB
黄芪,Huangqi,PRSS1
黄芪,Huangqi,PSMD11
黄芪,Huangqi,PTEN
黄芪,Huangqi,PTGER3
黄芪,Huangqi,PTGS1
黄芪,Huangqi,PTGS2
