herb_zh,herb_en,gene
人参,Renshen,ACHE
人参,Renshen,ADRA1A
人参,Renshen,ADRA1B
人参,Renshen,ADRA1D
人参,Renshen,ADRA2A
人参,Renshen,ADRB1
人参,Renshen,ADRB2
人参,Renshen,AHR
人参,Renshen,AHSA1
人参,Renshen,AKR1B1
人参,Renshen,AKR1C3
人参,Renshen,AKT1
人参,Renshen,AOC2
人参,Renshen,AR
人参,Renshen,BAX
人参,Renshen,C3
人参,Renshen,CACNA1S
人参,Renshen,CALML5
人参,Renshen,CASP3
人参,Renshen,CASP8
人参,Renshen,CASP9
人参,Renshen,CDK1
人参,Renshen,CHRM1
人参,Renshen,CHRM2
人参,Renshen,CHRM3
人参,Renshen,CHRM4
人参,Renshen,CHRM5
人参,Renshen,CHRNA7
人参,Renshen,CTRB1
人参,Renshen,CTSC
人参,Renshen,CYP1A1
人参,Renshen,CYP1B1
人参,Renshen,CYP3A4
人参,Renshen,DIO1
人参,Renshen,DRD1
人参,Renshen,F10
人参,Renshen,F2
人参,Renshen,F7
人参,Renshen,GABRA1
人参,Renshen,GABRA2
人参,Renshen,GABRA3
人参,Renshen,GSTM2
人参,Renshen,HAS2
人参,Renshen,HMOX1
人参,Renshen,HSP90AA2P
人参,Renshen,HTR2A
人参,Renshen,HTR2C
人参,Renshen,ICAM2
人参,Renshen,IGHG1
人参,Renshen,IKBKB
人参,Renshen,JUN
人参,Renshen,KCNC2
人参,Renshen,KCNU1
人参,Renshen,LTA4H
人参,Renshen,MAP3K7
人参,Renshen,MAP4
人参,Renshen,MMP1
人参,Renshen,NCOA7
人参,Renshen,NOS3
人参,Renshen,NR1I2
人参,Renshen,NR3C1
人参,Renshen,NR3C2
人参,Renshen,OPRD1
人参,Renshen,OPRM1
人参,Renshen,PDE3A
人参,Renshen,PDE4D
人参,Renshen,PGR
人参,Renshen,PI3
人参,Renshen,PIK3CG
人参,Renshen,PLAU
人参,Renshen,PNRC2
人参,Renshen,PPARG
人参,Renshen,PPP3CA
人参,Renshen,PRKACA
人参,Renshen,PRSS1
人参,Renshen,PSMD11
人参,Renshen,PSMG1
人参,Renshen,PTGS1
人参,Renshen,PTGS2
人参,Renshen,PTPN22
人参,Renshen,RELA
人参,Renshen,RXRA
人参,Renshen,RXRG
人参,Renshen,SCNN1A
人参,Renshen,SELE
人参,Renshen,SLC2A2
人参,Renshen,SLC6A2
人参,Renshen,SLC6A3
人参,Renshen,SLC6A4
人参,Renshen,STAT4
人参,Renshen,TGFB1
人参,Renshen,TNF
人参,Renshen,TOP2A
人参,Renshen,VCAM1
人参,Renshen,VEGFC
人参,Renshen,XDH
