herb_zh,herb_en,gene
三七,Sanqi,ABCG4
三七,Sanqi,ACACB
三七,Sanqi,ACHE
三七,Sanqi,ACP3
三七,Sanqi,ADRA1A
三七,Sanqi,ADRA1B
三七,Sanqi,ADRB2
三七,Sanqi,AHR
三七,Sanqi,AHSA1
三七,Sanqi,AKR1B1
三七,Sanqi,AKT1
三七,Sanqi,ALOX5
三七,Sanqi,AOC2
三七,Sanqi,AR
三七,Sanqi,BAK1
三七,Sanqi,BAX
三七,Sanqi,BCL2
三七,Sanqi,C3
三七,Sanqi,CASP3
三七,Sanqi,CASP8
三七,Sanqi,CASP9
三七,Sanqi,CAV1
三七,Sanqi,CCNB1
三七,Sanqi,CCND3
三七,Sanqi,CD40LG
三七,Sanqi,CDK1
三七,Sanqi,CDKN1C
三七,Sanqi,CDKN2A
三七,Sanqi,CHEK2
三七,Sanqi,CHRM1
三七,Sanqi,CHRM2
三七,Sanqi,CHRM3
三七,Sanqi,CHRM4
三七,Sanqi,CHRNA2
三七,Sanqi,CHRNA7
三七,Sanqi,CLDN4
三七,Sanqi,COL3A1
三七,Sanqi,CRP
三七,Sanqi,CTSC
三七,Sanqi,CTSD
三七,Sanqi,CX3CR1
三七,Sanqi,CXCL13
三七,Sanqi,CXCL2
三七,Sanqi,CYP1A1
三七,Sanqi,CYP1B1
三七,Sanqi,CYP3A4
三七,Sanqi,DDB1
三七,Sanqi,DIO1
三七,Sanqi,DRD1
三七,Sanqi,DUOXA1
三七,Sanqi,E2F1
三七,Sanqi,E2F2
三七,Sanqi,EGF
三七,Sanqi,EIF2A
三七,Sanqi,ELK1
三七,Sanqi,ERBB2
三七,Sanqi,ERBB3
三七,Sanqi,F10
三七,Sanqi,F2
三七,Sanqi,F3
三七,Sanqi,F7
三七,Sanqi,FOS
三七,Sanqi,GABRA1
三七,Sanqi,GABRA2
三七,Sanqi,GABRA3
三七,Sanqi,GABRA5
三七,Sanqi,GAPDH
三七,Sanqi,GJA1
三七,Sanqi,GSTM2
三七,Sanqi,HAS2
三七,Sanqi,HERC5
三七,Sanqi,HIF1AN
三七,Sanqi,HK2
三七,Sanqi,HMOX1
三七,Sanqi,HSP90AA2P
三七,Sanqi,HSPA5
三七,Sanqi,HSPB1
三七,Sanqi,HTR2A
三七,Sanqi,ICAM2
三七,Sanqi,IFNG
三七,Sanqi,IGF2
三七,Sanqi,IGFBP6
三七,Sanqi,IL10
三七,Sanqi,IL1A
三七,Sanqi,IL1B
三七,Sanqi,IL2
三七,Sanqi,IL36A
三七,Sanqi,IL36B
三七,Sanqi,INSR
三七,Sanqi,IRF3
三七,Sanqi,JUN
三七,Sanqi,KCNC2
三七,Sanqi,LACTB
三七,Sanqi,MAP3K7
三七,Sanqi,MAP4
三七,Sanqi,MGAM
三七,Sanqi,MMP1
三七,Sanqi,MMP2
三七,Sanqi,MMP3
三七,Sanqi,MMP9
三七,Sanqi,MPO
三七,Sanqi,MYC
三七,Sanqi,NAIP
三七,Sanqi,NCF2
三七,Sanqi,NCOA7
三七,Sanqi,NFE2L2
三七,Sanqi,NFKB1
三七,Sanqi,NFKBIE
三七,Sanqi,NKX3-1
三七,Sanqi,NOS3
三七,Sanqi,NPEPPS
三七,Sanqi,NR1I2
三七,Sanqi,ODC1
三七,Sanqi,OPRM1
三七,Sanqi,PARG
三七,Sanqi,PCOLCE
三七,Sanqi,PDE3A
三七,Sanqi,PGR
三七,Sanqi,PIK3CG
三七,Sanqi,PKIA
三七,Sanqi,PLAT
三七,Sanqi,PLAU
三七,Sanqi,PNRC2
三七,Sanqi,PON2
三七,Sanqi,PPARA
三七,Sanqi,PPARD
三七,Sanqi,PPARG
三七,Sanqi,PRKACA
三七,Sanqi,PRKCB
三七,Sanqi,PRSS1
三七,Sanqi,PSMD11
三七,Sanqi,PSMG1
三七,Sanqi,PTEN
三七,Sanqi,PTGER3
三七,Sanqi,PTGS1
三七,Sanqi,PTGS2
三七,Sanqi,RAF1
三七,Sanqi,RASA1
三七,Sanqi,RASSF1
三七,Sanqi,RBL1
三七,Sanqi,RELA
三七,Sanqi,RUNX1T1
三七,Sanqi,RUNX2
三七,Sanqi,RXRA
三七,Sanqi,SCNN1A
三七,Sanqi,SELE
三七,Sanqi,SERPINE1
三七,Sanqi,SLC2A2
三七,Sanqi,SLC6A4
三七,Sanqi,SOD1
三七,Sanqi,SPP1
三七,Sanqi,STAT4
三七,Sanqi,TGFB1
三七,Sanqi,THBD
三七,Sanqi,TNF
三七,Sanqi,TOP1
三七,Sanqi,TOP2A
三七,Sanqi,TOP2B
三七,Sanqi,TP53
三七,Sanqi,VCAM1
三七,Sanqi,XDH
