herb_zh,gene,herb_en
三七,ABCG4,Sanqi
三七,ACACB,Sanqi
三七,ACHE,Sanqi
三七,ACP3,Sanqi
三七,ADRA1A,Sanqi
三七,ADRA1B,Sanqi
三七,ADRB2,Sanqi
三七,AHR,Sanqi
三七,AHSA1,Sanqi
三七,AKR1B1,Sanqi
三七,AKT1,Sanqi
三七,ALOX5,Sanqi
三七,AOC2,Sanqi
三七,AR,Sanqi
三七,BAK1,Sanqi
三七,BAX,Sanqi
三七,BCL2,Sanqi
三七,C3,Sanqi
三七,CASP3,Sanqi
三七,CASP8,Sanqi
三七,CASP9,Sanqi
三七,CAV1,Sanqi
三七,CCNB1,Sanqi
三七,CCND3,Sanqi
三七,CD40LG,Sanqi
三七,CDK1,Sanqi
三七,CDKN1C,Sanqi
三七,CDKN2A,Sanqi
三七,CHEK2,Sanqi
三七,CHRM1,Sanqi
三七,CHRM2,Sanqi
三七,CHRM3,Sanqi
三七,CHRM4,Sanqi
三七,CHRNA2,Sanqi
三七,CHRNA7,Sanqi
三七,CLDN4,Sanqi
三七,COL3A1,Sanqi
三七,CRP,Sanqi
三七,CTSC,Sanqi
三七,CTSD,Sanqi
三七,CX3CR1,Sanqi
三七,CXCL13,Sanqi
三七,CXCL2,Sanqi
三七,CYP1A1,Sanqi
三七,CYP1B1,Sanqi
三七,CYP3A4,Sanqi
三七,DDB1,Sanqi
三七,DIO1,Sanqi
三七,DRD1,Sanqi
三七,DUOXA1,Sanqi
三七,E2F1,Sanqi
三七,E2F2,Sanqi
三七,EGF,Sanqi
三七,EIF2A,Sanqi
三七,ELK1,Sanqi
三七,ERBB2,Sanqi
三七,ERBB3,Sanqi
三七,F10,Sanqi
三七,F2,Sanqi
三七,F3,Sanqi
三七,F7,Sanqi
三七,FOS,Sanqi
三七,GABRA1,Sanqi
三七,GABRA2,Sanqi
三七,GABRA3,Sanqi
三七,GABRA5,Sanqi
三七,GAPDH,Sanqi
三七,GJA1,Sanqi
三七,GSTM2,Sanqi
三七,HAS2,Sanqi
三七,HERC5,Sanqi
三七,HIF1AN,Sanqi
三七,HK2,Sanqi
三七,HMOX1,Sanqi
三七,HSP90AA2P,Sanqi
三七,HSPA5,Sanqi
三七,HSPB1,Sanqi
三七,HTR2A,Sanqi
三七,ICAM2,Sanqi
三七,IFNG,Sanqi
三七,IGF2,Sanqi
三七,IGFBP6,Sanqi
三七,IL10,Sanqi
三七,IL1A,Sanqi
三七,IL1B,Sanqi
三七,IL2,Sanqi
三七,IL36A,Sanqi
三七,IL36B,Sanqi
三七,INSR,Sanqi
三七,IRF3,Sanqi
三七,JUN,Sanqi
三七,KCNC2,Sanqi
三七,LACTB,Sanqi
三七,MAP3K7,Sanqi
三七,MAP4,Sanqi
三七,MGAM,Sanqi
三七,MMP1,Sanqi
三七,MMP2,Sanqi
三七,MMP3,Sanqi
三七,MMP9,Sanqi
三七,MPO,Sanqi
三七,MYC,Sanqi
三七,NAIP,Sanqi
三七,NCF2,Sanqi
三七,NCOA7,Sanqi
三七,NFE2L2,Sanqi
三七,NFKB1,Sanqi
三七,NFKBIE,Sanqi
三七,NKX3-1,Sanqi
三七,NOS3,Sanqi
三七,NPEPPS,Sanqi
三七,NR1I2,Sanqi
三七,ODC1,Sanqi
三七,OPRM1,Sanqi
三七,PARG,Sanqi
三七,PCOLCE,Sanqi
三七,PDE3A,Sanqi
三七,PGR,Sanqi
三七,PIK3CG,Sanqi
三七,PKIA,Sanqi
三七,PLAT,Sanqi
三七,PLAU,Sanqi
三七,PNRC2,Sanqi
三七,PON2,Sanqi
三七,PPARA,Sanqi
三七,PPARD,Sanqi
三七,PPARG,Sanqi
三七,PRKACA,Sanqi
三七,PRKCB,Sanqi
三七,PRSS1,Sanqi
三七,PSMD11,Sanqi
三七,PSMG1,Sanqi
三七,PTEN,Sanqi
三七,PTGER3,Sanqi
三七,PTGS1,Sanqi
三七,PTGS2,Sanqi
三七,RAF1,Sanqi
三七,RASA1,Sanqi
三七,RASSF1,Sanqi
三七,RBL1,Sanqi
三七,RELA,Sanqi
三七,RUNX1T1,Sanqi
三七,RUNX2,Sanqi
三七,RXRA,Sanqi
三七,SCNN1A,Sanqi
三七,SELE,Sanqi
三七,SERPINE1,Sanqi
三七,SLC2A2,Sanqi
三七,SLC6A4,Sanqi
三七,SOD1,Sanqi
三七,SPP1,Sanqi
三七,STAT4,Sanqi
三七,TGFB1,Sanqi
三七,THBD,Sanqi
三七,TNF,Sanqi
三七,TOP1,Sanqi
三七,TOP2A,Sanqi
三七,TOP2B,Sanqi
三七,TP53,Sanqi
三七,VCAM1,Sanqi
三七,XDH,Sanqi
丹参,ACHE,Danshen
丹参,ADCY2,Danshen
丹参,ADRA1A,Danshen
丹参,ADRA1B,Danshen
丹参,ADRA1D,Danshen
丹参,ADRA2A,Danshen
丹参,ADRA2B,Danshen
丹参,ADRA2C,Danshen
丹参,ADRB2,Danshen
丹参,AHSA1,Danshen
丹参,AKR1B1,Danshen
丹参,AKT1,Danshen
丹参,APP,Danshen
丹参,AR,Danshen
丹参,BAK1,Danshen
丹参,BCL2,Danshen
丹参,CA6,Danshen
丹参,CALCR,Danshen
丹参,CALML5,Danshen
丹参,CASP3,Danshen
丹参,CASP7,Danshen
丹参,CASP9,Danshen
丹参,CCNA2,Danshen
丹参,CCNB1,Danshen
丹参,CCND3,Danshen
丹参,CD40LG,Danshen
丹参,CDK1,Danshen
丹参,CDK2,Danshen
丹参,CDKN1C,Danshen
丹参,CHEK1,Danshen
丹参,CHRM1,Danshen
丹参,CHRM2,Danshen
丹参,CHRM3,Danshen
丹参,CHRM4,Danshen
丹参,CHRM5,Danshen
丹参,CHRNA2,Danshen
丹参,CHRNA7,Danshen
丹参,CTSC,Danshen
丹参,CYP1A1,Danshen
丹参,CYP3A4,Danshen
丹参,DRD1,Danshen
丹参,DRD4,Danshen
丹参,DRD5,Danshen
丹参,ECE1,Danshen
丹参,EDN1,Danshen
丹参,EGF,Danshen
丹参,ELOVL6,Danshen
丹参,ERBB2,Danshen
丹参,ESR2,Danshen
丹参,F10,Danshen
丹参,F2,Danshen
丹参,F7,Danshen
丹参,FOS,Danshen
丹参,GABRA1,Danshen
丹参,GABRA2,Danshen
丹参,GABRA3,Danshen
丹参,GABRA5,Danshen
丹参,GABRA6,Danshen
丹参,GABRE,Danshen
丹参,GABRG3,Danshen
