herb,compound_id,target_gene
Danshen,DS1,PTGS1
Danshen,DS1,DRD1
Danshen,DS1,CHRM3
Danshen,DS1,CHRM1
Danshen,DS1,SCNN1A
Danshen,DS1,CHRM5
Danshen,DS1,PTGS2
Danshen,DS1,HTR2C
Danshen,DS1,CA6
Danshen,DS1,CHRM4
Danshen,DS1,RXRA
Danshen,DS1,OPRD1
Danshen,DS1,PDE3A
Danshen,DS1,HTR2A
Danshen,DS1,ADRA1A
Danshen,DS1,CHRM2
Danshen,DS1,ADRA1B
Danshen,DS1,SLC6A3
Danshen,DS1,ADRB2
Danshen,DS1,ADRA1D
Danshen,DS1,TOP2A
Danshen,DS1,SLC6A4
Danshen,DS1,OPRM1
Danshen,DS1,GABRA1
Danshen,DS1,HSP90AA2P
Danshen,DS1,CHRNA7
Danshen,DS1,IGHG1
Danshen,DS1,PNRC2
Danshen,DS1,NCOA7
Danshen,DS2,PGR
Danshen,DS2,NR3C2
Danshen,DS3,PGR
Danshen,DS3,PNRC2
Danshen,DS4,PTGS2
Danshen,DS5,CHRM3
Danshen,DS5,CHRM1
Danshen,DS5,SCNN1A
Danshen,DS5,CHRM5
Danshen,DS5,PTGS2
Danshen,DS5,CA6
Danshen,DS5,CHRM4
Danshen,DS5,OPRD1
Danshen,DS5,ACHE
Danshen,DS5,ADRA1A
Danshen,DS5,CHRM2
Danshen,DS5,ADRA1B
Danshen,DS5,ADRB2
Danshen,DS5,ADRA1D
Danshen,DS5,DRD4
Danshen,DS5,OPRM1
Danshen,DS5,CHRNA7
Danshen,DS6,CHRM4
Danshen,DS6,OPRD1
Danshen,DS6,ACHE
Danshen,DS6,HTR2A
Danshen,DS6,ADRA1A
Danshen,DS6,ADRB2
Danshen,DS6,OPRM1
Danshen,DS6,GABRA1
Danshen,DS6,CTSC
Danshen,DS6,CHRNA7
Danshen,DS6,NCOA7
Danshen,DS7,F10
Danshen,DS7,PTPN22
Danshen,DS8,PTGS2
Danshen,DS8,AKR1B1
Danshen,DS8,HSP90AA2P
Danshen,DS9,PTGS1
Danshen,DS9,INSR
Danshen,DS9,AR
Danshen,DS9,PTGS2
Danshen,DS9,MMP2
Danshen,DS9,TNF
Danshen,DS9,EGF
Danshen,DS9,CTSC
Danshen,DS9,HGF
Danshen,DS9,IL36A
Danshen,DS9,MMP1
Danshen,DS9,MAP3K7
Danshen,DS9,IFNG
Danshen,DS9,JUN
Danshen,DS9,HSP90AA2P
Danshen,DS9,PIK3CG
Danshen,DS9,XDH
Danshen,DS9,CDK2
