"a","b","cor"
"S1","S1",1
"S1","S2",0.72303360861737
"S1","S3",-0.0919606206099747
"S1","S4",0.577189712561561
"S1","S5",0.626668297249099
"S1","S6",-0.594009062472966
"S2","S1",0.72303360861737
"S2","S2",1
"S2","S3",1.11174799916093
"S2","S4",1.35227073776963
"S2","S5",0.53367485312964
"S2","S6",-0.39479965297077
"S3","S1",-0.0919606206099747
"S3","S2",1.11174799916093
"S3","S3",1
"S3","S4",0.226322925288318
"S3","S5",0.333484342179711
"S3","S6",-0.810757825500771
"S4","S1",0.577189712561561
"S4","S2",1.35227073776963
"S4","S3",0.226322925288318
"S4","S4",1
"S4","S5",2.17671756044383
"S4","S6",-0.143686149721381
"S5","S1",0.626668297249099
"S5","S2",0.53367485312964
"S5","S3",0.333484342179711
"S5","S4",2.17671756044383
"S5","S5",1
"S5","S6",-0.150144353733018
"S6","S1",-0.594009062472966
"S6","S2",-0.39479965297077
"S6","S3",-0.810757825500771
"S6","S4",-0.143686149721381
"S6","S5",-0.150144353733018
"S6","S6",1
