"gene","sample_id","expr","time","group"
"Vdac1","GSM6280843_n-1",6.47096859300314,"Control","Control"
"Vdac1","GSM6280844_n-2",6.5442968764318,"Control","Control"
"Vdac1","GSM6280845_clp-12h-1",6.1879838787658,"CLP12h","CLP"
"Vdac1","GSM6280846_clp-12h-2",6.35128389849909,"CLP12h","CLP"
"Vdac1","GSM6280847_clp-24h-1",6.38633987924488,"CLP24h","CLP"
"Vdac1","GSM6280848_clp-24h-2",5.71399804377002,"CLP24h","CLP"
"Vdac2","GSM6280843_n-1",7.52875954577993,"Control","Control"
"Vdac2","GSM6280844_n-2",7.54070358616479,"Control","Control"
"Vdac2","GSM6280845_clp-12h-1",7.20577903882414,"CLP12h","CLP"
"Vdac2","GSM6280846_clp-12h-2",7.26635836975828,"CLP12h","CLP"
"Vdac2","GSM6280847_clp-24h-1",7.25754540756629,"CLP24h","CLP"
"Vdac2","GSM6280848_clp-24h-2",7.02282667117144,"CLP24h","CLP"
"Vdac3","GSM6280843_n-1",7.05908902691477,"Control","Control"
"Vdac3","GSM6280844_n-2",7.11028469561549,"Control","Control"
"Vdac3","GSM6280845_clp-12h-1",6.60382877106521,"CLP12h","CLP"
"Vdac3","GSM6280846_clp-12h-2",6.62627012170597,"CLP12h","CLP"
"Vdac3","GSM6280847_clp-24h-1",6.61320516505995,"CLP24h","CLP"
"Vdac3","GSM6280848_clp-24h-2",6.45609452043399,"CLP24h","CLP"
"Itpr1","GSM6280843_n-1",5.9029737833289,"Control","Control"
"Itpr1","GSM6280844_n-2",5.75675528001882,"Control","Control"
"Itpr1","GSM6280845_clp-12h-1",4.9064981246882,"CLP12h","CLP"
"Itpr1","GSM6280846_clp-12h-2",4.87611886683499,"CLP12h","CLP"
"Itpr1","GSM6280847_clp-24h-1",4.70455202656752,"CLP24h","CLP"
"Itpr1","GSM6280848_clp-24h-2",5.03460377150232,"CLP24h","CLP"
"Itpr2","GSM6280843_n-1",6.76903110156331,"Control","Control"
"Itpr2","GSM6280844_n-2",6.64811128076317,"Control","Control"
"Itpr2","GSM6280845_clp-12h-1",5.99016312003921,"CLP12h","CLP"
"Itpr2","GSM6280846_clp-12h-2",6.11794222063985,"CLP12h","CLP"
"Itpr2","GSM6280847_clp-24h-1",5.16710427960186,"CLP24h","CLP"
"Itpr2","GSM6280848_clp-24h-2",5.14455922038137,"CLP24h","CLP"
"Itpr3","GSM6280843_n-1",4.07468790206744,"Control","Control"
"Itpr3","GSM6280844_n-2",3.97823147040486,"Control","Control"
"Itpr3","GSM6280845_clp-12h-1",3.48553406691734,"CLP12h","CLP"
"Itpr3","GSM6280846_clp-12h-2",3.76608805619441,"CLP12h","CLP"
"Itpr3","GSM6280847_clp-24h-1",4.0644662149132,"CLP24h","CLP"
"Itpr3","GSM6280848_clp-24h-2",3.57808090880877,"CLP24h","CLP"
"Hspa9","GSM6280843_n-1",5.91860593316469,"Control","Control"
"Hspa9","GSM6280844_n-2",6.02854980121441,"Control","Control"
"Hspa9","GSM6280845_clp-12h-1",7.19189567388869,"CLP12h","CLP"
"Hspa9","GSM6280846_clp-12h-2",7.07411292542597,"CLP12h","CLP"
"Hspa9","GSM6280847_clp-24h-1",6.9754649799628,"CLP24h","CLP"
"Hspa9","GSM6280848_clp-24h-2",6.7531116649767,"CLP24h","CLP"
"Mfn1","GSM6280843_n-1",4.63785718191589,"Control","Control"
"Mfn1","GSM6280844_n-2",4.61410056466222,"Control","Control"
"Mfn1","GSM6280845_clp-12h-1",4.084354148134,"CLP12h","CLP"
"Mfn1","GSM6280846_clp-12h-2",4.18305377842029,"CLP12h","CLP"
"Mfn1","GSM6280847_clp-24h-1",4.2060415297243,"CLP24h","CLP"
"Mfn1","GSM6280848_clp-24h-2",4.12711531031042,"CLP24h","CLP"
"Mfn2","GSM6280843_n-1",4.86506905319928,"Control","Control"
"Mfn2","GSM6280844_n-2",4.85467613660317,"Control","Control"
"Mfn2","GSM6280845_clp-12h-1",4.31068155240221,"CLP12h","CLP"
"Mfn2","GSM6280846_clp-12h-2",4.5113672340949,"CLP12h","CLP"
"Mfn2","GSM6280847_clp-24h-1",4.55638147811856,"CLP24h","CLP"
"Mfn2","GSM6280848_clp-24h-2",4.22197963594255,"CLP24h","CLP"
"Phb2","GSM6280843_n-1",6.58115395171975,"Control","Control"
"Phb2","GSM6280844_n-2",6.60906167683961,"Control","Control"
"Phb2","GSM6280845_clp-12h-1",6.57865804910361,"CLP12h","CLP"
"Phb2","GSM6280846_clp-12h-2",6.56503294280849,"CLP12h","CLP"
"Phb2","GSM6280847_clp-24h-1",6.56639059133331,"CLP24h","CLP"
"Phb2","GSM6280848_clp-24h-2",6.25445824826205,"CLP24h","CLP"
"Sigmar1","GSM6280843_n-1",4.70120408836276,"Control","Control"
"Sigmar1","GSM6280844_n-2",4.89371233835912,"Control","Control"
"Sigmar1","GSM6280845_clp-12h-1",3.3324748095011,"CLP12h","CLP"
"Sigmar1","GSM6280846_clp-12h-2",3.33009599903157,"CLP12h","CLP"
"Sigmar1","GSM6280847_clp-24h-1",2.84804342099304,"CLP24h","CLP"
"Sigmar1","GSM6280848_clp-24h-2",2.63029219564504,"CLP24h","CLP"
"Pacs2","GSM6280843_n-1",4.66564965259709,"Control","Control"
"Pacs2","GSM6280844_n-2",4.69035474558592,"Control","Control"
"Pacs2","GSM6280845_clp-12h-1",2.98003188783494,"CLP12h","CLP"
"Pacs2","GSM6280846_clp-12h-2",3.43288901714238,"CLP12h","CLP"
"Pacs2","GSM6280847_clp-24h-1",2.9017880249165,"CLP24h","CLP"
"Pacs2","GSM6280848_clp-24h-2",2.64992408242487,"CLP24h","CLP"
"Fis1","GSM6280843_n-1",7.54755301529764,"Control","Control"
"Fis1","GSM6280844_n-2",7.49304123066132,"Control","Control"
"Fis1","GSM6280845_clp-12h-1",7.51191968819064,"CLP12h","CLP"
"Fis1","GSM6280846_clp-12h-2",7.69158331792148,"CLP12h","CLP"
"Fis1","GSM6280847_clp-24h-1",7.77320296907754,"CLP24h","CLP"
"Fis1","GSM6280848_clp-24h-2",7.33641354800026,"CLP24h","CLP"
"Mtch2","GSM6280843_n-1",5.9489361736027,"Control","Control"
"Mtch2","GSM6280844_n-2",6.06406243350985,"Control","Control"
"Mtch2","GSM6280845_clp-12h-1",6.04437202459378,"CLP12h","CLP"
"Mtch2","GSM6280846_clp-12h-2",6.0282135815074,"CLP12h","CLP"
"Mtch2","GSM6280847_clp-24h-1",6.07852238042635,"CLP24h","CLP"
"Mtch2","GSM6280848_clp-24h-2",5.87696664863953,"CLP24h","CLP"
"Cisd3","GSM6280843_n-1",3.66001735024474,"Control","Control"
"Cisd3","GSM6280844_n-2",3.54761617173015,"Control","Control"
"Cisd3","GSM6280845_clp-12h-1",2.23952301913784,"CLP12h","CLP"
"Cisd3","GSM6280846_clp-12h-2",2.45333633456041,"CLP12h","CLP"
"Cisd3","GSM6280847_clp-24h-1",2.02056078184033,"CLP24h","CLP"
"Cisd3","GSM6280848_clp-24h-2",2.20592445162873,"CLP24h","CLP"
"Pdzd8","GSM6280843_n-1",5.2037377231478,"Control","Control"
"Pdzd8","GSM6280844_n-2",5.22745289428471,"Control","Control"
"Pdzd8","GSM6280845_clp-12h-1",5.82236278367393,"CLP12h","CLP"
"Pdzd8","GSM6280846_clp-12h-2",5.87283543628997,"CLP12h","CLP"
"Pdzd8","GSM6280847_clp-24h-1",6.01592511804958,"CLP24h","CLP"
"Pdzd8","GSM6280848_clp-24h-2",5.47903423380917,"CLP24h","CLP"
"Vapb","GSM6280843_n-1",6.40019588018001,"Control","Control"
"Vapb","GSM6280844_n-2",6.33084193408004,"Control","Control"
"Vapb","GSM6280845_clp-12h-1",5.37873605816606,"CLP12h","CLP"
"Vapb","GSM6280846_clp-12h-2",5.3785381265273,"CLP12h","CLP"
"Vapb","GSM6280847_clp-24h-1",5.19629799960045,"CLP24h","CLP"
"Vapb","GSM6280848_clp-24h-2",4.9626432420432,"CLP24h","CLP"
"Vapa","GSM6280843_n-1",6.94005915577154,"Control","Control"
"Vapa","GSM6280844_n-2",6.9730381253132,"Control","Control"
"Vapa","GSM6280845_clp-12h-1",8.83818020502096,"CLP12h","CLP"
"Vapa","GSM6280846_clp-12h-2",8.87592375975855,"CLP12h","CLP"
"Vapa","GSM6280847_clp-24h-1",9.34522515941252,"CLP24h","CLP"
"Vapa","GSM6280848_clp-24h-2",8.62463743777889,"CLP24h","CLP"
"Rras2","GSM6280843_n-1",3.76256972686436,"Control","Control"
"Rras2","GSM6280844_n-2",3.68747532736671,"Control","Control"
"Rras2","GSM6280845_clp-12h-1",3.90811373449738,"CLP12h","CLP"
"Rras2","GSM6280846_clp-12h-2",4.09522959161919,"CLP12h","CLP"
"Rras2","GSM6280847_clp-24h-1",4.17363662589512,"CLP24h","CLP"
"Rras2","GSM6280848_clp-24h-2",3.73152970915622,"CLP24h","CLP"
"Mcu","GSM6280843_n-1",4.38486636166823,"Control","Control"
"Mcu","GSM6280844_n-2",4.3576905610966,"Control","Control"
"Mcu","GSM6280845_clp-12h-1",3.74245562462855,"CLP12h","CLP"
