"gene","sample_id","expr","time","group"
"Vdac1","GSM6280843_n-1",6.47096859300314,"Control","Control"
"Vdac1","GSM6280844_n-2",6.5442968764318,"Control","Control"
"Vdac1","GSM6280845_clp-12h-1",6.1879838787658,"CLP12h","CLP"
"Vdac1","GSM6280846_clp-12h-2",6.35128389849909,"CLP12h","CLP"
"Vdac1","GSM6280847_clp-24h-1",6.38633987924488,"CLP24h","CLP"
"Vdac1","GSM6280848_clp-24h-2",5.71399804377002,"CLP24h","CLP"
"Vdac2","GSM6280843_n-1",7.52875954577993,"Control","Control"
"Vdac2","GSM6280844_n-2",7.54070358616479,"Control","Control"
"Vdac2","GSM6280845_clp-12h-1",7.20577903882414,"CLP12h","CLP"
"Vdac2","GSM6280846_clp-12h-2",7.26635836975828,"CLP12h","CLP"
"Vdac2","GSM6280847_clp-24h-1",7.25754540756629,"CLP24h","CLP"
"Vdac2","GSM6280848_clp-24h-2",7.02282667117144,"CLP24h","CLP"
"Vdac3","GSM6280843_n-1",7.05908902691477,"Control","Control"
"Vdac3","GSM6280844_n-2",7.11028469561549,"Control","Control"
"Vdac3","GSM6280845_clp-12h-1",6.60382877106521,"CLP12h","CLP"
"Vdac3","GSM6280846_clp-12h-2",6.62627012170597,"CLP12h","CLP"
"Vdac3","GSM6280847_clp-24h-1",6.61320516505995,"CLP24h","CLP"
"Vdac3","GSM6280848_clp-24h-2",6.45609452043399,"CLP24h","CLP"
"Itpr1","GSM6280843_n-1",5.9029737833289,"Control","Control"
"Itpr1","GSM6280844_n-2",5.75675528001882,"Control","Control"
"Itpr1","GSM6280845_clp-12h-1",4.9064981246882,"CLP12h","CLP"
"Itpr1","GSM6280846_clp-12h-2",4.87611886683499,"CLP12h","CLP"
"Itpr1","GSM6280847_clp-24h-1",4.70455202656752,"CLP24h","CLP"
"Itpr1","GSM6280848_clp-24h-2",5.03460377150232,"CLP24h","CLP"
"Itpr2","GSM6280843_n-1",6.76903110156331,"Control","Control"
"Itpr2","GSM6280844_n-2",6.64811128076317,"Control","Control"
"Itpr2","GSM6280845_clp-12h-1",5.99016312003921,"CLP12h","CLP"
"Itpr2","GSM6280846_clp-12h-2",6.11794222063985,"CLP12h","CLP"
"Itpr2","GSM6280847_clp-24h-1",5.16710427960186,"CLP24h","CLP"
"Itpr2","GSM6280848_clp-24h-2",5.14455922038137,"CLP24h","CLP"
"Itpr3","GSM6280843_n-1",4.07468790206744,"Control","Control"
"Itpr3","GSM6280844_n-2",3.97823147040486,"Control","Control"
"Itpr3","GSM6280845_clp-12h-1",3.48553406691734,"CLP12h","CLP"
"Itpr3","GSM6280846_clp-12h-2",3.76608805619441,"CLP12h","CLP"
"Itpr3","GSM6280847_clp-24h-1",4.0644662149132,"CLP24h","CLP"
"Itpr3","GSM6280848_clp-24h-2",3.57808090880877,"CLP24h","CLP"
"Hspa9","GSM6280843_n-1",5.91860593316469,"Control","Control"
"Hspa9","GSM6280844_n-2",6.02854980121441,"Control","Control"
"Hspa9","GSM6280845_clp-12h-1",7.19189567388869,"CLP12h","CLP"
"Hspa9","GSM6280846_clp-12h-2",7.07411292542597,"CLP12h","CLP"
"Hspa9","GSM6280847_clp-24h-1",6.9754649799628,"CLP24h","CLP"
"Hspa9","GSM6280848_clp-24h-2",6.7531116649767,"CLP24h","CLP"
"Mfn1","GSM6280843_n-1",4.63785718191589,"Control","Control"
"Mfn1","GSM6280844_n-2",4.61410056466222,"Control","Control"
"Mfn1","GSM6280845_clp-12h-1",4.084354148134,"CLP12h","CLP"
"Mfn1","GSM6280846_clp-12h-2",4.18305377842029,"CLP12h","CLP"
"Mfn1","GSM6280847_clp-24h-1",4.2060415297243,"CLP24h","CLP"
"Mfn1","GSM6280848_clp-24h-2",4.12711531031042,"CLP24h","CLP"
