"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu04142","Lysosome biogenesis",133,-0.710975202640962,-1.77098828856309,3.6408886110302e-06,0.00127067012524954,0.0010321486251306,667,"tags=27%, list=11%, signal=25%","66144/75612/252972/110006/12091/19063/71665/71279/12751/56464/64138/114143/83409/170743/63959/12514/19025/192654/11764/67300/12757/67963/11881/19141/16783/11886/17159/13030/15212/13040/14667/16792/13032/13036/19156/15211",0.627256739718528
"mmu05416","Viral myocarditis",40,-0.836988812750915,-1.75178032544996,4.71365055709751e-05,0.00822532022213515,0.00668131939976828,193,"tags=28%, list=3%, signal=27%","170758/12524/14964/11465/12443/11461/14969/14961/14960/14998/14999",0.557332238758646
"mmu05134","Legionellosis",41,0.764308106546931,1.68621401224038,0.00121541816880131,0.0702027272448119,0.057024751716675,644,"tags=32%, list=10%, signal=29%","15511/193740/15481/12266/12176/18035/14825/269523/15510/67160/13627/13063/16409",0.45505986738723
"mmu04658","Th1 and Th2 cell differentiation",41,-0.779665704180123,-1.65809230499034,0.00176062462795664,0.0702027272448119,0.057024751716675,252,"tags=17%, list=4%, signal=16%","14281/17132/14969/14961/14960/14998/14999",0.45505986738723
"mmu00590","Arachidonic acid metabolism",20,-0.872940103687979,-1.65417022781106,0.00102753037574316,0.0702027272448119,0.057024751716675,415,"tags=40%, list=7%, signal=37%","66469/19224/11689/21391/12409/54486/17001/15446",0.45505986738723
"mmu05321","Inflammatory bowel disease",26,-0.834317568905702,-1.6434801524584,0.00194834281752381,0.0702027272448119,0.057024751716675,346,"tags=31%, list=5%, signal=29%","21803/21926/17132/14969/14961/14960/14998/14999",0.45505986738723
"mmu05135","Yersinia infection",96,-0.684030284822726,-1.63556864851661,0.00100979893449192,0.0702027272448119,0.057024751716675,781,"tags=28%, list=12%, signal=25%","57257/18707/19354/20296/22376/18717/14682/12362/16822/66713/16412/74117/56378/26416/11848/215280/20293/68089/21926/14281/76709/170758/14131/12540/16401/11465/11461",0.45505986738723
"mmu04915","Estrogen signaling pathway",62,0.673083377874449,1.60973735291936,0.00509223822131079,0.126942224231248,0.103113498623864,138,"tags=11%, list=2%, signal=11%","14229/15511/193740/15481/15516/15519/18798",0.407017918923954
"mmu05140","Leishmaniasis",49,-0.737816411556725,-1.59755933562867,0.00451610663653119,0.121240093549953,0.098481732891701,462,"tags=35%, list=7%, signal=32%","16412/26416/21803/17970/13057/21926/14281/18751/14131/16401/17357/13058/14969/14961/14960/14998/14999",0.407017918923954
"mmu04672","Intestinal immune network for IgA production",13,-0.916223154342937,-1.5974946983575,0.00204387289414007,0.0702027272448119,0.057024751716675,346,"tags=69%, list=5%, signal=66%","21803/12767/16401/12524/14969/14961/14960/14998/14999",0.431707695803346
"mmu04382","Cornified envelope formation",42,0.722348865297964,1.59630891638602,0.00761923853247896,0.136029541225295,0.110495006660569,579,"tags=26%, list=9%, signal=24%","20201/20202/60363/12826/12827/18810/20194/67469/12741/52432/16776",0.407017918923954
