"gene","LFC"
"G1",-3.76290784637662
"G2",-3.59640278506344
"G3",-3.14955911265026
"G4",-1.03503253868583
"G5",-0.964295240624931
"G6",-0.850412023194127
"G7",-0.633603952266506
"G8",-0.624377212841916
"G9",-0.519895747445282
"G10",-0.519373412680511
"G11",-0.412421725005525
"G12",-0.365414249259118
"G13",-0.361957362476643
"G14",-0.342863136071532
"G15",-0.251571654643097
"G16",-0.10600196835087
"G17",-0.0485875283670952
"G18",0.000660685643406133
"G19",0.0411196824553565
"G20",0.0516827979334775
"G21",0.0892968962996916
"G22",0.172499966722594
"G23",0.201016682759024
"G24",0.253286427031321
"G25",0.440280045145629
"G26",0.449191092780425
"G27",0.472147350995469
"G28",0.492740158439364
"G29",0.53177976901582
"G30",0.575865243740613
"G31",0.583813751929278
"G32",0.612375047257407
"G33",0.643370116057345
"G34",0.661712327783614
"G35",0.684505560334942
"G36",0.70471247561635
"G37",0.706841751384799
"G38",2.89112324305324
"G39",3.26142863613354
"G40",3.47585242300157
