"module","trait","cor"
"M1","Age",0.0837220292538404
"M2","Age",-0.494003822654486
"M3","Age",-0.504613122716546
"M4","Age",0.284753236174583
"M5","Age",0.658885566145182
"M6","Age",0.514939108118415
"M1","Stage",0.260455279052258
"M2","Stage",0.76302644982934
"M3","Stage",-0.18160408847034
"M4","Stage",0.478050518035889
"M5","Stage",0.66208723038435
"M6","Stage",0.527263598144055
"M1","Response",0.757972161844373
"M2","Response",0.0768269322812557
"M3","Response",-0.785418746247888
"M4","Response",-0.671971606463194
"M5","Response",-0.358051375672221
"M6","Response",0.642101629450917
