"gene","GSM254684","GSM254674","GSM254664","GSM254724","GSM254627","GSM254661","GSM254647","GSM254696","GSM254641","GSM254675","GSM254694","GSM254678","GSM254717","GSM254695","GSM254708","GSM254646","GSM254711","GSM254669","GSM254673","GSM254702","GSM254691","GSM254689","GSM254710","GSM254719"
"214387_x_at",11.70832466,11.5543143,9.108457222,10.85658636,8.842684152,12.05099651,9.666093455,7.298853628,10.48121199,9.077677448,12.87489344,7.4368482,14.39878017,14.13094501,13.98954733,14.57980233,14.63068729,14.36472304,14.3562211,14.43755725,14.30850604,14.43302546,13.92945681,14.47842071
"201909_at",11.09856904,11.07113247,12.03044561,9.582393148,9.585760769,7.547808045,10.55416002,11.80698046,10.15845713,12.0518286,7.545989427,11.37001841,11.68487423,7.425831585,11.93302817,12.14094214,11.64470519,12.18951426,12.1885422,7.355611505,7.188353874,12.23735025,12.28260162,7.481793174
"221728_x_at",6.71949111,5.748976885,5.914623928,6.207604557,5.933886563,10.44988276,6.235867175,6.102217915,6.007358921,6.086169143,10.53937986,6.600254378,6.328753201,10.91404044,6.308315803,5.980724015,6.699882125,6.180707779,5.840619475,10.09638653,10.09117679,5.914909091,6.045565049,9.788625308
"203571_s_at",6.743357381,6.536448075,6.538182596,7.683992166,6.124010712,7.135916693,6.455875341,6.947904646,7.874474799,6.557036873,8.643624795,6.075729356,9.232897525,9.166910467,9.843412676,10.38758367,10.32340264,10.82606471,10.68090705,11.11739804,9.668503279,9.649234145,9.640198352,11.08937429
"209470_s_at",5.937504987,5.751798192,6.352192502,5.991957753,6.077724932,6.055039674,5.8438246,5.780131678,5.944986043,5.799361922,6.189380517,6.472085889,9.253104392,6.649078205,8.220281279,10.63703927,8.471154696,9.561354211,9.744317843,9.625028853,8.849341998,10.01242648,6.95586378,9.239914736
"214199_at",10.9912215,10.21917111,9.255237655,9.57185567,10.03948942,12.86469068,9.861224504,9.266212548,10.01962446,9.557454965,10.98218249,7.755711944,12.43847048,12.82447672,12.68511799,12.83886068,13.27338522,12.45623618,12.60365453,12.78310556,12.82920675,12.56411254,13.16053931,12.79379459
"221132_at",6.392068106,6.836263041,5.839946943,6.688306436,6.926116511,7.032446958,6.408749778,6.358876108,6.671958539,6.316648926,7.687223597,5.71948928,9.442336192,8.837123791,8.78524926,9.966421981,8.428121886,8.812581383,9.715382229,9.652596358,8.504422257,9.401284658,9.421470511,10.55698372
"204343_at",9.293291292,8.265708011,7.242479659,8.171581848,6.515599361,9.30942793,9.253644346,7.531250644,8.912859059,8.005873126,9.146867908,6.76536926,9.987830559,11.64243136,10.53911123,10.78902413,11.31896393,10.73854741,10.40964996,10.08275804,10.62644457,10.05741576,11.46012099,10.7152933
"211726_s_at",8.507903376,9.000644079,8.647284202,8.385408518,8.133546565,9.259903589,8.019614985,9.777342082,8.425862638,9.685685119,10.0003294,9.344947816,11.54871435,10.61590734,11.71079765,10.75438411,11.80380413,11.83129784,12.13424896,11.70124126,12.04529544,12.01264073,9.258696007,12.17132854
"214612_x_at",9.065992282,4.853927499,4.735455447,4.767676252,7.290585147,5.07050517,10.51411553,4.792771105,4.918147095,4.958147692,7.096377648,5.583585617,5.121500134,4.950871352,4.991086452,4.958871485,5.03527961,4.930210821,4.741152282,4.983131074,4.955757648,4.827107247,4.922308159,5.039870441
"216594_x_at",9.006544123,8.861954333,8.534737327,14.00695363,11.04282861,10.14604683,13.86223178,9.552393664,9.273583885,13.19567829,9.549072491,12.47994514,9.902500229,9.942352689,10.25230501,10.05448332,9.924710013,10.53843426,10.42875866,10.10294174,10.39728012,10.27312782,10.35191688,10.45732802
"206701_x_at",6.72031565,6.571718949,6.775923712,6.736222487,6.546153757,6.527257087,6.749994694,6.539568293,6.525436379,6.566557133,7.414322703,6.125974263,8.869000726,8.050819711,7.987065811,9.643105689,7.637083472,10.22788849,9.723477795,10.09569661,8.901608456,9.728402507,8.558503732,10.44057748
"210519_s_at",7.572141741,9.058524369,8.329885899,12.43926275,10.48868783,9.748786866,12.91191412,10.16059654,10.35665636,11.86955986,9.481155722,9.59361158,8.220560708,8.078009786,8.350412119,8.326143468,7.976296487,8.077782566,8.608872443,9.029327987,9.047664963,8.529455636,8.972623355,8.373685905
"206311_s_at",7.076516119,5.869004619,6.615981394,6.401427517,6.143154731,7.732758277,5.963708241,5.711668519,6.192561906,6.165037082,9.260767254,6.658716424,8.489031808,7.832462296,8.673996438,9.899079746,8.31018488,8.935477288,8.45647616,8.599049207,9.9117187,9.874211183,8.290012421,9.251578311
"209395_at",10.36233342,11.93442468,7.948842081,7.72298319,7.691237869,11.13957391,9.593924139,11.15124352,9.036477508,8.858286388,9.32856408,8.508860478,7.571176614,8.51470887,8.649379831,8.077568119,9.126087799,7.452518988,6.916628832,8.061516673,8.934198953,7.192515597,10.48203109,7.72748633
"214433_s_at",7.830974808,8.448108771,7.804995688,9.11061709,8.775660879,10.53048283,7.464927296,8.651691308,9.897185781,8.297160482,10.10917979,7.684717784,10.45578171,10.62389765,10.93505704,11.25441353,10.90603968,10.82970865,10.70466851,11.1818556,11.1130045,11.19266576,10.68109793,11.26159575
"212353_at",10.38002856,10.57481314,8.931180634,8.521940476,9.658172532,10.179075,10.6045351,10.45778867,10.29958335,10.29940183,8.087160644,9.367411246,7.59055996,8.009249817,7.491453054,7.371327099,6.640588958,7.371949205,7.517124726,7.127077323,7.612579712,7.702740651,8.416469715,7.195692148
