"pathway","NES","size","padj","ID","pvalue"
"Proteasome",2.88620985718075,46,8.43586579632283e-09,"mmu03050",1e-10
"Ribosome biogenesis in eukaryotes",2.65652649802756,73,8.43586579632283e-09,"mmu03008",1e-10
"Nucleocytoplasmic transport",2.51911081070826,102,8.43586579632283e-09,"mmu03013",1e-10
"mRNA surveillance pathway",2.50590838200705,86,8.43586579632283e-09,"mmu03015",1.20512368518898e-10
"Ribosome",2.23245086410724,169,7.81258053605018e-08,"mmu03010",1.33929952046575e-09
"Amyotrophic lateral sclerosis",2.17349178174871,310,8.43586579632283e-09,"mmu05014",1e-10
"Coronavirus disease",2.09081703272153,194,2.55562445711392e-07,"mmu05171",5.11124891422784e-09
"Protein processing in endoplasmic reticulum",2.07251320822203,158,2.91124294480046e-06,"mmu04141",6.65426958811533e-08
"Mineral absorption",2.03531544158003,32,0.0092518976145753,"mmu04978",0.000607981843243519
"Peroxisome",-2.02731265564797,74,0.000112136644172553,"mmu04146",4.48546576690212e-06
"Spinocerebellar ataxia",2.01037098201005,127,3.84038333822547e-05,"mmu05017",1.31670285882016e-06
"Mitophagy - animal",1.97849523493354,97,0.000470581220804525,"mmu04137",2.15122843796354e-05
