"pathway","GSE190856","GSE207177","GSE207363","GSE267388"
"Proteasome",1.73305003040817,2.88620985718075,1.56908565560341,2.3807402581028
"Legionellosis",1.61794769903296,1.89440406945858,1.68621401224038,2.17329676135313
"IL-17 signaling pathway",1.60974647513941,1.77542044482354,1.33076726560121,2.50229118307267
"Cytosolic DNA-sensing pathway",1.76844439821477,1.20577330836067,1.35941206657175,2.38966198138637
"Cytokine-cytokine receptor interaction",1.67305328840725,1.63506464125528,-1.17699761858354,2.20071190609962
"Tuberculosis",1.92097941626866,1.41576948826309,-1.58479554048693,1.71376344350643
"Lipid and atherosclerosis",1.36992906289903,1.71504888096973,1.54661523917694,1.98242699807224
"Lysosome biogenesis",2.23941295084747,-1.18342877212025,-1.77098828856309,-1.29555240656405
"Herpes simplex virus 1 infection",1.33291977187121,1.33417420346074,-1.21311466161379,2.56398002873524
"Viral protein interaction with cytokine and cytokine receptor",1.6307343955243,1.41995845338311,-1.41466993766282,1.97237696869484
"Leishmaniasis",1.93154157197421,1.1809464635887,-1.59755933562867,1.58170509099643
"Influenza A",1.51507679640533,1.22198078707716,-1.3636764339492,2.13446837945327
