"ID","Description","setSize","NES","pvalue","p.adjust"
"mmu03050","Proteasome",46,2.88620985718075,1e-10,8.43586579632283e-09
"mmu03008","Ribosome biogenesis in eukaryotes",73,2.65652649802756,1e-10,8.43586579632283e-09
"mmu03013","Nucleocytoplasmic transport",102,2.51911081070826,1e-10,8.43586579632283e-09
"mmu03015","mRNA surveillance pathway",86,2.50590838200705,1.20512368518898e-10,8.43586579632283e-09
"mmu03010","Ribosome",169,2.23245086410724,1.33929952046575e-09,7.81258053605018e-08
"mmu05014","Amyotrophic lateral sclerosis",310,2.17349178174871,1e-10,8.43586579632283e-09
"mmu05171","Coronavirus disease",194,2.09081703272153,5.11124891422784e-09,2.55562445711392e-07
"mmu04141","Protein processing in endoplasmic reticulum",158,2.07251320822203,6.65426958811533e-08,2.91124294480046e-06
"mmu04978","Mineral absorption",32,2.03531544158003,0.000607981843243519,0.0092518976145753
"mmu04146","Peroxisome",74,-2.02731265564797,4.48546576690212e-06,0.000112136644172553
"mmu05017","Spinocerebellar ataxia",127,2.01037098201005,1.31670285882016e-06,3.84038333822547e-05
"mmu04137","Mitophagy - animal",97,1.97849523493354,2.15122843796354e-05,0.000470581220804525
"mmu05016","Huntington disease",261,1.90580500355051,1.06063888953202e-07,4.12470679262451e-06
"mmu05134","Legionellosis",54,1.89440406945858,0.000284160516266579,0.00497280903466513
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,-1.87695577827141,0.00147438256045965,0.017926459000281
"mmu05012","Parkinson disease",231,1.8626099747513,1.66792851362163e-07,5.8377497976757e-06
"mmu04350","TGF-beta signaling pathway",92,1.82016509140385,0.000141366613564277,0.00274879526374983
"mmu00982","Drug metabolism - cytochrome P450",37,-1.78345197882448,0.001485335174309,0.017926459000281
"mmu04657","IL-17 signaling pathway",75,1.77542044482354,0.000884800913319366,0.0114696414689547
"mmu00040","Pentose and glucuronate interconversions",17,-1.75234668944053,0.00894465899857564,0.0638904214183975
