"pair","axis","delta","label"
"Vegfa→Flt1","Fibroblasts→Endothelial",9.71551661292443,"Vegfa→Flt1 | Fibroblasts→Endothelial"
"Ccl3→Ccr1","Granulocytes→Granulocytes",7.41376759069112,"Ccl3→Ccr1 | Granulocytes→Granulocytes"
"Il1b→Il1r1","Macrophages→Fibroblasts",7.10034318292533,"Il1b→Il1r1 | Macrophages→Fibroblasts"
"Apoe→Ldlr","Macrophages→Granulocytes",4.7193932940265,"Apoe→Ldlr | Macrophages→Granulocytes"
"Il6→Il6st","Fibroblasts→Fibroblasts",4.26221636301729,"Il6→Il6st | Fibroblasts→Fibroblasts"
"Tnf→Tnfrsf1a","Granulocytes→Endothelial",3.89470936518862,"Tnf→Tnfrsf1a | Granulocytes→Endothelial"
"Cxcl1→Cxcr2","Endothelial→Granulocytes",3.48143753633947,"Cxcl1→Cxcr2 | Endothelial→Granulocytes"
"Cxcl2→Cxcr2","Endothelial→Granulocytes",3.19286576970204,"Cxcl2→Cxcr2 | Endothelial→Granulocytes"
"Tnf→Tnfrsf1a","Granulocytes→Pericytes",3.0881267109248,"Tnf→Tnfrsf1a | Granulocytes→Pericytes"
"Cxcl1→Cxcr2","Pericytes→Granulocytes",2.94752113538156,"Cxcl1→Cxcr2 | Pericytes→Granulocytes"
"Tnf→Tnfrsf1b","Granulocytes→Granulocytes",2.91894062582733,"Tnf→Tnfrsf1b | Granulocytes→Granulocytes"
"Icam1→Itgb2","Fibroblasts→Granulocytes",2.85651452716455,"Icam1→Itgb2 | Fibroblasts→Granulocytes"
