"group","celltype","gene","expr"
"CLP","B-cells","Il1r1",0.0962114821032992
"CLP","B-cells","Cd44",0.178658255005219
"CLP","B-cells","Il1b",0.0888893946143195
"CLP","B-cells","Cxcr3",0.00271883573746784
"CLP","B-cells","Il6ra",0.10373733321361
"CLP","B-cells","Csf1",0.108091915495979
"CLP","B-cells","Il6",0.106564466026394
"CLP","B-cells","Cxcl10",0.141509044069417
"CLP","B-cells","Spp1",0.00295225199433854
"CLP","B-cells","Flt1",0.616956321364862
"CLP","B-cells","Tnfrsf1a",0.227363276799594
"CLP","B-cells","Ccr2",0
"CLP","B-cells","Ccl2",0.16518921355621
"CLP","B-cells","Tnf",0.0557821647232473
"CLP","B-cells","Vegfa",0.0556164168611409
"CLP","B-cells","Csf1r",0.00103987524078435
"CLP","Cardiomyocytes","Il1r1",0.0556333590795065
"CLP","Cardiomyocytes","Cd44",0.0167609302739784
"CLP","Cardiomyocytes","Il1b",0.0408483948684738
"CLP","Cardiomyocytes","Cxcr3",0
"CLP","Cardiomyocytes","Il6ra",0.00591384894218087
"CLP","Cardiomyocytes","Csf1",0.0440502492103047
"CLP","Cardiomyocytes","Il6",0.158448445755117
"CLP","Cardiomyocytes","Cxcl10",0.136800571665307
"CLP","Cardiomyocytes","Spp1",0
"CLP","Cardiomyocytes","Flt1",1.3193851446075
"CLP","Cardiomyocytes","Tnfrsf1a",0.315836899253601
"CLP","Cardiomyocytes","Ccr2",0.00069123015252871
"CLP","Cardiomyocytes","Ccl2",0.213318949843133
"CLP","Cardiomyocytes","Tnf",0.0175174005264313
"CLP","Cardiomyocytes","Vegfa",0.0211708990718276
"CLP","Cardiomyocytes","Csf1r",0.00372833357057072
"CLP","Endothelial","Il1r1",0.259802454896365
"CLP","Endothelial","Cd44",0.0352127015240276
"CLP","Endothelial","Il1b",0.0290784436546008
"CLP","Endothelial","Cxcr3",0.000170938540249373
"CLP","Endothelial","Il6ra",0.0265147956377281
"CLP","Endothelial","Csf1",0.324610235260045
"CLP","Endothelial","Il6",0.47516233558074
"CLP","Endothelial","Cxcl10",0.428666833528796
"CLP","Endothelial","Spp1",0.000749549673158714
"CLP","Endothelial","Flt1",2.87608017853478
"CLP","Endothelial","Tnfrsf1a",1.15347829007405
"CLP","Endothelial","Ccr2",0.00105263209180804
"CLP","Endothelial","Ccl2",0.313760723230843
"CLP","Endothelial","Tnf",0.141692582837216
"CLP","Endothelial","Vegfa",0.165734733076732
"CLP","Endothelial","Csf1r",0.0043354588631704
"CLP","Fibroblasts","Il1r1",1.12790046425403
"CLP","Fibroblasts","Cd44",0.538184300071427
"CLP","Fibroblasts","Il1b",0.0242809267965474
"CLP","Fibroblasts","Cxcr3",0
"CLP","Fibroblasts","Il6ra",0.440589935940688
"CLP","Fibroblasts","Csf1",0.51176996943237
"CLP","Fibroblasts","Il6",1.41978123945517
"CLP","Fibroblasts","Cxcl10",0.614727932760887
"CLP","Fibroblasts","Spp1",0.00506863311066978
"CLP","Fibroblasts","Flt1",0.336574212430714
"CLP","Fibroblasts","Tnfrsf1a",0.879098206707549
"CLP","Fibroblasts","Ccr2",0.000343834832215801
"CLP","Fibroblasts","Ccl2",1.3904391071016
"CLP","Fibroblasts","Tnf",0.0190338226110013
"CLP","Fibroblasts","Vegfa",0.589363413435556
"CLP","Fibroblasts","Csf1r",0.0175379471417251
"CLP","Fibroblasts-activated","Il1r1",0.0335937873732932
"CLP","Fibroblasts-activated","Cd44",0.349772181858437
"CLP","Fibroblasts-activated","Il1b",0.0174496359637769
"CLP","Fibroblasts-activated","Cxcr3",0.00240312142459526
"CLP","Fibroblasts-activated","Il6ra",0.00838703756728604
"CLP","Fibroblasts-activated","Csf1",0.243463734454907
"CLP","Fibroblasts-activated","Il6",0.148204983787031
"CLP","Fibroblasts-activated","Cxcl10",0.788661962743788
"CLP","Fibroblasts-activated","Spp1",0
"CLP","Fibroblasts-activated","Flt1",0.323654591453819
"CLP","Fibroblasts-activated","Tnfrsf1a",0.767169287131921
"CLP","Fibroblasts-activated","Ccr2",0
"CLP","Fibroblasts-activated","Ccl2",0.298365559986862
"CLP","Fibroblasts-activated","Tnf",0.021715082036329
"CLP","Fibroblasts-activated","Vegfa",0.0409867296050088
"CLP","Fibroblasts-activated","Csf1r",0.00730447124439325
"CLP","Granulocytes","Il1r1",0.0594908470146524
"CLP","Granulocytes","Cd44",1.7326905536678
"CLP","Granulocytes","Il1b",2.18399473650082
"CLP","Granulocytes","Cxcr3",0
"CLP","Granulocytes","Il6ra",0.531593201047667
"CLP","Granulocytes","Csf1",0.250961703994364
"CLP","Granulocytes","Il6",0.0820047077786489
"CLP","Granulocytes","Cxcl10",0.107289640388899
"CLP","Granulocytes","Spp1",0.0532592584515116
"CLP","Granulocytes","Flt1",0.501701785934607
"CLP","Granulocytes","Tnfrsf1a",1.01193377865863
"CLP","Granulocytes","Ccr2",0.00723307716371261
"CLP","Granulocytes","Ccl2",0.121135997183787
"CLP","Granulocytes","Tnf",1.05482977913492
"CLP","Granulocytes","Vegfa",0.123155340596579
"CLP","Granulocytes","Csf1r",0.0574599251258162
"CLP","Macrophages","Il1r1",0.0796705670015016
"CLP","Macrophages","Cd44",0.699958724101749
"CLP","Macrophages","Il1b",1.55991002011982
"CLP","Macrophages","Cxcr3",0.000745309031107308
"CLP","Macrophages","Il6ra",0.668259770629313
"CLP","Macrophages","Csf1",0.0436707575786371
"CLP","Macrophages","Il6",0.184973929746065
"CLP","Macrophages","Cxcl10",0.857652482790231
