"pair","axis","delta","label"
"Vegfa→Flt1","Fibroblasts→Endothelial",9.71551661292443,"Vegfa→Flt1 | Fibroblasts→Endothelial"
"Ccl3→Ccr1","Granulocytes→Granulocytes",7.41376759069112,"Ccl3→Ccr1 | Granulocytes→Granulocytes"
"Il1b→Il1r1","Macrophages→Fibroblasts",7.10034318292533,"Il1b→Il1r1 | Macrophages→Fibroblasts"
"Apoe→Ldlr","Macrophages→Granulocytes",4.7193932940265,"Apoe→Ldlr | Macrophages→Granulocytes"
"Il6→Il6st","Fibroblasts→Fibroblasts",4.26221636301729,"Il6→Il6st | Fibroblasts→Fibroblasts"
"Tnf→Tnfrsf1a","Granulocytes→Endothelial",3.89470936518862,"Tnf→Tnfrsf1a | Granulocytes→Endothelial"
"Cxcl1→Cxcr2","Endothelial→Granulocytes",3.48143753633947,"Cxcl1→Cxcr2 | Endothelial→Granulocytes"
"Cxcl2→Cxcr2","Endothelial→Granulocytes",3.19286576970204,"Cxcl2→Cxcr2 | Endothelial→Granulocytes"
"Tnf→Tnfrsf1a","Granulocytes→Pericytes",3.0881267109248,"Tnf→Tnfrsf1a | Granulocytes→Pericytes"
"Cxcl1→Cxcr2","Pericytes→Granulocytes",2.94752113538156,"Cxcl1→Cxcr2 | Pericytes→Granulocytes"
"Tnf→Tnfrsf1b","Granulocytes→Granulocytes",2.91894062582733,"Tnf→Tnfrsf1b | Granulocytes→Granulocytes"
"Icam1→Itgb2","Fibroblasts→Granulocytes",2.85651452716455,"Icam1→Itgb2 | Fibroblasts→Granulocytes"
"Il6→Il6ra","Fibroblasts→Macrophages",2.75912970670181,"Il6→Il6ra | Fibroblasts→Macrophages"
"Cxcl2→Cxcr2","Fibroblasts→Granulocytes",2.66227430467665,"Cxcl2→Cxcr2 | Fibroblasts→Granulocytes"
"Vegfa→Flt1","Pericytes→Endothelial",2.63709747062228,"Vegfa→Flt1 | Pericytes→Endothelial"
"Icam1→Itgb2","Endothelial→Granulocytes",2.5717655707467,"Icam1→Itgb2 | Endothelial→Granulocytes"
"Tnf→Tnfrsf1a","Granulocytes→Granulocytes",2.57154325962358,"Tnf→Tnfrsf1a | Granulocytes→Granulocytes"
"Tnf→Tnfrsf1a","Granulocytes→Fibroblasts",2.48363902346271,"Tnf→Tnfrsf1a | Granulocytes→Fibroblasts"
"Il1b→Il1r1","Macrophages→Pericytes",2.19878056648025,"Il1b→Il1r1 | Macrophages→Pericytes"
"Il6→Il6ra","Fibroblasts→Granulocytes",2.02605258053939,"Il6→Il6ra | Fibroblasts→Granulocytes"
"Ccl3→Ccr1","Macrophages→Granulocytes",2.01336796673,"Ccl3→Ccr1 | Macrophages→Granulocytes"
"Vegfa→Flt1","Fibroblasts→Cardiomyocytes",2.00688463686156,"Vegfa→Flt1 | Fibroblasts→Cardiomyocytes"
"Ccl3→Ccr1","Granulocytes→Macrophages",1.92854481107294,"Ccl3→Ccr1 | Granulocytes→Macrophages"
"Il6→Il6st","Fibroblasts→Pericytes",1.76952588251224,"Il6→Il6st | Fibroblasts→Pericytes"
"Cxcl2→Cxcr2","Pericytes→Granulocytes",1.71299738706712,"Cxcl2→Cxcr2 | Pericytes→Granulocytes"
