"gene","logFC"
"TG1",-2.6656066406367
"TG2",-2.63673447468224
"TG3",-2.49135136655528
"TG4",-2.45377785103765
"TG5",-0.748494779685034
"TG6",-0.622720238342103
"TG7",-0.588553549424306
"TG8",-0.500633721601638
"TG9",-0.44495906379657
"TG10",-0.333729480077896
"TG11",-0.328085053647774
"TG12",-0.22391434610775
"TG13",-0.170474190139728
"TG14",-0.148828505999815
"TG15",0.00398821774044322
"TG16",0.114843146991532
"TG17",0.163867711517662
"TG18",0.281875496649614
"TG19",0.53372999030074
"TG20",1.31348079356784
