"statistic","TF","condition","score","p_value"
"ulm","Hif1a","SCM_vs_Ctrl",5.09466765393984,3.5348704920613e-07
"ulm","Rela","SCM_vs_Ctrl",5.02999444370896,4.96016916031341e-07
"ulm","Foxk2","SCM_vs_Ctrl",4.52755250436717,6.01184390875499e-06
"ulm","Myc","SCM_vs_Ctrl",4.32000330847591,1.57004797483798e-05
"ulm","Bhlhe40","SCM_vs_Ctrl",-4.19687219950924,2.72145506151838e-05
"ulm","Stat3","SCM_vs_Ctrl",4.1355857300025,3.5592933441324e-05
"ulm","Elf1","SCM_vs_Ctrl",4.10628996132297,4.04141526411232e-05
"ulm","Ar","SCM_vs_Ctrl",4.09894984458397,4.17158189754921e-05
"ulm","Nfkb1","SCM_vs_Ctrl",3.88545263089574,0.000102567231831006
"ulm","Zbtb11","SCM_vs_Ctrl",3.83988093169299,0.000123587115573942
"ulm","Nr2c2","SCM_vs_Ctrl",3.78219763423081,0.000156038042819376
"ulm","Cebpb","SCM_vs_Ctrl",3.74547222958069,0.000180711460959596
"ulm","Sp1","SCM_vs_Ctrl",3.66802851000717,0.000245252064394087
"ulm","Atf3","SCM_vs_Ctrl",-3.46912610845623,0.000523583315321305
"ulm","Egr1","SCM_vs_Ctrl",3.420782169014,0.000626035069880449
"ulm","Thap11","SCM_vs_Ctrl",3.38907224212299,0.000703054823024301
