"gene","Pipe1","Pipe2","Pipe3","Pipe4","Pipe5","Pipe6"
"PIPE1",21,30,22,83,66,66
"PIPE2",21,31,4,64,74,73
"PIPE3",14,27,23,57,54,58
"PIPE4",20,30,10,81,60,60
"PIPE5",39,24,22,60,66,74
"PIPE6",26,17,19,68,66,64
"PIPE7",29,32,31,54,61,56
"PIPE8",15,52,20,56,57,53
"PIPE9",8,18,36,19,37,13
"PIPE10",34,41,17,28,25,20
"PIPE11",12,10,15,22,20,18
"PIPE12",26,25,22,13,23,21
"PIPE13",21,23,46,13,19,4
"PIPE14",5,16,38,11,15,27
"PIPE15",25,27,11,31,32,21
"PIPE16",14,16,24,22,30,30
"PIPE17",14,51,35,24,24,37
"PIPE18",11,27,25,25,30,27
"PIPE19",19,35,47,28,25,32
"PIPE20",37,8,33,15,19,16
"PIPE21",54,28,21,19,10,21
"PIPE22",30,23,31,27,34,40
"PIPE23",19,7,29,10,30,33
"PIPE24",20,34,31,21,14,21
"PIPE25",13,38,19,36,16,25
"PIPE26",32,21,24,26,22,26
"PIPE27",27,19,27,38,16,26
"PIPE28",21,34,17,14,25,22
"PIPE29",20,25,29,12,49,10
"PIPE30",12,42,11,30,14,9
"PIPE31",15,39,14,15,33,20
"PIPE32",30,22,23,28,27,10
"PIPE33",25,38,11,14,20,15
"PIPE34",32,21,36,18,18,17
"PIPE35",25,19,43,40,22,20
"PIPE36",49,7,33,21,41,32
"PIPE37",47,45,21,7,20,20
"PIPE38",30,23,22,14,29,16
"PIPE39",9,31,36,17,23,44
"PIPE40",31,17,29,45,20,7
"PIPE41",23,24,23,40,31,28
"PIPE42",14,23,5,46,44,30
"PIPE43",43,19,18,25,20,41
"PIPE44",26,38,20,35,7,8
"PIPE45",47,37,9,29,12,30
"PIPE46",34,13,53,36,34,39
"PIPE47",14,31,36,9,6,27
"PIPE48",14,10,15,23,39,32
"PIPE49",22,22,14,12,34,24
"PIPE50",28,42,27,26,16,12
