#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACHE	APP	9606.ENSP00000303211	9606.ENSP00000284981	0	0	0	0	0.092	0.801	0	0.759	0.952
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0	0	0.936	0.062	0.676	0.800	0.883	0.937
ADRA1B	ADRB2	9606.ENSP00000306662	9606.ENSP00000305372	0	0	0	0.801	0	0	0.900	0.767	0.915
ADRA1B	F2	9606.ENSP00000306662	9606.ENSP00000308541	0	0	0	0	0.066	0.097	0.900	0	0.908
ADRA1B	EDN1	9606.ENSP00000306662	9606.ENSP00000368683	0	0	0	0	0.070	0	0.900	0.313	0.930
ADRB2	F2	9606.ENSP00000305372	9606.ENSP00000308541	0	0	0	0	0	0.097	0.900	0.173	0.918
ADRB2	EDN1	9606.ENSP00000305372	9606.ENSP00000368683	0	0	0	0	0	0	0.900	0.398	0.937
ADRB2	PDE4D	9606.ENSP00000305372	9606.ENSP00000345502	0	0	0	0	0	0.145	0	0.963	0.967
AHR	AR	9606.ENSP00000242057	9606.ENSP00000363822	0	0	0	0	0	0.470	0	0.833	0.908
AHR	CYP1B1	9606.ENSP00000242057	9606.ENSP00000478561	0	0	0	0	0.096	0.273	0	0.893	0.924
AHR	RELA	9606.ENSP00000242057	9606.ENSP00000384273	0	0	0	0	0	0.486	0	0.980	0.989
AHR	CYP1A1	9606.ENSP00000242057	9606.ENSP00000369050	0	0	0	0	0.062	0	0.900	0.934	0.993
AKR1B1	AKR1C3	9606.ENSP00000285930	9606.ENSP00000369927	0	0	0.449	0.939	0	0	0.900	0.607	0.906
AKR1C3	CYP3A4	9606.ENSP00000369927	9606.ENSP00000337915	0	0	0	0	0.062	0	0.900	0.336	0.932
AKR1C3	HSD3B1	9606.ENSP00000369927	9606.ENSP00000358421	0.044	0	0	0	0.066	0	0.900	0.696	0.969
AKR1C3	CYP1A1	9606.ENSP00000369927	9606.ENSP00000369050	0	0	0	0	0.063	0	0.900	0.344	0.933
AKR1C3	CYP1B1	9606.ENSP00000369927	9606.ENSP00000478561	0	0	0	0	0.062	0	0.900	0.380	0.936
AKT1	NFKB1	9606.ENSP00000451828	9606.ENSP00000226574	0	0	0	0	0.066	0.176	0.900	0.526	0.958
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.682	0.966
AKT1	GAPDH	9606.ENSP00000451828	9606.ENSP00000229239	0	0	0	0	0.046	0.349	0	0.871	0.913
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.303	0.623	0.083	0.830	0.600	0.769	0.956
AKT1	PI3	9606.ENSP00000451828	9606.ENSP00000243924	0	0	0	0	0	0	0	0.988	0.988
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0	0.760	0	0.982	0.995
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000251849	0	0	0	0.581	0	0.880	0.900	0.914	0.992
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.898	0.900	0.852	0.998
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.320	0.900	0.845	0.988
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	SOD1	9606.ENSP00000451828	9606.ENSP00000270142	0	0	0	0	0	0.090	0.900	0.569	0.957
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0.049	0.879	0.900	0.988	0.999
AKT1	INSR	9606.ENSP00000451828	9606.ENSP00000303830	0	0	0	0.559	0.052	0.182	0.900	0.730	0.942
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	HSPA5	9606.ENSP00000451828	9606.ENSP00000324173	0	0	0	0	0	0.531	0	0.983	0.992
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0.218	0.576	0.049	0.934	0.900	0.873	0.996
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0.063	0.077	0.900	0.646	0.965
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0	0.231	0.900	0.814	0.984
AKT1	CAV1	9606.ENSP00000451828	9606.ENSP00000339191	0	0	0	0	0	0.058	0.900	0.755	0.975
AKT1	E2F1	9606.ENSP00000451828	9606.ENSP00000345571	0	0	0	0	0.092	0.075	0.900	0.486	0.951
AKT1	PIK3CG	9606.ENSP00000451828	9606.ENSP00000352121	0	0	0	0	0.063	0.184	0.900	0.839	0.986
AKT1	RXRG	9606.ENSP00000451828	9606.ENSP00000352900	0	0	0	0	0	0.077	0.900	0.096	0.909
AKT1	NCF2	9606.ENSP00000451828	9606.ENSP00000356505	0	0	0	0	0	0.307	0	0.989	0.992
AKT1	MCL1	9606.ENSP00000451828	9606.ENSP00000358022	0	0	0	0	0	0	0.900	0.762	0.975
AKT1	CD40LG	9606.ENSP00000451828	9606.ENSP00000359663	0	0	0	0	0	0.056	0.900	0.493	0.947
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0	0.057	0.800	0.877	0.974
AKT1	RUNX2	9606.ENSP00000451828	9606.ENSP00000360493	0	0	0	0	0	0	0.900	0.693	0.968
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.062	0.852	0	0.952	0.992
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0	0.870	0	0.847	0.979
AKT1	EDN1	9606.ENSP00000451828	9606.ENSP00000368683	0	0	0	0	0.062	0	0.900	0.673	0.966
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0.062	0	0.900	0.457	0.944
AKT1	RXRA	9606.ENSP00000451828	9606.ENSP00000419692	0	0	0	0	0.082	0.077	0.900	0.322	0.934
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0	0.784	0.900	0.716	0.983
AKT1	ITGB3	9606.ENSP00000451828	9606.ENSP00000452786	0	0	0	0	0.081	0.292	0.900	0.581	0.969
AKT1	MYC	9606.ENSP00000451828	9606.ENSP00000479618	0	0	0	0	0.051	0.143	0.900	0.859	0.987
ALOX5	LTA4H	9606.ENSP00000363512	9606.ENSP00000228740	0	0	0	0	0	0	0.900	0.790	0.978
ALOX5	IL4	9606.ENSP00000363512	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.469	0.944
ALOX5	PTGS1	9606.ENSP00000363512	9606.ENSP00000354612	0	0	0	0	0.096	0	0.900	0.728	0.973
ALOX5	PTGS2	9606.ENSP00000363512	9606.ENSP00000356438	0	0	0	0	0.081	0	0.900	0.828	0.982
APP	NFKB1	9606.ENSP00000284981	9606.ENSP00000226574	0	0	0	0	0	0.057	0.900	0.201	0.918
APP	GAPDH	9606.ENSP00000284981	9606.ENSP00000229239	0	0	0	0	0	0.212	0.800	0.885	0.980
APP	GSK3B	9606.ENSP00000284981	9606.ENSP00000324806	0	0	0	0	0.060	0.698	0	0.793	0.936
APP	HSPA5	9606.ENSP00000284981	9606.ENSP00000324173	0	0	0	0	0.062	0.225	0	0.920	0.937
APP	RELA	9606.ENSP00000284981	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.422	0.939
APP	CASP8	9606.ENSP00000284981	9606.ENSP00000351273	0	0	0	0	0	0.200	0.900	0.342	0.942
APP	CASP3	9606.ENSP00000284981	9606.ENSP00000311032	0	0	0	0	0.062	0.682	0	0.824	0.943
AR	SIRT1	9606.ENSP00000363822	9606.ENSP00000212015	0	0	0	0	0	0.298	0.900	0.708	0.977
AR	MAPK14	9606.ENSP00000363822	9606.ENSP00000229795	0	0	0	0	0	0.104	0.900	0.289	0.930
AR	NR3C1	9606.ENSP00000363822	9606.ENSP00000231509	0	0	0	0.816	0	0.213	0.900	0.834	0.930
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.898	0	0.988	0.998
AR	PRKACA	9606.ENSP00000363822	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0.094	0.905
AR	GSK3B	9606.ENSP00000363822	9606.ENSP00000324806	0	0	0	0	0	0.482	0.900	0.405	0.966
AR	CAV1	9606.ENSP00000363822	9606.ENSP00000339191	0	0	0	0	0	0.283	0	0.963	0.973
AR	CASP8	9606.ENSP00000363822	9606.ENSP00000351273	0	0	0	0	0	0.345	0.900	0.614	0.972
AR	JUN	9606.ENSP00000363822	9606.ENSP00000360266	0	0	0	0	0	0.499	0	0.928	0.962
AR	RUNX2	9606.ENSP00000363822	9606.ENSP00000360493	0	0	0	0	0	0.304	0.600	0.690	0.906
AR	CCND3	9606.ENSP00000363822	9606.ENSP00000362082	0	0	0	0	0	0.056	0.900	0.295	0.927
AR	NKX3-1	9606.ENSP00000363822	9606.ENSP00000370253	0	0	0	0	0	0.143	0	0.906	0.917
BAK1	TP53	9606.ENSP00000363591	9606.ENSP00000269305	0	0	0	0	0.062	0.842	0.900	0.833	0.997
BAK1	BAX	9606.ENSP00000363591	9606.ENSP00000293288	0	0	0	0.654	0.088	0.753	0.900	0.732	0.981
BAK1	MCL1	9606.ENSP00000363591	9606.ENSP00000358022	0	0	0	0.641	0.072	0.924	0.900	0.744	0.994
BAK1	BCL2	9606.ENSP00000363591	9606.ENSP00000381185	0	0	0	0.675	0	0.763	0.900	0.503	0.979
BAX	SIRT1	9606.ENSP00000293288	9606.ENSP00000212015	0	0	0	0	0	0	0.900	0.401	0.937
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0.051	0.738	0.900	0.681	0.991
BAX	RUNX2	9606.ENSP00000293288	9606.ENSP00000360493	0	0	0	0	0	0	0.900	0.194	0.915
BAX	MCL1	9606.ENSP00000293288	9606.ENSP00000358022	0	0	0	0.620	0	0.978	0.900	0.630	0.998
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.645	0	0.981	0.900	0.758	0.998
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.051	0.884	0.900	0.628	0.995
BCL2	RXRG	9606.ENSP00000381185	9606.ENSP00000352900	0	0	0	0	0	0.057	0.900	0	0.901
BCL2	MCL1	9606.ENSP00000381185	9606.ENSP00000358022	0	0	0	0.628	0	0.492	0.900	0.605	0.958
BCL2	RXRA	9606.ENSP00000381185	9606.ENSP00000419692	0	0	0	0	0	0.057	0.900	0	0.901
C3	CRP	9606.ENSP00000245907	9606.ENSP00000255030	0	0	0	0	0.080	0.486	0	0.897	0.947
CASP3	MAPK14	9606.ENSP00000311032	9606.ENSP00000229795	0	0	0	0	0.061	0.282	0.900	0.709	0.977
CASP3	MDM2	9606.ENSP00000311032	9606.ENSP00000258149	0	0	0	0	0.063	0.875	0	0.730	0.965
CASP3	TP53	9606.ENSP00000311032	9606.ENSP00000269305	0	0	0	0	0.062	0.270	0	0.900	0.925
CASP3	MCL1	9606.ENSP00000311032	9606.ENSP00000358022	0	0	0	0	0	0.374	0	0.874	0.918
CASP3	CASP7	9606.ENSP00000311032	9606.ENSP00000358327	0	0	0	0.942	0.062	0.271	0.900	0.912	0.929
CASP3	TOP1	9606.ENSP00000311032	9606.ENSP00000354522	0	0	0	0	0	0.263	0.900	0.559	0.964
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0	0	0.835	0.062	0.768	0.900	0.960	0.980
CASP3	CASP9	9606.ENSP00000311032	9606.ENSP00000330237	0	0	0	0.833	0	0.870	0.900	0.968	0.988
CASP7	HSPA5	9606.ENSP00000358327	9606.ENSP00000324173	0	0	0	0	0	0.555	0	0.989	0.995
CASP7	CASP9	9606.ENSP00000358327	9606.ENSP00000330237	0	0	0	0.710	0	0.271	0.900	0.904	0.943
CASP7	CASP8	9606.ENSP00000358327	9606.ENSP00000351273	0	0	0	0.753	0.063	0.488	0.900	0.893	0.959
CASP8	NFKB1	9606.ENSP00000351273	9606.ENSP00000226574	0	0	0	0	0.062	0.090	0.900	0.443	0.946
CASP8	IL1B	9606.ENSP00000351273	9606.ENSP00000263341	0	0	0	0	0.063	0.182	0.900	0.715	0.975
CASP8	TP53	9606.ENSP00000351273	9606.ENSP00000269305	0	0	0	0	0.143	0.270	0.800	0.839	0.977
CASP8	COL3A1	9606.ENSP00000351273	9606.ENSP00000304408	0	0	0	0	0	0	0.900	0.086	0.904
CASP8	RELA	9606.ENSP00000351273	9606.ENSP00000384273	0	0	0	0	0.062	0	0.900	0.571	0.956
CASP8	IKBKB	9606.ENSP00000351273	9606.ENSP00000430684	0	0	0	0	0.062	0.317	0.900	0.579	0.969
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0	0	0	0.062	0.282	0.900	0.868	0.989
CASP8	ITGB3	9606.ENSP00000351273	9606.ENSP00000452786	0	0	0	0	0.062	0	0.900	0.904	0.990
CAV1	HMOX1	9606.ENSP00000339191	9606.ENSP00000216117	0	0	0	0	0.056	0	0	0.961	0.961
CAV1	TGFB1	9606.ENSP00000339191	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.357	0.933
CAV1	EGF	9606.ENSP00000339191	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.732	0.972
CAV1	GJA1	9606.ENSP00000339191	9606.ENSP00000282561	0	0	0	0	0.113	0.270	0	0.962	0.973
CAV1	NOS3	9606.ENSP00000339191	9606.ENSP00000297494	0	0	0	0	0	0.835	0.900	0.989	0.999
CAV1	INSR	9606.ENSP00000339191	9606.ENSP00000303830	0	0	0	0	0	0.595	0.900	0.246	0.966
CAV1	PTGS2	9606.ENSP00000339191	9606.ENSP00000356438	0	0	0	0	0.084	0.675	0	0.785	0.930
CAV1	PTEN	9606.ENSP00000339191	9606.ENSP00000361021	0	0	0	0	0	0.282	0	0.918	0.938
CAV1	TNF	9606.ENSP00000339191	9606.ENSP00000398698	0	0	0	0	0	0.270	0.900	0.533	0.962
CAV1	ESR2	9606.ENSP00000339191	9606.ENSP00000343925	0	0	0	0	0	0.059	0.600	0.987	0.995
CCNA2	CCNB1	9606.ENSP00000274026	9606.ENSP00000256442	0	0	0	0.738	0.969	0.540	0.720	0.915	0.996
CCNA2	MDM2	9606.ENSP00000274026	9606.ENSP00000258149	0	0	0	0	0.062	0.131	0.900	0.634	0.966
CCNA2	CDK2	9606.ENSP00000274026	9606.ENSP00000266970	0	0.006	0	0	0.401	0.999	0.900	0.995	0.999
CCNA2	TP53	9606.ENSP00000274026	9606.ENSP00000269305	0	0	0	0	0.092	0.283	0.900	0.944	0.995
CCNA2	NUF2	9606.ENSP00000274026	9606.ENSP00000271452	0	0	0	0	0.879	0	0	0.374	0.921
CCNA2	CHEK1	9606.ENSP00000274026	9606.ENSP00000388648	0	0	0	0	0.852	0.058	0	0.702	0.955
CCNA2	PCNA	9606.ENSP00000274026	9606.ENSP00000368458	0	0	0	0	0.678	0.803	0.360	0.489	0.976
CCNA2	E2F2	9606.ENSP00000274026	9606.ENSP00000355249	0	0	0	0	0.211	0.171	0.900	0.761	0.982
CCNA2	TOP2A	9606.ENSP00000274026	9606.ENSP00000411532	0	0	0	0	0.967	0.056	0	0.575	0.985
CCNA2	CDKN1C	9606.ENSP00000274026	9606.ENSP00000413720	0	0	0	0	0.063	0.900	0.800	0.782	0.995
CCNA2	E2F1	9606.ENSP00000274026	9606.ENSP00000345571	0	0	0	0	0.310	0.891	0.900	0.873	0.998
CCNA2	CDK1	9606.ENSP00000274026	9606.ENSP00000378699	0	0.007	0	0	0.985	0.929	0.900	0.992	0.999
CCNA2	RBL1	9606.ENSP00000274026	9606.ENSP00000362768	0	0	0	0	0.183	0.885	0.600	0.989	0.999
CCNB1	STAT5B	9606.ENSP00000256442	9606.ENSP00000293328	0	0	0	0	0	0	0.900	0.262	0.923
CCNB1	CCND3	9606.ENSP00000256442	9606.ENSP00000362082	0	0	0	0.655	0.073	0.078	0.900	0.755	0.930
CCNB1	CHEK2	9606.ENSP00000256442	9606.ENSP00000372023	0	0	0	0	0.685	0.212	0	0.823	0.952
CCNB1	RUNX2	9606.ENSP00000256442	9606.ENSP00000360493	0	0	0	0	0.062	0.213	0.900	0.435	0.952
CCNB1	CHEK1	9606.ENSP00000256442	9606.ENSP00000388648	0	0	0	0	0.740	0.060	0	0.830	0.955
CCNB1	E2F1	9606.ENSP00000256442	9606.ENSP00000345571	0	0	0	0	0.250	0.171	0.900	0.554	0.968
CCNB1	PCNA	9606.ENSP00000256442	9606.ENSP00000368458	0	0	0	0	0.806	0.685	0.360	0.328	0.970
CCNB1	TOP2A	9606.ENSP00000256442	9606.ENSP00000411532	0	0	0	0	0.964	0.056	0	0.689	0.988
CCNB1	CDK2	9606.ENSP00000256442	9606.ENSP00000266970	0	0	0	0	0.421	0.982	0.900	0.991	0.999
CCNB1	CDK1	9606.ENSP00000256442	9606.ENSP00000378699	0	0	0	0	0.968	0.999	0.900	0.995	0.999
CCND3	CDK2	9606.ENSP00000362082	9606.ENSP00000266970	0	0	0	0	0.063	0.903	0.800	0.965	0.999
CCND3	STAT5B	9606.ENSP00000362082	9606.ENSP00000293328	0	0	0	0	0.062	0.166	0.900	0.417	0.948
CCND3	E2F1	9606.ENSP00000362082	9606.ENSP00000345571	0	0	0	0	0.055	0.104	0.900	0.545	0.956
CCND3	E2F2	9606.ENSP00000362082	9606.ENSP00000355249	0	0	0	0	0.062	0.104	0.900	0.613	0.963
CCND3	PCNA	9606.ENSP00000362082	9606.ENSP00000368458	0	0	0	0	0.064	0.384	0.800	0.362	0.916
CCND3	CDKN2A	9606.ENSP00000362082	9606.ENSP00000418915	0	0	0	0	0	0	0.900	0.607	0.959
CCND3	RBL1	9606.ENSP00000362082	9606.ENSP00000362768	0	0	0	0	0.062	0.256	0.900	0.621	0.970
CCND3	CDKN1C	9606.ENSP00000362082	9606.ENSP00000413720	0	0	0	0	0.062	0.891	0.600	0.515	0.977
CCND3	CDK1	9606.ENSP00000362082	9606.ENSP00000378699	0	0	0	0	0.065	0.835	0.720	0.806	0.990
CD40LG	NFKB1	9606.ENSP00000359663	9606.ENSP00000226574	0	0	0	0	0	0.062	0.900	0.366	0.935
CD40LG	MAPK14	9606.ENSP00000359663	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.282	0.925
CD40LG	IL4	9606.ENSP00000359663	9606.ENSP00000231449	0	0	0	0	0	0	0	0.934	0.934
CD40LG	PIK3CG	9606.ENSP00000359663	9606.ENSP00000352121	0	0	0	0	0.088	0.056	0.900	0.240	0.925
CD40LG	TNF	9606.ENSP00000359663	9606.ENSP00000398698	0	0	0	0	0.076	0	0.600	0.822	0.928
CD40LG	RELA	9606.ENSP00000359663	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0.547	0.952
CDK1	MDM2	9606.ENSP00000378699	9606.ENSP00000258149	0	0	0	0	0	0	0.900	0.664	0.965
CDK1	CDK2	9606.ENSP00000378699	9606.ENSP00000266970	0	0	0.441	0.968	0.680	0.617	0.900	0.978	0.987
CDK1	TP53	9606.ENSP00000378699	9606.ENSP00000269305	0	0	0	0	0.096	0.680	0	0.927	0.977
