"chr","start","cn"
1,1,2.10807698753804
1,2,1.98949972110583
1,3,2.02731341696576
1,4,1.93711717971603
1,5,2.0132738770068
1,6,2.03644185868394
1,7,1.80203205205521
1,8,2.05494254255967
2,1,1.73279625483936
2,2,2.05787413392413
2,3,2.12216413275531
2,4,1.9845646233345
2,5,2.07747471029098
2,6,1.7974401729575
2,7,1.75860524582554
2,8,1.86647360412537
3,1,1.21517799338307
3,2,1.1382073937838
3,3,1.13353932595041
3,4,1.17817611496554
3,5,1.25556405758805
3,6,1.32481456083935
3,7,1.0837250054265
3,8,1.00922718186725
4,1,3.41039659836351
4,2,3.01722444220599
4,3,2.80595502358042
4,4,3.53500095060863
4,5,3.18860977127684
4,6,3.3552535016562
4,7,3.30124149594459
4,8,3.27135823014704
