"cpg","deltaBeta"
"cg06401614",-0.114808944835122
"cg03569404",-0.0491969294615626
"cg26803002",-0.0283061432327901
"cg07710391",0.0168577605567544
"cg17781710",0.0499277910379579
"cg20635389",0.0721860352195717
"cg10242901",-0.0620618422539964
"cg05758139",-0.0188150382260501
"cg08113851",-0.0264022391790301
"cg05670219",-0.0179113286360536
"cg06130322",-0.0565485692977399
"cg24884207",0.00300973513829909
"cg13056269",-0.00106706228941262
"cg23295826",-0.0156035959042158
"cg08314996",-0.0962062124598628
"cg10071036",-0.0364552357924026
"cg22801134",-0.0150972405801427
"cg09532502",-0.0673382180687196
"cg23670904",-0.0373830863711331
"cg11588423",-0.03919711039928
"cg07173112",-0.0905523517658628
"cg22512768",-0.0457108225559756
"cg18199472",-0.0237940005908702
"cg03564201",0.0370726112985635
"cg20945465",0.00463349233230792
"cg05012125",0.118317898749582
"cg07595602",-0.0105427552665988
"cg10777495",-0.0172758694742245
"cg04376997",-0.022946950446447
"cg17078369",-0.0502831070564471
"cg16194234",-0.0303354177015124
"cg20069765",-0.0235023220810231
"cg13702942",0.00695542017514419
"cg06981242",-0.00243842794866893
"cg04386512",-0.00458565068213904
"cg24453767",-0.04776570141651
"cg05242244",-0.0189357286726644
"cg01046951",-0.0494074562877772
"cg03538383",-0.008753646038832
"cg09727277",0.00243503111043492
"cg24682307",0.0205316123008929
"cg10668512",-0.0328884445365954
"cg20259552",-0.0259835774409519
"cg08498156",0.00117367587875133
"cg13828758",-0.0357817091510884
"cg20000541",-0.00552472948551097
"cg22186380",-0.0220954877947717
"cg24041246",0.0253502531808417
"cg22883125",0.0153188209870712
"cg09144398",-0.044676887508442
"cg21244580",-0.0592671278917118
"cg12062220",0.0724300456950684
"cg00431673",-0.024061604565678
"cg09522456",-0.00140757543133131
"cg18935449",-0.0225439668643282
"cg20498637",-0.101271717373641
"cg18414579",-0.0909619412674993
"cg07069601",-0.00214799159517692
"cg19523338",-0.0360967430889079
"cg00756062",-0.024702077779252
"cg25388527",-0.107286139954032
"ch.13.1149345F",-0.0190528458577913
"cg06202802",0.120707055444414
"cg17079833",-0.00536853484385459
"cg08894588",-0.0440221428936322
"cg00036324",-0.0444184645540291
"cg03971828",0.0027175885083895
"cg23956036",0.0337110765530585
"cg08811336",0.00417426306340563
"cg02108196",-0.0169697521567898
"cg04755674",0.0276620189142742
"cg12673499",-0.462004275414092
"cg24351901",-0.102052570792364
"cg02758507",-0.0251522974435328
"cg13294487",-0.0067673770143688
"cg04362407",0.00831696496173073
"cg09095341",-0.00699985181523077
"cg01021952",-0.0554043198469617
"cg26670249",0.0194579259482246
"cg17133045",-0.00260563056364005
"cg25551551",0.0260749171918926
"cg03119532",0.00399517858252119
"cg23065483",-0.0457834423359454
"cg08248641",-0.010200823481089
"cg24138705",-0.0725821553382238
"cg00549896",-0.00423883234101087
"cg10698984",-0.0100091075796611
"cg13392125",-0.00996134005875216
"cg18984103",0.0235937698105033
"cg07642754",-0.00657453575207445
"cg14654363",-0.00177223081762778
"cg18753928",0.0636560479808392
"cg19648306",0.0222895812179671
"cg20576322",0.00171781042909869
"cg12099658",-0.0146374522822841
"cg25845889",-0.0836517795239606
"cg17386535",-0.00440776883465077
"cg12511887",0.00291964214745651
"cg01324349",-0.0245374320291678
"cg21579147",-0.0702839595871785
"cg23450972",-0.0440645575439703
"cg01232331",-0.022042838079003
"cg27562717",-0.00479317799726799
"cg10011603",0.00640023487588284
"cg16500054",-0.000149364618671315
"cg14343334",-0.0139175316521815
"cg07676920",-0.0296704319709543
"cg13092738",-0.0338682257249308
"cg02275213",-0.00480956396315479
"cg24428760",0.00575540691659503
"cg05874913",0.0269226969760442
"cg24205289",-0.00130573506866816
"cg14454440",-0.00105168422912627
"cg22961459",-0.0253881204462113
"cg21871203",-0.0193671274340041
"cg15647527",-0.00267736997369564
"cg27297441",0.0147826711608832
"cg20808693",-0.0935785756796129
"cg24693189",-0.0300403840462559
"cg05368119",-0.0248253867301871
"cg09184899",-0.00531852355443863
"cg16764177",-0.0345192295315236
"cg10895886",0.017672442566009
"cg14309246",-0.00159132127290351
"cg26665480",-0.00294235968065504
"cg03706875",-0.0504928094929682
"cg22731763",-0.082374093033824
"cg15969681",-0.0297364789846457
"cg21067341",0.0015866747629011
"cg25683336",-0.0742321032950937
"cg09317554",-0.0202311110630423
"cg20297791",-0.0918382254784956
"cg09745430",0.0197157125852606
"cg19165105",0.00440477253688794
"cg17578380",-0.00991087800466917
"cg17798944",-0.0424796881622563
"cg01976960",-0.0809921719294896
"cg06370650",-0.0379290135518019
"cg02660350",0.00769028210639487
"cg22476252",-0.0536870242282766
"cg09128829",-0.0140805562912537
"cg20173334",0.0133109409519683
"cg27488452",-0.0219842485832633
"cg15564444",-0.0765795707195941
"cg05452084",-0.0480016137571302
"cg23209255",0.0459363002841213
"cg17107307",-0.0160358383190088
"cg12985477",0.0219820231770531
"cg07549373",-0.0276387849865078
"cg08813062",0.0920616260924435
"cg26243475",0.0028849115434707
"cg17516271",-0.0269947430728004
"cg12822010",-0.0212974504639076
"cg13723551",-0.0134960103654029
"cg11258485",-0.0157575746501535
"cg24997896",0.0971438109583817
"cg24172269",0.00785004938209576
"cg14017402",-0.0375314276136746
"cg16669541",0.00369738004177007
"cg03115470",-0.0431410594649922
"cg14403309",-0.0376396096598949
"cg18319381",-0.0907533283659647
"cg02413938",-0.00730537601990511
"cg03470933",-0.0471330110743272
"cg03559831",-0.0032417094444786
"cg03037620",-0.0239792560114435
"cg23331778",-0.0890047667252606
"cg15865178",-0.00103493026667588
"cg04901136",0.00085485715692935
"cg04520242",-0.0384656129838556
"cg13830007",-0.0171132849277001
"cg25879062",-0.0723181746587022
"cg12593176",-0.0183540776761473
"cg03598919",-0.0259107259689606
"cg10450883",-0.00218186395794263
"cg02942008",0.0145979331468243
"cg00265826",-0.0194297891699261
"cg05263649",-0.0318465949990637
"cg02585142",-0.0788548566906001
"cg12765382",-0.0142972508550215
"cg15164860",0.0145996606027905
"cg05355346",0.0118095548798223
"cg22918560",-0.00503640100432245
"cg23713520",-0.0423854476226376
"cg09312576",0.00625971940439618
"cg08807496",-0.0994881165949391
"cg24055855",-0.0241541946934486
"cg14202791",-0.0176860222086014
"cg07877257",-0.0174634623960158
"cg10088075",0.00391564439532378
"cg05697909",0.0674480588328792
"cg16396417",0.00950653450973986
"cg15920310",0.00599073884720831
"cg07401819",-0.084263108775801
"cg11668561",-0.0724628636918128
"cg13387050",-0.0223504238060341
"cg02875834",-0.000444088021405772
"cg17861230",0.107532441648881
"cg19797013",-0.0104649980594991
"cg16400756",-0.0077917107003932
"cg03630890",0.00284259784932822
"cg22614748",-0.0212457823806375
"cg24701606",-0.0156860541140778
"cg09775648",-0.0376270358013456
"cg04793096",0.0279710821689953
"cg15896306",0.0139851170598187
"cg05693562",-0.0259603769998534
"cg19029747",0.0140980632211324
"cg24464158",-0.0299958640813796
"cg13817994",-0.0435549865035657
"cg15074974",0.021221865032965
"cg14193808",0.00430547697204131
"cg25098497",0.000518697045972943
"cg22453818",-0.041481590453058
"cg17155115",-0.0108930042392028
"cg10111115",0.0636377864753586
"cg00137750",-0.0358430742330105
"cg18459405",-0.0411466677770966
"cg07364632",-0.00847889860093876
"cg18282099",-0.0481401072709399
"cg10054501",-0.00514371011815028
"cg21138131",-0.0235556387264866
"cg17381426",0.0120952202745425
"cg26538590",0.0160900250245679
"cg11345918",0.00959504594655014
"cg07602671",0.00887100890630996
"cg09359475",-0.0132562395490567
"cg23986975",0.0153577292336419
"cg06201861",-0.0291597772654557
"cg13618891",-0.0095597114627971
"cg19030682",-0.122595683236843
"cg02021337",0.00258653316674784
"cg19484848",0.00769279281634205
"cg01377936",0.0643146102299855
"cg23277830",-0.170467395881315
"cg20059407",0.0253847009478588
"cg00388871",0.0450980275982737
"cg20245116",-0.0927980239711911
"cg10583414",0.0074774735277525
"cg11750165",0.0612473663879342
"cg25475538",-0.080487828278326
"cg17614564",0.00197859374273752
"cg00134340",-0.00975910388519974
"cg24090019",0.00643270511510813
"cg06451949",-0.00602053510052625
"cg13630739",-0.0168536216669697
"cg06539629",-0.0241579574451484
"cg02075570",0.00396269995676476
"cg02433139",-0.00262275566970926
"cg27665715",0.00112547235788052
"cg13735759",-0.0537979676737319
"cg10152810",-0.000500826139717386
"cg00661205",-0.0341023143410555
"cg08461451",-0.0328990164857249
"cg21093007",-0.011077536855891
"cg07162085",-0.0435996288159041
"cg16032371",-0.027965611362921
"cg18331412",0.106976973367423
"cg06482044",-0.00719739872113945
"cg23064516",-0.0370129406742666
"cg19714436",-0.0465086725132103
"cg23110471",0.00885661693767649
"cg22193702",-0.0723794386534117
"cg21752295",-0.000518809546503629
"cg01954649",-0.0180255745759212
"ch.9.1009386R",-0.00607072513762856
"cg00550082",0.00124925633405515
"cg15230622",-0.0643080676065411
"cg05524529",0.0544475850832604
"cg14960034",-0.00241723670819649
"cg06081518",0.0222338478000236
"cg17870357",-0.00789037713728036
"cg15239914",0.0141869653759769
"cg24935154",-0.0215552011141612
"cg09523691",-0.0419035663585908
"cg01455550",-0.0698537320398235
"cg10032110",0.000551985443136838
"cg13279927",-0.0528859278989915
"cg22159015",-0.0234731510356603
"cg21502888",-0.00830394987291683
"cg00015343",-0.0719760271315233
"cg17057514",0.00205949236095715
"cg18343881",-0.0167726655438158
"cg08021734",-0.0458517128993384
"cg23613305",0.0021426764137489
"cg23591853",-0.00413603277653796
"cg24926052",-0.0302740012803397
"cg00420347",-0.0313636065903449
"cg27041875",0.000328727169396678
"cg17609282",0.017674057241602
"cg23636162",-0.0264729204615705
"cg19343449",-0.0128855415293874
"cg01400541",-0.0194155928439455
"cg26445530",-0.0525133807508968
"cg11656992",-0.00744735410323433
"cg11732063",0.0155077975244775
"cg27629361",-0.0286298915854795
"cg04220779",-0.0508569671514856
"cg21557672",-0.0474788601606908
"cg05760417",-0.00319687407476588
"cg24673101",0.0270836911727635
"cg06849090",-0.0139236018737766
"cg27074113",-0.00771415824422661
"cg10794799",0.0301577304551212
"cg14022542",-0.0402457595488617
"cg03591606",0.0132683042220633
"cg13867370",0.06802476229176
"cg14446494",-0.0725167408853208
"cg15229773",-0.063227147988983
"cg18586886",0.000412709428652003
"cg11140344",-0.0187554194898779
"cg19768241",0.023790361370099
"cg25406011",-0.0599837645874851
"cg14820573",-0.0895325624845257
"cg18341493",-0.0455620868033344
"cg23256393",-0.00694648715639311
"cg04723886",-0.00155824138817584
"cg23487759",-0.0729007006950326
"cg04747827",-0.0125040867629164
"cg22378614",0.0139113414707564
"cg27554509",0.000574049636769294
"cg13521944",0.0017241559786203
"cg07879287",-0.0132358025345847
"cg09557034",0.0197803127788336
"cg05256304",0.0181989136000905
"cg10062329",-0.0280864721940941
"cg16010809",0.0146902493832584
"cg16786304",-0.0133740582626906
"cg18654954",-0.0319385474462447
"cg22873986",-0.0131124525310413
"cg13470212",-0.0145109211550232
"cg08021120",-0.000817534750598092
"cg17313420",-0.00527330902482697
"cg13123585",-0.0377302219577661
"cg10709704",0.00942566134050804
"cg06239616",0.122648958831741
"cg13347296",-0.00241974734184616
"cg20638896",-0.0202740282894521
"cg25752527",0.000792122233834097
"cg02130613",-0.0250426244329289
"cg23402769",-0.00729512462262735
"cg02785332",-0.0770255911700103
"cg26429017",-0.0120589030628625
"cg02968760",-0.0170913117343199
"cg01058266",-0.00158563686563851
"cg12596564",0.112294248324755
"cg11816577",-0.0142460969596066
"cg16211469",-0.00660611350096529
"cg13171197",-0.00923171432965386
"cg05494813",-0.0441746979893015
"cg16115440",-0.0101831408946245
"cg10592901",-0.085036862638222
"cg14690343",-0.00997750673784574
"cg03050473",0.0285044299752135
"cg21187265",0.0946109218555579
"cg16274376",-0.0266459836702395
"cg07442105",-0.116516254460904
"cg17017272",-0.000568953032883623
"cg13770865",-0.0326035425685143
"cg18442685",-0.0190101125989279
"cg13686589",0.0177944029314872
"cg16893574",-0.0316986166790514
"cg00437443",-0.0104715299480581
"cg17685115",-0.00192483487491568
"cg19865412",-0.0357497944862902
"cg15800722",-0.0165266754848764
"cg17665601",0.00325973937539281
"cg03298305",-0.00676156184530774
"cg00368230",-0.00788796693051523
"cg17146111",-0.0234536939567919
"cg21061859",-0.109036663804556
"cg08380391",-0.0452024141365811
"cg03801816",0.0164931579460751
"cg01860753",0.0506462753452485
"cg12571459",-0.0301352032654191
"cg04252203",-0.0276922076406021
"cg11011602",-0.00837805302072789
"cg20556458",0.0159659255237862
"cg07308257",0.00341873986359786
"cg01681098",-0.00533305780746606
"cg02075590",-0.0151991928560221
"cg23082632",-0.0208624879225024
"cg01054622",0.0490234351837817
"cg11419814",-0.0477176130050041
"cg05532892",0.00514000342330945
"cg27607319",0.00664476767953099
"cg26008260",-0.0202284178683703
"cg09021225",-0.0348702028015908
"cg16502826",-0.0932092973244835
"cg03147337",0.0166334307282416
"cg23699926",-0.061407239118057
"cg07650640",-0.00910614668252752
"cg14643390",-0.0163520637544572
"cg27077070",-0.102956934022076
"cg14586363",0.00679940016190972
"cg25159539",-0.00795094139499439
"cg22795586",0.108312202865434
"cg09975406",-0.000611265430730965
"cg07336097",-0.00156560587909962
"cg01699693",-0.0134224124044622
"cg06687489",0.00570588818133233
"cg25672287",0.00395468102205797
"cg04072768",0.0477906629947579
"cg23968213",-0.067225047957464
"cg06495710",-0.0922990281644317
"cg17652792",0.0145835772966982
"cg15306012",-0.0297330366648486
"cg09247534",0.0189507520621644
"cg14450506",-0.00935408373300184
"cg20780119",0.026449083286902
"cg03701222",-3.04110677670638e-05
"cg20758789",-0.153796196568877
"cg05987030",0.0125779256497326
"cg19013339",0.00180252538341175
"cg25176223",-0.0598460999719117
"cg05729804",-0.00680165865229088
"cg23846713",-0.00782679069007292
"cg18400088",-0.00141822080147409
"cg21402096",-0.0442456112180833
"cg00773653",-0.0201823226051189
"cg14126688",0.00363772108619246
"cg02808699",-0.0203056856492511
"cg11961495",0.00850258912080981
"cg18477797",-0.0632576961437287
"cg18378662",-0.0358589335493145
"cg17987027",-0.0345108393574858
"cg05834845",-0.0192063981187538
"cg25132782",0.00597538490464949
"cg15551982",-0.0164323316593749
"cg23113826",-0.024785312446449
"cg14015503",-0.00868991226465678
"cg17881997",-0.0197774044710459
"cg08105471",-0.0600482431733496
"cg24563804",-0.0170549592028195
"cg08900874",-0.004183030444613
"cg05424879",-0.000491052097473712
"cg01373151",0.000815302769111376
"cg00300627",0.10617406141672
"cg15420906",0.000395379944514773
"cg12265959",-0.00184038647220273
"cg02935132",-0.013145466873799
"cg11231249",0.0439800256486079
"cg16221606",-0.0585058371586208
"cg04536922",0.0409426091007389
"cg10588034",-0.0025484074794359
"cg09091752",-0.0263998249931646
"cg03209530",-0.029648981164986
"cg07449038",0.00678038406894438
"cg00159289",-0.0946553317885894
"cg26146455",-0.0398145657853084
"cg09799585",-0.0212672689585369
"cg20804199",0.00649228788857415
"cg01750261",-0.0710068578600362
"cg08392746",-0.0061767193449408
"cg21201494",0.00692881411161261
"cg16712468",-0.0259339819685859
"cg23079063",-0.0820352792169861
"cg04518985",-0.0618644016196663
"cg11858029",-0.0804088252683087
"cg13781197",0.0224056849228042
"cg07580418",-0.00813394321254619
"cg15110110",-0.030320826762809
"cg15575356",-0.0661350381949454
"cg15009431",-0.0175373534615637
"cg24269377",-0.0846382594096095
"cg05024939",0.0339297959550833
"cg10840526",0.0104187341936897
"cg04591534",-0.00233418105371362
"cg09257635",0.00625364713717214
"cg06277900",0.00708006716596546
"cg15616998",-0.0261368805943492
"cg23099578",-0.0185326161820263
"cg13947469",0.00386227167995901
"cg02897457",-0.0217115916479309
"cg13842154",0.0135109030271468
"cg12274082",-0.10538828112418
"cg19113599",-0.0720387784238422
"cg24251942",-0.010106088066751
"cg16235531",-0.074003150460271
"cg20698037",-0.012851377453305
"cg20435097",-0.10408959823281
"cg03389928",-0.0109819976197313
"cg22004705",-0.018322599216581
"cg23047137",-0.064233508108043
"cg09169839",-0.0161590803952886
"cg25583086",-0.000117133114594825
"cg04887461",-0.0605585521286789
"cg26335971",-0.0796811988766433
"cg14265220",-0.0273689997889353
"cg14211385",-0.122250999234061
"cg25010191",-0.0181976619622098
"cg03764767",-0.0224999456809888
"cg09135056",0.00992936407536246
"cg01909953",0.0101500465611311
"cg04837922",-0.00444471892047563
"cg15250507",0.106497803742729
"cg17676132",-0.0120552361334449
"cg05453333",0.0122797443603485
"cg00923744",0.167489386742855
"cg17308493",0.00932897566201574
"cg13885325",0.005358788434802
"cg12991976",-0.052516752759767
"cg21401951",0.00704203780041682
"cg08558323",-0.0478050654500491
"cg24308584",-0.030722868655883
"cg12228096",-0.00363785121084995
"cg18948941",-0.0669025336640838
"cg11696922",-0.00827420066451812
"cg21293464",-0.0427051667832683
"cg06019692",0.00231666540490132
"cg00131261",0.0055698178707585
"cg02955229",-0.0289734847567068
"cg24557048",0.0356007447210164
"cg05307923",0.0552574006962792
"cg07735777",0.0101801958415396
"cg07667917",0.0345327458872863
"cg24713940",-0.0152735993552674
"cg20899053",-0.000551506500189189
"cg16169833",-0.0723614256934657
"cg01407477",0.000163694130672437
"cg10882226",-0.0313070509538316
"cg21167072",-0.0356100932478285
"cg14165051",0.0896040822102918
"cg02500152",0.0447206927554267
"cg05406101",-0.000634219698267158
"cg03911306",-0.0806654328990761
"cg10074347",-0.00398640642903636
"cg25671376",-0.0397036139042038
"cg25645199",-0.000369690079819018
"cg00585072",-0.0403967004590655
"cg22488268",0.0277442789475142
"cg13156207",-0.148649830660358
"cg00432262",-0.0636077077875606
"cg24884217",-0.121861619889207
"cg15126862",-0.0677685579396429
"cg11857363",-0.126141828334239
"cg14981232",0.0328332279763636
"cg11115867",-0.00110008235836867
"cg11522265",-0.003893416546958
"cg02868790",-0.0188355646457105
"cg27405731",0.018586164257349
"ch.4.39131871R",-0.00668049633147348
"cg02942461",-0.00563664964827995
"cg16008273",-0.0258808890071022
"cg18704865",-0.0239760122478875
"cg20238412",0.068161652254998
"cg08635097",0.00456716577677946
"cg25031205",-0.00899422648415293
"cg00949008",-0.0292226072222717
"cg21700070",0.00214236007849735
"cg00568345",0.0115050680817149
"cg26449787",0.0806030214125174
"cg02605996",-0.00922061704450683
"cg11862758",-0.0177676751978357
"cg16651768",-0.150047941479592
"cg18334849",0.0527421512080415
"cg02903691",0.000897624502038591
"cg13734137",-0.0437416357928258
"cg17035757",-0.0257637147820311
"cg17237603",-0.0193870187205438
"cg23752000",0.0346614096083346
"cg01787285",0.0472570699610665
"cg12918961",0.0074693029778546
"cg25236512",-0.0671430251490082
"cg02128572",-0.00232581668455811
"cg14631706",0.000321117931935164
"cg25806550",-0.0409673263174192
"cg09800105",-0.0510831346009444
"cg10076479",-0.0660450122875116
"cg25241559",-0.0011965225846029
"cg04103052",-0.0335322071323529
"cg25471071",0.0266959567911952
"cg26402253",0.0036705450364276
"cg18968090",0.0180356128915893
"cg03921696",-0.0823404908471337
"cg02611675",0.0190070113079762
"cg12176783",0.0589796276552194
"cg00332249",0.00440406406434427
"cg14159526",-0.0473721047075609
"cg10726355",-0.00348876128678615
"cg06873192",-0.0485186175574261
"cg16857858",0.0198489393897169
"cg08131003",-0.00955183111055569
"cg23733727",-0.0114023647843203
"cg25942761",-0.0698305334057232
"cg20486551",0.0418875840486646
"cg03801902",-0.00574076166163248
"cg07191839",-0.0582586516798618
"cg01060358",0.0187753327376998
"cg17395513",0.00168509146455798
"cg21829420",-0.00968445780521443
"cg17681491",0.0474125306196696
"cg08867241",0.0271324542859155
"cg20106907",0.0234121073053144
"cg08079693",-0.00499877405692641
"cg00886909",-0.0174354892389486
"cg22733687",-0.0167286305082203
"cg01987333",-0.0877543025152009
"cg00216997",0.0012587734935635
"cg05392440",0.010604942496368
"cg23644066",-0.0607354884481868
"cg27084303",-0.000998317343429811
"cg19411557",-0.0179781537363717
"cg01566393",-0.00777592501767965
"cg21670828",0.00384253871799689
"cg27072813",-0.368448927474477
"cg24146408",0.0170155829096793
"cg17182596",-0.0477550335530041
"cg14504581",-0.0491339084447346
"cg05721705",-0.0553263924756748
"cg12006425",0.0451880473038958
"cg10689147",0.00562233615090488
"cg13267324",0.0306883094464675
